wave,module,current_object_or_path,current_authority,current_writers,current_readers,target_operational_owner,provisional_canonical_object_family,mapping_confidence,target_consumption_projection,migration_method,historical_backfill,dual_run_requirement,reconciliation_rule,cutover_dependency,rollback_path,read_only_observation_period,archive_requirement,drop_authorization,status
Wave 0 shared foundation,Cross-module,canonical identity map,not yet authorized by audit,none,future canonical publications and projections,Governance,governance.object_identity_map,confirmed,,Design and approve before any module migration,none until identity policy is approved,Identity shadow mode before any read cutover,"Every local object link has tenant, type, confidence, review state, and history",Healthcare certified Knowledge Baseline,Do not use canonical identity reads until approved,Not applicable,Identity map changes are append-only,Not applicable,foundation_required
Wave 0 shared foundation,Cross-module,module promotion outbox,not yet authorized by audit,none,future publication adapters,Governance,governance.module_publication_outbox,confirmed,,Implement after Healthcare publication lifecycle proves out,none before approved replay strategy,Required with old direct-write paths,Outbox event count equals accepted domain event count by tenant/module/object family,Business-event telemetry active,Stop outbox processing; retain domain workflow tables,30 days before write primary,Outbox events retained as audit stream,Not applicable,foundation_required
Wave 0 shared foundation,Cross-module,shared metric definition contract,Tower/local module metric definitions,module-specific formula paths,"Tower, Source, Moves, aVa, future BI",Governance + metric owner,knowledge.metric_definition,confirmed,consumption.metric_observation_*,Separate definition from observation; publish formula versions before observations,"Backfill current definitions first, then observations",Required for every headline number,"Formula, period, unit, basis, source, and value parity",Metric owner attestation and lineage validation,Revert consumers to module-specific calculation while keeping shared definitions candidate,60 days,Preserve old formula outputs for reconciliation,Explicit later approval,foundation_required
Module-specific workflow preservation,Moves,public.move_artifact_review_decisions,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Moves,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Moves,public.move_artifacts,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Moves,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Moves,public.move_dependencies,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/lib/tower/value-states/__tests__/repository.azure-read.test.ts; src/lib/tower/value-states/repository.ts,Moves,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Moves,public.move_instances,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/lib/tower/value-states/repository.ts,Moves,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Moves,public.move_template_artifacts,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Moves,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Moves,public.move_template_gates,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Moves,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Moves,public.move_template_review_state,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Moves,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
