tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,spend_id,amount_usd,amount_type,owner,program_id,vendor_id,system_id,committed_vs_discretionary,renewal_or_gate_date,value_linkage,unit_economics
apex-retail,Retail Demo,v6.0,spend_value,APX-BUD-001,Omnichannel selling record,v4_synthetic_pack,VP Store Technology,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APX-BUD-001,130200000,budget,VP Store Technology,PGM-0001,VDR-00001,Store Systems and POS,committed,2026-10-15,AI value proof required for FY27 funding,Track cost per transaction/user/process cycle before scaling claims
apex-retail,Retail Demo,v6.0,spend_value,APX-BUD-002,Store operations record,v4_synthetic_pack,SVP Digital Engineering,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APX-BUD-002,161200000,budget,SVP Digital Engineering,PGM-0002,VDR-00002,Digital Commerce Engineering,discretionary,2026-10-26,Baseline portfolio funding,Track cost per transaction/user/process cycle before scaling claims
apex-retail,Retail Demo,v6.0,spend_value,APX-BUD-003,Inventory accuracy record,v4_synthetic_pack,VP Merch Tech,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,4,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APX-BUD-003,85560000,budget,VP Merch Tech,PGM-0003,VDR-00003,Merchandising and Planning Systems,committed,2026-11-06,Baseline portfolio funding,Track cost per transaction/user/process cycle before scaling claims
apex-retail,Retail Demo,v6.0,spend_value,APX-BUD-004,Customer loyalty record,v4_synthetic_pack,VP Supply Chain Tech,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,5,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APX-BUD-004,106640000,budget,VP Supply Chain Tech,PGM-0004,VDR-00004,Supply Chain Platforms,discretionary,2026-11-17,AI value proof required for FY27 funding,Track cost per transaction/user/process cycle before scaling claims
apex-retail,Retail Demo,v6.0,spend_value,APX-BUD-005,Retail pricing record,v4_synthetic_pack,VP Customer Platforms,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,6,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APX-BUD-005,76880000,budget,VP Customer Platforms,PGM-0005,VDR-00005,Customer Data and Loyalty Platforms,committed,2026-11-28,Baseline portfolio funding,Track cost per transaction/user/process cycle before scaling claims
apex-retail,Retail Demo,v6.0,spend_value,APX-BUD-006,Merchandising record,v4_synthetic_pack,VP ERP,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,7,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APX-BUD-006,71920000,budget,VP ERP,PGM-0006,VDR-00006,ERP and Corporate Systems,discretionary,2026-12-09,Baseline portfolio funding,Track cost per transaction/user/process cycle before scaling claims
apex-retail,Retail Demo,v6.0,spend_value,APX-BUD-007,Omnichannel selling record,v4_synthetic_pack,Chief Data Officer,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,8,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APX-BUD-007,114080000,budget,Chief Data Officer,PGM-0007,VDR-00007,"Data, Analytics and AI",committed,2026-12-20,AI value proof required for FY27 funding,Track cost per transaction/user/process cycle before scaling claims
apex-retail,Retail Demo,v6.0,spend_value,APX-BUD-008,Store operations record,v4_synthetic_pack,VP Cloud Platform,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,9,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APX-BUD-008,102920000,budget,VP Cloud Platform,PGM-0008,VDR-00008,Cloud Platform and SRE,discretionary,2026-12-31,Baseline portfolio funding,Track cost per transaction/user/process cycle before scaling claims
apex-retail,Retail Demo,v6.0,spend_value,APX-BUD-009,Inventory accuracy record,v4_synthetic_pack,CISO,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,10,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APX-BUD-009,69440000,budget,CISO,PGM-0009,VDR-00009,Cybersecurity,committed,2027-01-11,Baseline portfolio funding,Track cost per transaction/user/process cycle before scaling claims
apex-retail,Retail Demo,v6.0,spend_value,APX-BUD-010,Customer loyalty record,v4_synthetic_pack,VP IT Operations,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,11,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APX-BUD-010,60760000,budget,VP IT Operations,PGM-0010,VDR-00010,Service Management and End User Tech,discretionary,2027-01-22,AI value proof required for FY27 funding,Track cost per transaction/user/process cycle before scaling claims
