pattern_id,pattern_name,industry_domain,recommended_actions,executive_audience,relevance_to_lakeshore,pattern_confidence,grounding_boundary,data_provider_name,data_provider_role,source_artifact_type,source_artifact_name,capture_method,extraction_method,generated_by,validated_by,source_validation_status,source_as_of_date,known_gaps
PAT-001,Back-office AI value office,industrial_shared_services,"prioritize finance, HR, legal, procurement, and IT service workflows where volume, baseline, and owner exist",CIO; CFO; VP Innovation,applies to Lakeshore corporate shared services,high,"industry/pattern context, not tenant fact unless tied to Lakeshore evidence",AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
PAT-002,Finance close automation,finance_transformation,"gate AI on reconciliation evidence, account ownership, and close-cycle baseline",CFO; Controller,applies to corporate and all OpCos,high,"industry/pattern context, not tenant fact unless tied to Lakeshore evidence",AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
PAT-003,Treasury cash forecasting,treasury,"certify bank feeds, ERP/AP/AR/GL quality, and signer controls before scaling",Treasurer; CFO,applies to Kyriba readiness,high,"industry/pattern context, not tenant fact unless tied to Lakeshore evidence",AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
PAT-004,Legal AI intake,legal_operations,start with matter triage and clause playbooks; keep attorney review controls,General Counsel,applies to Icertis and Legal Tracker,high,"industry/pattern context, not tenant fact unless tied to Lakeshore evidence",AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
PAT-005,HR shared services assistant,hr_operations,ground policy answers in HR knowledge base and case taxonomy before broad rollout,CHRO,applies to Workday / employee service,high,"industry/pattern context, not tenant fact unless tied to Lakeshore evidence",AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
PAT-006,Logistics control tower,distribution_logistics,"connect WMS, TMS, YMS, telematics, carrier visibility, and freight audit before claiming route-cost savings",Northline VP Supply Chain,Northline Supply Chain,high,"industry/pattern context, not tenant fact unless tied to Lakeshore evidence",AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
PAT-007,Cold-chain exception management,foodservice_distribution,"treat temperature excursions, route delays, and recall evidence as one operating graph",Northline VP Quality,Northline Supply Chain,high,"industry/pattern context, not tenant fact unless tied to Lakeshore evidence",AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
PAT-008,Campaign margin cockpit,marketing_services,"link campaign brief, fulfillment cost, client billing, consent, and SLA evidence to find margin leakage",Brightmark VP Client Operations,Brightmark Marketing Services,high,"industry/pattern context, not tenant fact unless tied to Lakeshore evidence",AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
PAT-009,Consent-safe loyalty AI,marketing_services,"separate tenant facts, client data permissions, and consumer consent before service automation",Brightmark General Counsel,Brightmark Marketing Services,high,"industry/pattern context, not tenant fact unless tied to Lakeshore evidence",AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
PAT-010,Trade promotion ROI control,consumer_products,"connect TPM, deductions, demand, retail EDI, and product master before reallocating spend",Forge & Field VP Finance,Forge & Field Consumer Products,high,"industry/pattern context, not tenant fact unless tied to Lakeshore evidence",AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
