function_id,function_name,executive_owner_role,head_count,description,source_file,source_row,value_source
APX-BF-001,Store Operations,COO,145000,"Stores, district operations, labor execution, inventory handling",family-1-enterprise-operating-model/F02_business-org-functions.csv,2,tenant_file
APX-BF-002,Digital Commerce,Chief Digital Officer,4200,"Web, mobile, checkout, search, conversion, personalization",family-1-enterprise-operating-model/F02_business-org-functions.csv,3,tenant_file
APX-BF-003,Merchandising,Chief Merchandising Officer,3600,"Category planning, assortment, markdowns, vendor funds",family-1-enterprise-operating-model/F02_business-org-functions.csv,4,tenant_file
APX-BF-004,Supply Chain and Fulfillment,Chief Supply Chain Officer,22000,"DCs, transportation, last mile, inventory flow",family-1-enterprise-operating-model/F02_business-org-functions.csv,5,tenant_file
APX-BF-005,Loyalty and Customer Growth,Chief Marketing Officer,2100,"Loyalty, retail media, personalization, CRM",family-1-enterprise-operating-model/F02_business-org-functions.csv,6,tenant_file
APX-BF-006,Finance and FP&A,CFO,1800,"Margin, shrink, close, forecasting, capital governance",family-1-enterprise-operating-model/F02_business-org-functions.csv,7,tenant_file
APX-BF-007,Loss Prevention and Risk,Chief Risk Officer,2400,"Shrink, fraud, safety, internal controls",family-1-enterprise-operating-model/F02_business-org-functions.csv,8,tenant_file
APX-BF-008,Technology,CIO,6200,"Applications, infrastructure, data, security, AI platforms",family-1-enterprise-operating-model/F02_business-org-functions.csv,9,tenant_file
APX-BF-009,Human Resources,CHRO,1700,"Store labor, scheduling, hiring, training",family-1-enterprise-operating-model/F02_business-org-functions.csv,10,tenant_file
APX-BF-010,Procurement and Vendor Management,Chief Procurement Officer,650,"Sourcing, contracts, SaaS/vendor governance",family-1-enterprise-operating-model/F02_business-org-functions.csv,11,tenant_file
APX-BF-011,Real Estate and Facilities,Chief Real Estate Officer,900,"Stores, remodels, leases, facilities",family-1-enterprise-operating-model/F02_business-org-functions.csv,12,tenant_file
APX-BF-012,Private Brands,SVP Private Brands,720,"Product development, sourcing, quality",family-1-enterprise-operating-model/F02_business-org-functions.csv,13,tenant_file
