app_id,name,stack_era,criticality,owner_role,system_of_record,business_unit_id,ams_vendor,time_classification,annual_run_cost_usd,regulatory_scope,notes
NST-APP-001,Oracle Capability 1,Oracle,P2,VP Quality,false,BU-DENTAL,Oracle,invest,522000,standard,
NST-APP-002,JD Edwards Capability 2,JD Edwards,P2,VP Manufacturing,false,BU-HIS,Cognizant,invest,594000,standard,
NST-APP-003,Infor Capability 3,Infor,P2,VP HIS,false,BU-STERILE,Accenture,invest,666000,standard,
NST-APP-004,AS/400 Capability 4,AS/400,P1,VP Commercial,false,BU-MONITOR,Infosys,invest,738000,SOX,
NST-APP-005,Mainframe Capability 5,Mainframe,P2,VP Security,true,BU-FILTER,Siemens,tolerate,810000,standard,
NST-APP-006,Java legacy Capability 6,Java legacy,P2,VP ERP,false,BU-AWC,PTC,invest,882000,GxP,
NST-APP-007,.NET Framework Capability 7,.NET Framework,P2,VP Quality,false,BU-DENTAL,Veeva,migrate,954000,standard,
NST-APP-008,SaaS Capability 8,SaaS,P1,VP Manufacturing,false,BU-HIS,Salesforce,invest,1026000,SOX,
NST-APP-009,Modern microservice Capability 9,Modern microservice,P0,VP HIS,false,BU-STERILE,ServiceNow,invest,1098000,standard,
NST-APP-010,Python ML Capability 10,Python ML,P2,VP Commercial,true,BU-MONITOR,Microsoft,tolerate,1170000,standard,
NST-APP-011,Plant edge Capability 11,Plant edge,P2,VP Security,false,BU-FILTER,AWS,invest,1242000,standard,
NST-APP-012,SAP Capability 12,SAP,P1,VP ERP,false,BU-AWC,Azure,invest,1314000,GxP,
NST-APP-013,Oracle Capability 13,Oracle,P2,VP Quality,false,BU-DENTAL,SAP,invest,1386000,standard,
NST-APP-014,JD Edwards Capability 14,JD Edwards,P2,VP Manufacturing,false,BU-HIS,Oracle,migrate,1458000,standard,
NST-APP-015,Infor Capability 15,Infor,P2,VP HIS,true,BU-STERILE,Cognizant,tolerate,1530000,standard,
NST-APP-016,AS/400 Capability 16,AS/400,P1,VP Commercial,false,BU-MONITOR,Accenture,invest,1602000,SOX,
NST-APP-017,Mainframe Capability 17,Mainframe,P2,VP Security,false,BU-FILTER,Infosys,invest,1674000,standard,
NST-APP-018,Java legacy Capability 18,Java legacy,P0,,false,BU-AWC,Siemens,invest,1746000,GxP,
NST-APP-019,.NET Framework Capability 19,.NET Framework,P2,VP Quality,false,BU-DENTAL,PTC,retire,1818000,standard,
NST-APP-020,SaaS Capability 20,SaaS,P1,VP Manufacturing,true,BU-HIS,Veeva,tolerate,1890000,SOX,
NST-APP-021,Modern microservice Capability 21,Modern microservice,P2,VP HIS,false,BU-STERILE,Salesforce,migrate,1962000,standard,
NST-APP-022,Python ML Capability 22,Python ML,P2,VP Commercial,false,BU-MONITOR,ServiceNow,invest,2034000,standard,
NST-APP-023,Plant edge Capability 23,Plant edge,P2,VP Security,false,BU-FILTER,Microsoft,invest,2106000,standard,
NST-APP-024,SAP Capability 24,SAP,P1,VP ERP,false,BU-AWC,AWS,invest,2178000,GxP,
NST-APP-025,Oracle Capability 25,Oracle,P2,VP Quality,true,BU-DENTAL,Azure,tolerate,2250000,standard,
NST-APP-026,JD Edwards Capability 26,JD Edwards,P2,VP Manufacturing,false,BU-HIS,SAP,invest,2322000,standard,
NST-APP-027,Infor Capability 27,Infor,P0,VP HIS,false,BU-STERILE,Oracle,invest,2394000,standard,
NST-APP-028,AS/400 Capability 28,AS/400,P1,VP Commercial,false,BU-MONITOR,Cognizant,migrate,2466000,SOX,
NST-APP-029,Mainframe Capability 29,Mainframe,P2,VP Security,false,BU-FILTER,Accenture,invest,2538000,standard,
NST-APP-030,Java legacy Capability 30,Java legacy,P2,VP ERP,true,BU-AWC,Infosys,tolerate,2610000,GxP,
NST-APP-031,.NET Framework Capability 31,.NET Framework,P2,VP Quality,false,BU-DENTAL,Siemens,invest,2682000,standard,
NST-APP-032,SaaS Capability 32,SaaS,P1,VP Manufacturing,false,BU-HIS,PTC,invest,2754000,SOX,
NST-APP-033,Modern microservice Capability 33,Modern microservice,P2,VP HIS,false,BU-STERILE,Veeva,invest,2826000,standard,
NST-APP-034,Python ML Capability 34,Python ML,P2,VP Commercial,false,BU-MONITOR,Salesforce,invest,2898000,standard,
NST-APP-035,Plant edge Capability 35,Plant edge,P2,VP Security,true,BU-FILTER,ServiceNow,migrate,2970000,standard,
NST-APP-036,SAP Capability 36,SAP,P0,,false,BU-AWC,Microsoft,invest,3042000,GxP,
NST-APP-037,Oracle Capability 37,Oracle,P2,VP Quality,false,BU-DENTAL,AWS,invest,3114000,standard,KILL CANDIDATE: AS/400 Distributor Rebates Retirement blocker
NST-APP-038,JD Edwards Capability 38,JD Edwards,P2,VP Manufacturing,false,BU-HIS,Azure,retire,3186000,standard,
NST-APP-039,Infor Capability 39,Infor,P2,VP HIS,false,BU-STERILE,SAP,invest,3258000,standard,
NST-APP-040,AS/400 Capability 40,AS/400,P1,VP Commercial,true,BU-MONITOR,Oracle,tolerate,3330000,SOX,
NST-APP-041,Mainframe Capability 41,Mainframe,P2,VP Security,false,BU-FILTER,Cognizant,invest,3402000,standard,
NST-APP-042,Java legacy Capability 42,Java legacy,P2,VP ERP,false,BU-AWC,Accenture,migrate,3474000,GxP,
NST-APP-043,.NET Framework Capability 43,.NET Framework,P2,VP Quality,false,BU-DENTAL,Infosys,invest,3546000,standard,
NST-APP-044,SaaS Capability 44,SaaS,P1,VP Manufacturing,false,BU-HIS,Siemens,invest,3618000,SOX,
NST-APP-045,Modern microservice Capability 45,Modern microservice,P0,VP HIS,true,BU-STERILE,PTC,tolerate,3690000,standard,
NST-APP-046,Python ML Capability 46,Python ML,P2,VP Commercial,false,BU-MONITOR,Veeva,invest,3762000,standard,
NST-APP-047,Plant edge Capability 47,Plant edge,P2,VP Security,false,BU-FILTER,Salesforce,invest,3834000,standard,
NST-APP-048,SAP Capability 48,SAP,P1,VP ERP,false,BU-AWC,ServiceNow,invest,3906000,GxP,
NST-APP-049,Oracle Capability 49,Oracle,P2,VP Quality,false,BU-DENTAL,Microsoft,migrate,3978000,standard,
NST-APP-050,JD Edwards Capability 50,JD Edwards,P2,VP Manufacturing,true,BU-HIS,AWS,tolerate,4050000,standard,
NST-APP-051,Infor Capability 51,Infor,P2,VP HIS,false,BU-STERILE,Azure,invest,4122000,standard,
NST-APP-052,AS/400 Capability 52,AS/400,P1,VP Commercial,false,BU-MONITOR,SAP,invest,4194000,SOX,
NST-APP-053,Mainframe Capability 53,Mainframe,P2,VP Security,false,BU-FILTER,Oracle,invest,4266000,standard,
NST-APP-054,Java legacy Capability 54,Java legacy,P0,,false,BU-AWC,Cognizant,invest,4338000,GxP,
NST-APP-055,.NET Framework Capability 55,.NET Framework,P2,VP Quality,true,BU-DENTAL,Accenture,tolerate,4410000,standard,
NST-APP-056,SaaS Capability 56,SaaS,P1,VP Manufacturing,false,BU-HIS,Infosys,migrate,4482000,SOX,
NST-APP-057,Modern microservice Capability 57,Modern microservice,P2,VP HIS,false,BU-STERILE,Siemens,retire,4554000,standard,
NST-APP-058,Python ML Capability 58,Python ML,P2,VP Commercial,false,BU-MONITOR,PTC,invest,4626000,standard,
NST-APP-059,Plant edge Capability 59,Plant edge,P2,VP Security,false,BU-FILTER,Veeva,invest,4698000,standard,
NST-APP-060,SAP Capability 60,SAP,P1,VP ERP,true,BU-AWC,Salesforce,tolerate,4770000,GxP,
NST-APP-061,Oracle Capability 61,Oracle,P2,VP Quality,false,BU-DENTAL,ServiceNow,invest,4842000,standard,
NST-APP-062,JD Edwards Capability 62,JD Edwards,P2,VP Manufacturing,false,BU-HIS,Microsoft,invest,4914000,standard,
NST-APP-063,Infor Capability 63,Infor,P0,VP HIS,false,BU-STERILE,AWS,migrate,4986000,standard,
NST-APP-064,AS/400 Capability 64,AS/400,P1,VP Commercial,false,BU-MONITOR,Azure,invest,5058000,SOX,
NST-APP-065,Mainframe Capability 65,Mainframe,P2,VP Security,true,BU-FILTER,SAP,tolerate,5130000,standard,
NST-APP-066,Java legacy Capability 66,Java legacy,P2,VP ERP,false,BU-AWC,Oracle,invest,5202000,GxP,
NST-APP-067,.NET Framework Capability 67,.NET Framework,P2,VP Quality,false,BU-DENTAL,Cognizant,invest,5274000,standard,
NST-APP-068,SaaS Capability 68,SaaS,P1,VP Manufacturing,false,BU-HIS,Accenture,invest,5346000,SOX,
NST-APP-069,Modern microservice Capability 69,Modern microservice,P2,VP HIS,false,BU-STERILE,Infosys,invest,5418000,standard,
NST-APP-070,Python ML Capability 70,Python ML,P2,VP Commercial,true,BU-MONITOR,Siemens,migrate,5490000,standard,
NST-APP-071,Plant edge Capability 71,Plant edge,P2,VP Security,false,BU-FILTER,PTC,invest,5562000,standard,
NST-APP-072,SAP Capability 72,SAP,P0,,false,BU-AWC,Veeva,invest,5634000,GxP,
NST-APP-073,Oracle Capability 73,Oracle,P2,VP Quality,false,BU-DENTAL,Salesforce,invest,5706000,standard,
NST-APP-074,JD Edwards Capability 74,JD Edwards,P2,VP Manufacturing,false,BU-HIS,ServiceNow,invest,5778000,standard,
NST-APP-075,Infor Capability 75,Infor,P2,VP HIS,true,BU-STERILE,Microsoft,tolerate,5850000,standard,
NST-APP-076,AS/400 Capability 76,AS/400,P1,VP Commercial,false,BU-MONITOR,AWS,retire,5922000,SOX,
NST-APP-077,Mainframe Capability 77,Mainframe,P2,VP Security,false,BU-FILTER,Azure,migrate,5994000,standard,
NST-APP-078,Java legacy Capability 78,Java legacy,P2,VP ERP,false,BU-AWC,SAP,invest,6066000,GxP,
NST-APP-079,.NET Framework Capability 79,.NET Framework,P2,VP Quality,false,BU-DENTAL,Oracle,invest,6138000,standard,
NST-APP-080,SaaS Capability 80,SaaS,P1,VP Manufacturing,true,BU-HIS,Cognizant,tolerate,6210000,SOX,
