tenant_key,application_id,application_name,business_domain,business_owner_role,owning_team_id,owning_team_name,executive_owner_role,technical_owner_role,source_basis,source_files,confidence,caveat,source_file,source_row,value_source
meridian-health,MER-APP-001,Epic Hyperspace,clinical_ehr,Chief Medical Officer,MER-IT-002,Epic and Clinical Systems,VP Clinical Platforms,Epic and Clinical Systems,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,2,tenant_file
meridian-health,MER-APP-002,Epic MyChart,clinical_ehr,Chief Health Plan Officer,MER-IT-002,Epic and Clinical Systems,VP Clinical Platforms,Epic and Clinical Systems,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,3,tenant_file
meridian-health,MER-APP-003,Epic Cadence,clinical_ehr,Chief Digital & Information Officer,MER-IT-002,Epic and Clinical Systems,VP Clinical Platforms,Epic and Clinical Systems,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,4,tenant_file
meridian-health,MER-APP-004,Epic Resolute PB,clinical_ehr,CFO,MER-IT-002,Epic and Clinical Systems,VP Clinical Platforms,Epic and Clinical Systems,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,5,tenant_file
meridian-health,MER-APP-005,Epic Resolute HB,clinical_ehr,Chief Operating Officer,MER-IT-002,Epic and Clinical Systems,VP Clinical Platforms,Epic and Clinical Systems,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,6,tenant_file
meridian-health,MER-APP-006,Epic Healthy Planet,clinical_ehr,Chief Nursing Officer,MER-IT-002,Epic and Clinical Systems,VP Clinical Platforms,Epic and Clinical Systems,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,7,tenant_file
meridian-health,MER-APP-007,Epic Cogito,clinical_ehr,Chief Compliance Officer,MER-IT-002,Epic and Clinical Systems,VP Clinical Platforms,Epic and Clinical Systems,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,8,tenant_file
meridian-health,MER-APP-008,Epic Clarity,clinical_ehr,Chief Customer Experience Officer,MER-IT-002,Epic and Clinical Systems,VP Clinical Platforms,Epic and Clinical Systems,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,9,tenant_file
meridian-health,MER-APP-009,Epic Caboodle,clinical_ehr,Chief Medical Officer,MER-IT-002,Epic and Clinical Systems,VP Clinical Platforms,Epic and Clinical Systems,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,10,tenant_file
meridian-health,MER-APP-010,Epic Cosmos connector,clinical_ehr,Chief Health Plan Officer,MER-IT-002,Epic and Clinical Systems,VP Clinical Platforms,Epic and Clinical Systems,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,11,tenant_file
meridian-health,MER-APP-011,Epic Beaker,clinical_ehr,Chief Digital & Information Officer,MER-IT-002,Epic and Clinical Systems,VP Clinical Platforms,Epic and Clinical Systems,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,12,tenant_file
