tenant_key,map_id,vendor_id,vendor_name,contract_or_scope,annual_value_usd,renewal_date,supported_system_id,supported_system_name,owner_role,source_basis,confidence,caveat,source_file,source_row,value_source
meridian-health,meridian-health-VENDOR-SYSTEM-1,MER-VEN-001,Epic,clinical_ai_or_ehr,1200000,2026-07-05,MER-APP-001,Epic Hyperspace,Chief Medical Officer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,2,tenant_file
meridian-health,meridian-health-VENDOR-SYSTEM-2,MER-VEN-002,Databricks,clinical_ai_or_ehr,2275000,2026-08-06,MER-APP-038,Databricks AWS Lakehouse,Chief Health Plan Officer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,3,tenant_file
meridian-health,meridian-health-VENDOR-SYSTEM-3,MER-VEN-003,AWS,clinical_ai_or_ehr,3350000,2026-09-07,MER-APP-038,Databricks AWS Lakehouse,Chief Digital & Information Officer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,4,tenant_file
meridian-health,meridian-health-VENDOR-SYSTEM-4,MER-VEN-004,Microsoft/Nuance,clinical_ai_or_ehr,4425000,2026-10-08,,,CFO,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,5,tenant_file
meridian-health,meridian-health-VENDOR-SYSTEM-5,MER-VEN-005,Abridge,clinical_ai_or_ehr,5500000,2026-11-09,,,Chief Operating Officer,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,6,tenant_file
meridian-health,meridian-health-VENDOR-SYSTEM-6,MER-VEN-006,Suki,clinical_ai_or_ehr,6575000,2026-12-10,,,Chief Nursing Officer,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,7,tenant_file
meridian-health,meridian-health-VENDOR-SYSTEM-7,MER-VEN-007,Genesys,payer_platform_or_integration,7650000,2026-07-11,MER-APP-023,Genesys Cloud CX,Chief Compliance Officer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,8,tenant_file
meridian-health,meridian-health-VENDOR-SYSTEM-8,MER-VEN-008,Salesforce,payer_platform_or_integration,8725000,2026-08-12,MER-APP-024,Salesforce Health Cloud,Chief Customer Experience Officer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,9,tenant_file
meridian-health,meridian-health-VENDOR-SYSTEM-9,MER-VEN-009,Change Healthcare,payer_platform_or_integration,9800000,2026-09-13,MER-APP-021,Change Healthcare EDI gateway,Chief Medical Officer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,10,tenant_file
meridian-health,meridian-health-VENDOR-SYSTEM-10,MER-VEN-010,Optum,payer_platform_or_integration,10875000,2026-10-14,MER-APP-020,Optum payment integrity,Chief Health Plan Officer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,11,tenant_file
meridian-health,meridian-health-VENDOR-SYSTEM-11,MER-VEN-011,HealthEdge,payer_platform_or_integration,11950000,2026-11-15,,,Chief Digital & Information Officer,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,12,tenant_file
meridian-health,meridian-health-VENDOR-SYSTEM-12,MER-VEN-012,TriZetto,payer_platform_or_integration,13025000,2026-12-16,MER-APP-016,TriZetto provider pricing,CFO,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,13,tenant_file
meridian-health,meridian-health-VENDOR-SYSTEM-13,MER-VEN-013,MuleSoft,payer_platform_or_integration,14100000,2026-07-17,MER-APP-042,MuleSoft API analytics,Chief Operating Officer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,14,tenant_file
meridian-health,meridian-health-VENDOR-SYSTEM-14,MER-VEN-014,Informatica,data_and_analytics,15175000,2026-08-18,MER-APP-034,Informatica PowerCenter,Chief Nursing Officer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,15,tenant_file
meridian-health,meridian-health-VENDOR-SYSTEM-15,MER-VEN-015,Tableau,data_and_analytics,16250000,2026-09-19,MER-APP-035,Tableau Server,Chief Compliance Officer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,16,tenant_file
meridian-health,meridian-health-VENDOR-SYSTEM-16,MER-VEN-016,SAS,data_and_analytics,17325000,2026-10-20,MER-APP-037,SAS Grid,Chief Customer Experience Officer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,17,tenant_file
