signal_id,service_or_process,ticket_or_event_type,monthly_volume,severity_mix,mttr_hours,backlog_count,automation_candidate,root_cause_theme
MER-OPS-001,Epic interface failures,incident,160,18% high / 62% medium / 20% low,5,38,yes,source data quality
MER-OPS-002,claims EDI rejects,data_quality,218,8% high / 54% medium / 38% low,6.3,52,partial,manual triage
MER-OPS-003,call transcript ingest backlog,service_request,276,8% high / 54% medium / 38% low,7.6,66,yes,identity/attribution mismatch
MER-OPS-004,prior auth missing clinical evidence,incident,334,8% high / 54% medium / 38% low,8.9,80,partial,control evidence gap
MER-OPS-005,provider attribution disputes,data_quality,392,18% high / 62% medium / 20% low,10.2,94,yes,source data quality
MER-OPS-006,HEDIS measure exceptions,service_request,450,8% high / 54% medium / 38% low,11.5,108,partial,manual triage
MER-OPS-007,GL to claims reconciliation defects,incident,508,8% high / 54% medium / 38% low,12.8,122,yes,identity/attribution mismatch
MER-OPS-008,payment integrity false positives,data_quality,566,8% high / 54% medium / 38% low,14.1,136,partial,control evidence gap
MER-OPS-009,Databricks job failures,service_request,624,18% high / 62% medium / 20% low,15.4,150,yes,source data quality
MER-OPS-010,Unity Catalog access exceptions,incident,682,8% high / 54% medium / 38% low,16.700000000000003,164,partial,manual triage
MER-OPS-011,FHIR consent scope tickets,data_quality,740,8% high / 54% medium / 38% low,18,178,yes,identity/attribution mismatch
MER-OPS-012,Tableau certified data requests,service_request,798,8% high / 54% medium / 38% low,19.3,192,partial,control evidence gap
