vendor_id,vendor_name,category,owned_by,annual_contract_value_usd,renewal_date,criticality,license_or_unit_basis,commercial_risk,evidence_id,source_file,source_row,value_source
FC-VEN-001,FIS,cards_payments,Treasurer,16300000,2026-07-06,low,enterprise subscription,normal,FC-EVID-028,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,2,tenant_file
FC-VEN-002,Fiserv,core_platform,Chief Financial Officer,21200000,2026-04-15,high,per user / per seat,normal,FC-EVID-009,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,3,tenant_file
FC-VEN-003,Temenos,cards_payments,Chief Risk Officer,6500000,2026-12-13,high,consumption / usage,normal,FC-EVID-002,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,4,tenant_file
FC-VEN-004,Thought Machine,channels_crm,Head of Consumer Banking,17500000,2026-12-23,high,enterprise subscription,normal,FC-EVID-023,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,5,tenant_file
FC-VEN-005,TSYS,channels_crm,Head of Cards & Payments,26200000,2026-05-02,high,consumption / usage,normal,FC-EVID-026,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,6,tenant_file
FC-VEN-006,Mastercard,risk_aml_ai,Chief Risk Officer,2200000,2026-07-23,low,enterprise subscription,normal,FC-EVID-012,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,7,tenant_file
FC-VEN-007,Visa DPS,finance_erp,Head of Commercial Banking,9000000,2026-11-02,high,consumption / usage,normal,FC-EVID-007,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,8,tenant_file
FC-VEN-008,Marqeta,finance_erp,Head of Wealth Management,18300000,2026-09-06,low,per transaction,concentration risk,FC-EVID-017,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,9,tenant_file
FC-VEN-009,ACI Worldwide,data_ai_platform,Head of Commercial Banking,24300000,2026-02-26,medium,per user / per seat,normal,FC-EVID-029,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,10,tenant_file
FC-VEN-010,Volante,finance_erp,Chief Risk Officer,12800000,2026-02-02,high,consumption / usage,auto-renew exposure,FC-EVID-019,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,11,tenant_file
FC-VEN-011,NICE Actimize,cards_payments,Head of Commercial Banking,19600000,2026-07-22,high,enterprise subscription,normal,FC-EVID-025,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,12,tenant_file
FC-VEN-012,SAS,infra_security,Head of Consumer Banking,19300000,2026-11-24,high,enterprise subscription,normal,FC-EVID-017,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,13,tenant_file
FC-VEN-013,Feedzai,infra_security,Treasurer,13300000,2026-06-04,high,enterprise subscription,normal,FC-EVID-039,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,14,tenant_file
FC-VEN-014,Featurespace,channels_crm,Head of Consumer Banking,15700000,2026-04-20,high,per user / per seat,renewal before evidence gate,FC-EVID-029,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,15,tenant_file
FC-VEN-015,Moody's,finance_erp,Head of Wealth Management,2300000,2026-01-19,medium,per user / per seat,normal,FC-EVID-028,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,16,tenant_file
FC-VEN-016,Numerix,data_ai_platform,Head of Commercial Banking,10900000,2026-05-23,low,consumption / usage,normal,FC-EVID-034,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,17,tenant_file
