tenant_key,line_id,budget_area,function_or_platform,owner_role,owner_team_id,spend_type,budget_fy26_usd,run_budget_fy26_usd,change_budget_fy26_usd,ai_data_budget_fy26_usd,capex_budget_fy26_usd,opex_budget_fy26_usd,labor_pct,vendor_pct,cloud_infra_pct,budget_pressure,amount_type,view,is_rollup_of,basis,period,formula,formula_version,source_file,source_row,value_source,notes
first-capital-financial,FC-BUD-001,Office of the CIO,,Chief Information Officer,,,64000000,39680000,24320000,5120000,19200000,44800000,35,35,23,run cost crowding out change,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:30pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,2,tenant_file,
first-capital-financial,FC-BUD-002,Core Banking Platforms,,VP Core Banking,,,312000000,193440000,118560000,24960000,109200000,202800000,36,42,19,within plan,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:35pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,3,tenant_file,
first-capital-financial,FC-BUD-003,Cards & Payments Technology,,VP Cards & Payments Tech,,,268000000,166160000,101840000,21440000,80400000,187600000,33,35,16,run cost crowding out change,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:30pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,4,tenant_file,
first-capital-financial,FC-BUD-004,Channels & Digital Engineering,,VP Digital,,,196000000,121520000,74480000,15680000,82320000,113680000,39,36,25,run cost crowding out change,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:42pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,5,tenant_file,
first-capital-financial,FC-BUD-005,Data Platform & AI Engineering,,Chief Data & Analytics Officer,,,188000000,116560000,71440000,63920000,78960000,109040000,42,48,17,cloud cost growth,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:42pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,6,tenant_file,
first-capital-financial,FC-BUD-006,Integration & API Platform,,VP Integration,,,96000000,59520000,36480000,32640000,26880000,69120000,44,43,22,within plan,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:28pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,7,tenant_file,
first-capital-financial,FC-BUD-007,"Risk, Treasury & Finance Systems",,VP Risk & Finance Tech,,,178000000,110360000,67640000,14240000,62300000,115700000,39,38,14,run cost crowding out change,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:35pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,8,tenant_file,
first-capital-financial,FC-BUD-008,Financial Crimes Technology,,VP Financial Crimes Tech,,,142000000,88040000,53960000,11360000,42600000,99400000,31,44,26,within plan,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:30pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,9,tenant_file,
first-capital-financial,FC-BUD-009,"Cyber, Privacy & Resilience",,Chief Information Security Officer,,,246000000,152520000,93480000,19680000,73800000,172200000,44,35,17,run cost crowding out change,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:30pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,10,tenant_file,
first-capital-financial,FC-BUD-010,Cloud & Infrastructure,,VP Infrastructure,,,254000000,157480000,96520000,86360000,71120000,182880000,38,38,22,cloud cost growth,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:28pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,11,tenant_file,
first-capital-financial,FC-BUD-011,ServiceNow & IT Operations,,VP IT Operations,,,78000000,48360000,29640000,6240000,14040000,63960000,31,41,15,within plan,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:18pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,12,tenant_file,
first-capital-financial,FC-BUD-012,AI Governance & Model Risk Tech,,Chief Data & Analytics Officer,,,52000000,32240000,19760000,17680000,21840000,30160000,38,39,20,cloud cost growth,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:42pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,13,tenant_file,
first-capital-financial,FC-BUD-013,Developer Experience & DevSecOps,,VP Engineering,,,58000000,35960000,22040000,4640000,10440000,47560000,36,37,24,within plan,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:18pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,14,tenant_file,
