tenant_key,source_system,source_object,source_record_id,extract_job_id,extract_timestamp,as_of_date,contract_id,document_id,pricing_line_id,service_tower_id,line_item_description,quantity_or_commitment,unit_of_measure,unit_price_usd,annual_value_usd,effective_from,effective_to,operative_state,uplift_cap_pct,synthetic_formula_note,review_state,row_hash
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-RCM-001-1,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,DOC-MER-CTR-RCM-001-PRICING-EXHIBIT,PL-MER-CTR-RCM-001-1,SVC-MER-CTR-RCM-001-1,claims intake fte_month pricing,85,fte_month,7658.82,7812000,2025-01-01,2027-12-31,current,3.5,annual_value_usd = contract annual value * allocation factor 0.42,accepted_synthetic_fixture,34dedaf3c29d1971e4ec08ff9343925f82e84b270ef6102e314052af495949b0
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-RCM-001-2,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,DOC-MER-CTR-RCM-001-PRICING-EXHIBIT,PL-MER-CTR-RCM-001-2,SVC-MER-CTR-RCM-001-2,denial management transaction pricing,42000,transaction,124,5208000,2025-01-01,2027-12-31,current,3.5,annual_value_usd = contract annual value * allocation factor 0.28,accepted_synthetic_fixture,cdd3bfd10bfe35ffe95c65800a30c096e643802848208e2573e0e0387e879858
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-RCM-001-3,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,DOC-MER-CTR-RCM-001-PRICING-EXHIBIT,PL-MER-CTR-RCM-001-3,SVC-MER-CTR-RCM-001-3,payment posting outcome pricing,1200,outcome,1860,2232000,2025-01-01,2027-12-31,current,3.5,annual_value_usd = contract annual value * allocation factor 0.12,accepted_synthetic_fixture,873cca2384e891b6cb75ae62ba85b014bf9e02c3da7b18ab24a911d91495d176
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-RCM-001-4,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,DOC-MER-CTR-RCM-001-AMEND-001,PL-MER-CTR-RCM-001-4,SVC-MER-CTR-RCM-001-4,patient billing transition_fee pricing,1,transition_fee,1860000,1860000,2027-01-01,2027-12-31,current,3.5,annual_value_usd = contract annual value * allocation factor 0.1,accepted_synthetic_fixture,58ef2f588f4eb92994fd666f490353f3f722ebd918071c85fb722ec6ef47e2c0
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-RCM-001-5,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-RCM-001,DOC-MER-CTR-RCM-001-AMEND-001,PL-MER-CTR-RCM-001-5,SVC-MER-CTR-RCM-001-1,claims intake retained_cost_offset pricing,1,retained_cost_offset,1488000,1488000,2027-01-01,2027-12-31,current,3.5,annual_value_usd = contract annual value * allocation factor 0.08,accepted_synthetic_fixture,5ced7518304137b962f865402c6c10f5f6d5fe58c6f8f425b252c16ad3b605c6
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-HR-BPO-001-1,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,DOC-MER-CTR-HR-BPO-001-PRICING-EXHIBIT,PL-MER-CTR-HR-BPO-001-1,SVC-MER-CTR-HR-BPO-001-1,payroll cases fte_month pricing,85,fte_month,5105.88,5208000,2026-10-01,2029-09-30,current,3.5,annual_value_usd = contract annual value * allocation factor 0.42,accepted_synthetic_fixture,2b6fe65e0e484e1bec2f005e2953623207abd2cfad021d574d14c8ecfc1234eb
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-HR-BPO-001-2,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,DOC-MER-CTR-HR-BPO-001-PRICING-EXHIBIT,PL-MER-CTR-HR-BPO-001-2,SVC-MER-CTR-HR-BPO-001-2,benefits administration transaction pricing,42000,transaction,82.67,3472000,2026-10-01,2029-09-30,current,3.5,annual_value_usd = contract annual value * allocation factor 0.28,accepted_synthetic_fixture,3de8ad1bcc1c41738ea67fc1dc77a255d83aef9db6fb6a99111a0b322c8d21d1
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-HR-BPO-001-3,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,DOC-MER-CTR-HR-BPO-001-PRICING-EXHIBIT,PL-MER-CTR-HR-BPO-001-3,SVC-MER-CTR-HR-BPO-001-3,onboarding outcome pricing,1200,outcome,1240,1488000,2026-10-01,2029-09-30,current,3.5,annual_value_usd = contract annual value * allocation factor 0.12,accepted_synthetic_fixture,108545b2b2a09d2281cb20391d21ffe299adf6475559683f72b880356b056e01
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-HR-BPO-001-4,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,DOC-MER-CTR-HR-BPO-001-AMEND-001,PL-MER-CTR-HR-BPO-001-4,SVC-MER-CTR-HR-BPO-001-4,offboarding transition_fee pricing,1,transition_fee,1240000,1240000,2027-01-01,2029-09-30,current,3.5,annual_value_usd = contract annual value * allocation factor 0.1,accepted_synthetic_fixture,d2e249bf67cebea68e27347e449dbcfe0125a9a98e874e0a608601c9336eb6ff
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-HR-BPO-001-5,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,DOC-MER-CTR-HR-BPO-001-AMEND-001,PL-MER-CTR-HR-BPO-001-5,SVC-MER-CTR-HR-BPO-001-1,payroll cases retained_cost_offset pricing,1,retained_cost_offset,992000,992000,2027-01-01,2029-09-30,current,3.5,annual_value_usd = contract annual value * allocation factor 0.08,accepted_synthetic_fixture,73021770774669c1064124bc80f55b564e14cdacdfcbf359619ab18b7eba75fd
