period,tool_name,vendor,business_function,licensed_users,active_users,active_rate_pct,monthly_prompts_or_actions,prompts_or_actions,estimated_hours_saved,quality_or_control_flag,source_file,source_row,cost_usd,policy_status,notes,value_source
2026-03,M365 Copilot,Microsoft,GEN-BF-001,120,45,38,1614,8000,260,needs_evidence_review,ai-control-tower/T03_tool-usage-monthly.csv,2,3490,approved,,tenant_file
2026-04,M365 Copilot,Microsoft,GEN-BF-006,120,52,43,2065,11100,340,needs_evidence_review,ai-control-tower/T03_tool-usage-monthly.csv,3,3428,approved,,tenant_file
2026-05,M365 Copilot,Microsoft,GEN-BF-001,120,60,50,1691,14200,420,needs_evidence_review,ai-control-tower/T03_tool-usage-monthly.csv,4,3593,approved,,tenant_file
2026-06,M365 Copilot,Microsoft,GEN-BF-006,120,67,56,2146,17300,500,needs_evidence_review,ai-control-tower/T03_tool-usage-monthly.csv,5,3531,approved,,tenant_file
2026-03,Claude Code,Anthropic,GEN-BF-008,330,125,38,1837,12200,315,normal,ai-control-tower/T03_tool-usage-monthly.csv,6,47231,under_review,,tenant_file
2026-04,Claude Code,Anthropic,GEN-BF-002,330,145,44,3530,15300,395,normal,ai-control-tower/T03_tool-usage-monthly.csv,7,52322,under_review,,tenant_file
2026-05,Claude Code,Anthropic,GEN-BF-007,330,165,50,6107,18400,475,normal,ai-control-tower/T03_tool-usage-monthly.csv,8,48645,approved,,tenant_file
2026-06,Claude Code,Anthropic,GEN-BF-004,330,184,56,7517,21500,555,normal,ai-control-tower/T03_tool-usage-monthly.csv,9,47795,under_review,,tenant_file
2026-03,Codex,OpenAI,GEN-BF-002,540,205,38,6012,16400,370,normal,ai-control-tower/T03_tool-usage-monthly.csv,10,33014,under_review,,tenant_file
2026-04,Codex,OpenAI,GEN-BF-005,540,237,44,7861,19500,450,normal,ai-control-tower/T03_tool-usage-monthly.csv,11,32645,approved,,tenant_file
2026-05,Codex,OpenAI,GEN-BF-002,540,270,50,7765,22600,530,normal,ai-control-tower/T03_tool-usage-monthly.csv,12,34126,approved,,tenant_file
2026-06,Codex,OpenAI,GEN-BF-008,540,302,56,7525,25700,610,normal,ai-control-tower/T03_tool-usage-monthly.csv,13,33570,under_review,,tenant_file
2026-03,Cursor,Cursor,GEN-BF-005,750,285,38,10386,20600,425,normal,ai-control-tower/T03_tool-usage-monthly.csv,14,28398,approved,,tenant_file
2026-04,Cursor,Cursor,GEN-BF-008,750,330,44,10758,23700,505,normal,ai-control-tower/T03_tool-usage-monthly.csv,15,28913,approved,,tenant_file
2026-05,Cursor,Cursor,GEN-BF-003,750,375,50,14092,26800,585,normal,ai-control-tower/T03_tool-usage-monthly.csv,16,31141,approved,,tenant_file
