tenant_key,initiative_id,initiative_name,business_area,portfolio_segment,owner_role,business_sponsor_role,stage,promised_benefit_usd,measured_value_usd,value_confidence,status,evidence_status,scale_decision,primary_blocker,evidence_id,amount_type,view,is_rollup_of,basis,period,formula,formula_version,source_file,source_row,value_source,notes
meridian-health,MER-AI-001,Databricks AWS clinical + claims lakehouse foundation,Enterprise data,Meridian Health System,Chief Data Officer,Chief Data Officer,mobilize,93000000,16740000,medium,at_risk,source_backed,hold_for_evidence,,,,,,,,,,ai-control-tower/T01_initiative-registry.csv,2,tenant_file,
meridian-health,MER-AI-002,Unified semantic layer for automation-ready data products,Data governance,Meridian Health System,Chief Data Officer,Chief Data Officer,design,42000000,11340000,high,scale_candidate,source_backed,hold_for_evidence,,,,,,,,,,ai-control-tower/T01_initiative-registry.csv,3,tenant_file,
meridian-health,MER-AI-003,Prior authorization automation evidence cockpit,Utilization management,Meridian Health System,Chief Health Plan Officer,Chief Health Plan Officer,pilot,61000000,21960000,high,scale_candidate,source_backed,hold_for_evidence,,,,,,,,,,ai-control-tower/T01_initiative-registry.csv,4,tenant_file,
meridian-health,MER-AI-004,Call center agent assist and next-best-action,Member experience,Meridian Health System,Chief Customer Experience Officer,Chief Customer Experience Officer,pilot,68000000,30600000,high,hold_until_evidence,source_backed,hold_for_evidence,,,,,,,,,,ai-control-tower/T01_initiative-registry.csv,5,tenant_file,
meridian-health,MER-AI-005,HEDIS/STAR provider quality performance mart,Clinical quality,Meridian Health System,Chief Quality Officer,Chief Quality Officer,build,52000000,9360000,medium,scale_candidate,source_backed,hold_for_evidence,,,,,,,,,,ai-control-tower/T01_initiative-registry.csv,6,tenant_file,
meridian-health,MER-AI-006,Cost-of-care and margin transparency by population,Finance,Meridian Health System,CFO,CFO,design,76000000,20520000,high,at_risk,source_backed,hold_for_evidence,,,,,,,,,,ai-control-tower/T01_initiative-registry.csv,7,tenant_file,
meridian-health,MER-AI-007,Payment integrity leakage reduction analytics,Claims integrity,Meridian Health System,VP Payment Integrity,VP Payment Integrity,pilot,55000000,19800000,high,hold_until_evidence,source_backed,hold_for_evidence,,,,,,,,,,ai-control-tower/T01_initiative-registry.csv,8,tenant_file,
meridian-health,MER-AI-008,Automated close and management reporting pipelines,Finance operations,Meridian Health System,Controller,Controller,mobilize,31000000,13950000,high,scale_candidate,source_backed,hold_for_evidence,,,,,,,,,,ai-control-tower/T01_initiative-registry.csv,9,tenant_file,
meridian-health,MER-AI-009,Ambient documentation scale with safety review,Clinical productivity,Meridian Health System,Chief Medical Officer,Chief Medical Officer,scale_gate,47000000,8460000,medium,scale_candidate,source_backed,hold_for_evidence,,,,,,,,,,ai-control-tower/T01_initiative-registry.csv,10,tenant_file,
meridian-health,MER-AI-010,Epic to lakehouse FHIR/HL7 modernization,Interoperability,Meridian Health System,VP Integration,VP Integration,build,36000000,9720000,high,hold_until_evidence,source_backed,hold_for_evidence,,,,,,,,,,ai-control-tower/T01_initiative-registry.csv,11,tenant_file,
meridian-health,MER-AI-011,Provider network contract analytics,Provider network,Meridian Health System,Chief Network Officer,Chief Network Officer,design,27000000,9720000,high,at_risk,source_backed,hold_for_evidence,,,,,,,,,,ai-control-tower/T01_initiative-registry.csv,12,tenant_file,
meridian-health,MER-AI-012,Responsible AI and PHI model governance operating model,Governance,Meridian Health System,Chief Compliance Officer,Chief Compliance Officer,mobilize,19000000,8550000,high,scale_candidate,source_backed,hold_for_evidence,,,,,,,,,,ai-control-tower/T01_initiative-registry.csv,13,tenant_file,
meridian-health,MER-AI-013,M365 Copilot non-clinical adoption,Productivity,Meridian Health System,Chief Data Officer,Chief Data Officer,scale,93000000,2520000,medium,hold_until_evidence,source_backed,hold_for_evidence,,,,,,,,,,ai-control-tower/T01_initiative-registry.csv,14,tenant_file,
meridian-health,MER-AI-014,ServiceNow Now Assist IT operations,IT operations,Meridian Health System,Chief Data Officer,Chief Data Officer,pilot,42000000,2430000,high,scale_candidate,source_backed,hold_for_evidence,,,,,,,,,,ai-control-tower/T01_initiative-registry.csv,15,tenant_file,
