tenant_key,line_id,initiative_id,vendor_or_tool,spend_category,budget_fy26_usd,actual_ytd_usd,contract_value_usd,renewal_date,unit_economic_note,amount_type,view,is_rollup_of,basis,period,formula,formula_version,source_file,source_row,value_source,notes
meridian-health,MER-AI-001-2,MER-AI-001,Epic,not_applicable,16740000,10230000,1200000,2026-07-05,Scale only after evidence gate,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,2,tenant_file,
meridian-health,MER-AI-002-3,MER-AI-002,Databricks,not_applicable,8442000,5376000,2275000,2026-08-06,Within portfolio threshold,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,3,tenant_file,
meridian-health,MER-AI-003-4,MER-AI-003,AWS,not_applicable,13542000,8906000,3350000,2026-09-07,Within portfolio threshold,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,4,tenant_file,
meridian-health,MER-AI-004-5,MER-AI-004,Microsoft/Nuance,not_applicable,16524000,11152000,4425000,2026-10-08,Within portfolio threshold,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,5,tenant_file,
meridian-health,MER-AI-005-6,MER-AI-005,Abridge,not_applicable,9360000,9464000,5500000,2026-11-09,Scale only after evidence gate,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,6,tenant_file,
meridian-health,MER-AI-006-7,MER-AI-006,Suki,not_applicable,15276000,8360000,6575000,2026-12-10,Within portfolio threshold,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,7,tenant_file,
meridian-health,MER-AI-007-8,MER-AI-007,Genesys,not_applicable,12210000,7040000,7650000,2026-07-11,Within portfolio threshold,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,8,tenant_file,
meridian-health,MER-AI-008-9,MER-AI-008,Salesforce,not_applicable,7533000,4526000,8725000,2026-08-12,Within portfolio threshold,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,9,tenant_file,
meridian-health,MER-AI-009-10,MER-AI-009,Change Healthcare,not_applicable,8460000,7708000,9800000,2026-09-13,Scale only after evidence gate,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,10,tenant_file,
meridian-health,MER-AI-010-11,MER-AI-010,Optum,not_applicable,7236000,6552000,10875000,2026-10-14,Within portfolio threshold,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,11,tenant_file,
meridian-health,MER-AI-011-12,MER-AI-011,HealthEdge,not_applicable,5994000,2970000,11950000,2026-11-15,Within portfolio threshold,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,12,tenant_file,
meridian-health,MER-AI-012-13,MER-AI-012,TriZetto,not_applicable,4617000,2432000,13025000,2026-12-16,Within portfolio threshold,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,13,tenant_file,
meridian-health,MER-AI-013-14,MER-AI-013,MuleSoft,not_applicable,16740000,13578000,14100000,2026-07-17,Scale only after evidence gate,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,14,tenant_file,
meridian-health,MER-AI-014-15,MER-AI-014,Informatica,not_applicable,8442000,6888000,15175000,2026-08-18,Within portfolio threshold,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,15,tenant_file,
