model_id,model_name,model_type,use_case,risk_tier,validation_status,pii_phi_financial_data,owner_role,source_file,source_row,value_source
MER-AI-001-MODEL,Databricks AWS clinical + claims lakehouse foundation model/service,LLM_workflow,Databricks AWS clinical + claims lakehouse foundation,tier_1_high,overdue,yes,Chief Data Officer,ai-control-tower/T13_model-ai-inventory.csv,2,tenant_file
MER-AI-002-MODEL,Unified semantic layer for automation-ready data products model/service,predictive_ml,Unified semantic layer for automation-ready data products,tier_3,current,limited,Chief Data Officer,ai-control-tower/T13_model-ai-inventory.csv,3,tenant_file
MER-AI-003-MODEL,Prior authorization automation evidence cockpit model/service,rules_ml_hybrid,Prior authorization automation evidence cockpit,tier_3,current,yes,Chief Health Plan Officer,ai-control-tower/T13_model-ai-inventory.csv,4,tenant_file
MER-AI-004-MODEL,Call center agent assist and next-best-action model/service,analytics_scoring,Call center agent assist and next-best-action,tier_2,conditional,limited,Chief Customer Experience Officer,ai-control-tower/T13_model-ai-inventory.csv,5,tenant_file
MER-AI-005-MODEL,HEDIS/STAR provider quality performance mart model/service,LLM_workflow,HEDIS/STAR provider quality performance mart,tier_3,current,yes,Chief Quality Officer,ai-control-tower/T13_model-ai-inventory.csv,6,tenant_file
MER-AI-006-MODEL,Cost-of-care and margin transparency by population model/service,predictive_ml,Cost-of-care and margin transparency by population,tier_1_high,overdue,limited,CFO,ai-control-tower/T13_model-ai-inventory.csv,7,tenant_file
MER-AI-007-MODEL,Payment integrity leakage reduction analytics model/service,rules_ml_hybrid,Payment integrity leakage reduction analytics,tier_2,conditional,yes,VP Payment Integrity,ai-control-tower/T13_model-ai-inventory.csv,8,tenant_file
MER-AI-008-MODEL,Automated close and management reporting pipelines model/service,analytics_scoring,Automated close and management reporting pipelines,tier_3,current,limited,Controller,ai-control-tower/T13_model-ai-inventory.csv,9,tenant_file
MER-AI-009-MODEL,Ambient documentation scale with safety review model/service,LLM_workflow,Ambient documentation scale with safety review,tier_3,current,yes,Chief Medical Officer,ai-control-tower/T13_model-ai-inventory.csv,10,tenant_file
MER-AI-010-MODEL,Epic to lakehouse FHIR/HL7 modernization model/service,predictive_ml,Epic to lakehouse FHIR/HL7 modernization,tier_2,conditional,limited,VP Integration,ai-control-tower/T13_model-ai-inventory.csv,11,tenant_file
MER-AI-011-MODEL,Provider network contract analytics model/service,rules_ml_hybrid,Provider network contract analytics,tier_1_high,overdue,yes,Chief Network Officer,ai-control-tower/T13_model-ai-inventory.csv,12,tenant_file
MER-AI-012-MODEL,Responsible AI and PHI model governance operating model model/service,analytics_scoring,Responsible AI and PHI model governance operating model,tier_3,current,limited,Chief Compliance Officer,ai-control-tower/T13_model-ai-inventory.csv,13,tenant_file
MER-AI-013-MODEL,M365 Copilot non-clinical adoption model/service,LLM_workflow,M365 Copilot non-clinical adoption,tier_2,conditional,yes,Chief Data Officer,ai-control-tower/T13_model-ai-inventory.csv,14,tenant_file
MER-AI-014-MODEL,ServiceNow Now Assist IT operations model/service,predictive_ml,ServiceNow Now Assist IT operations,tier_3,current,limited,Chief Data Officer,ai-control-tower/T13_model-ai-inventory.csv,15,tenant_file
