initiative_id,initiative_name,business_area,owner_role,stage,promised_benefit_usd,measured_value_usd,value_confidence,status,primary_blocker,evidence_id,source_file,source_row,value_source
MER-AI-001,Databricks AWS clinical + claims lakehouse foundation,Enterprise data,Chief Data Officer,mobilize,93000000,16740000,medium,at_risk,PHI/model governance and source evidence missing,MER-EVID-001,ai-control-tower/T00_ai-investment-super-template.csv,2,tenant_file
MER-AI-002,Unified semantic layer for automation-ready data products,Data governance,Chief Data Officer,design,42000000,11340000,high,scale_candidate,data quality and semantic ownership not certified,MER-EVID-002,ai-control-tower/T00_ai-investment-super-template.csv,3,tenant_file
MER-AI-003,Prior authorization automation evidence cockpit,Utilization management,Chief Health Plan Officer,pilot,61000000,21960000,high,scale_candidate,workflow integration not proven,MER-EVID-003,ai-control-tower/T00_ai-investment-super-template.csv,4,tenant_file
MER-AI-004,Call center agent assist and next-best-action,Member experience,Chief Customer Experience Officer,pilot,68000000,30600000,high,hold_until_evidence,value measurement needs CFO signoff,MER-EVID-004,ai-control-tower/T00_ai-investment-super-template.csv,5,tenant_file
MER-AI-005,HEDIS/STAR provider quality performance mart,Clinical quality,Chief Quality Officer,build,52000000,9360000,medium,scale_candidate,PHI/model governance and source evidence missing,MER-EVID-005,ai-control-tower/T00_ai-investment-super-template.csv,6,tenant_file
MER-AI-006,Cost-of-care and margin transparency by population,Finance,CFO,design,76000000,20520000,high,at_risk,data quality and semantic ownership not certified,MER-EVID-006,ai-control-tower/T00_ai-investment-super-template.csv,7,tenant_file
MER-AI-007,Payment integrity leakage reduction analytics,Claims integrity,VP Payment Integrity,pilot,55000000,19800000,high,hold_until_evidence,workflow integration not proven,MER-EVID-007,ai-control-tower/T00_ai-investment-super-template.csv,8,tenant_file
MER-AI-008,Automated close and management reporting pipelines,Finance operations,Controller,mobilize,31000000,13950000,high,scale_candidate,value measurement needs CFO signoff,MER-EVID-008,ai-control-tower/T00_ai-investment-super-template.csv,9,tenant_file
MER-AI-009,Ambient documentation scale with safety review,Clinical productivity,Chief Medical Officer,scale_gate,47000000,8460000,medium,scale_candidate,PHI/model governance and source evidence missing,MER-EVID-009,ai-control-tower/T00_ai-investment-super-template.csv,10,tenant_file
MER-AI-010,Epic to lakehouse FHIR/HL7 modernization,Interoperability,VP Integration,build,36000000,9720000,high,hold_until_evidence,data quality and semantic ownership not certified,MER-EVID-010,ai-control-tower/T00_ai-investment-super-template.csv,11,tenant_file
MER-AI-011,Provider network contract analytics,Provider network,Chief Network Officer,design,27000000,9720000,high,at_risk,workflow integration not proven,MER-EVID-011,ai-control-tower/T00_ai-investment-super-template.csv,12,tenant_file
MER-AI-012,Responsible AI and PHI model governance operating model,Governance,Chief Compliance Officer,mobilize,19000000,8550000,high,scale_candidate,value measurement needs CFO signoff,MER-EVID-012,ai-control-tower/T00_ai-investment-super-template.csv,13,tenant_file
MER-AI-013,M365 Copilot non-clinical adoption,Productivity,Chief Data Officer,scale,93000000,2520000,medium,hold_until_evidence,PHI/model governance and source evidence missing,MER-EVID-001,ai-control-tower/T00_ai-investment-super-template.csv,14,tenant_file
MER-AI-014,ServiceNow Now Assist IT operations,IT operations,Chief Data Officer,pilot,42000000,2430000,high,scale_candidate,data quality and semantic ownership not certified,MER-EVID-002,ai-control-tower/T00_ai-investment-super-template.csv,15,tenant_file
