tenant_key,initiative_id,metric_basis,value_basis,promised_benefit_usd,measured_value_usd,unrealized_or_blocked_value_usd,confidence,evidence_status,measurement_method,finance_attested,evidence_id,amount_type,view,is_rollup_of,basis,period,formula,formula_version,source_file,source_row,value_source,notes
meridian-health,MER-AI-001,cost_takeout,,93000000,16740000,76260000,medium,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,2,tenant_file,
meridian-health,MER-AI-002,cycle_time,,42000000,11340000,30660000,high,source_backed,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,3,tenant_file,
meridian-health,MER-AI-003,risk_reduction,,61000000,21960000,39040000,high,source_backed,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,4,tenant_file,
meridian-health,MER-AI-004,cost_takeout,,68000000,30600000,37400000,high,source_backed,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,5,tenant_file,
meridian-health,MER-AI-005,cycle_time,,52000000,9360000,42640000,medium,source_backed,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,6,tenant_file,
meridian-health,MER-AI-006,risk_reduction,,76000000,20520000,55480000,high,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,7,tenant_file,
meridian-health,MER-AI-007,cost_takeout,,55000000,19800000,35200000,high,source_backed,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,8,tenant_file,
meridian-health,MER-AI-008,cycle_time,,31000000,13950000,17050000,high,source_backed,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,9,tenant_file,
meridian-health,MER-AI-009,risk_reduction,,47000000,8460000,38540000,medium,source_backed,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,10,tenant_file,
meridian-health,MER-AI-010,cost_takeout,,36000000,9720000,26280000,high,source_backed,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,11,tenant_file,
meridian-health,MER-AI-011,cycle_time,,27000000,9720000,17280000,high,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,12,tenant_file,
meridian-health,MER-AI-012,risk_reduction,,19000000,8550000,10450000,high,source_backed,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,13,tenant_file,
meridian-health,MER-AI-013,cost_takeout,,93000000,2520000,90480000,medium,source_backed,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,14,tenant_file,
meridian-health,MER-AI-014,cycle_time,,42000000,2430000,39570000,high,source_backed,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,15,tenant_file,
