evidence_item_id,initiative_id,source_file,source_locator,source_timestamp,review_state,confidence,source_file,source_row,value_source
MER-AI-001-EV-1,MER-AI-001,ai-control-tower/T10_evidence-items.csv,section 2.1,2026-06-01,review_required,0.63,ai-control-tower/T10_evidence-items.csv,2,tenant_file
MER-AI-002-EV-2,MER-AI-002,ai-control-tower/T10_evidence-items.csv,section 3.2,2026-06-02,approved,0.86,ai-control-tower/T10_evidence-items.csv,3,tenant_file
MER-AI-003-EV-3,MER-AI-003,ai-control-tower/T10_evidence-items.csv,section 4.3,2026-06-03,approved,0.86,ai-control-tower/T10_evidence-items.csv,4,tenant_file
MER-AI-004-EV-4,MER-AI-004,ai-control-tower/T10_evidence-items.csv,section 5.4,2026-06-04,approved,0.86,ai-control-tower/T10_evidence-items.csv,5,tenant_file
MER-AI-005-EV-5,MER-AI-005,ai-control-tower/T10_evidence-items.csv,section 6.1,2026-06-05,approved,0.86,ai-control-tower/T10_evidence-items.csv,6,tenant_file
MER-AI-006-EV-6,MER-AI-006,ai-control-tower/T10_evidence-items.csv,section 7.2,2026-06-06,review_required,0.63,ai-control-tower/T10_evidence-items.csv,7,tenant_file
MER-AI-007-EV-7,MER-AI-007,ai-control-tower/T10_evidence-items.csv,section 8.3,2026-06-07,approved,0.86,ai-control-tower/T10_evidence-items.csv,8,tenant_file
MER-AI-008-EV-8,MER-AI-008,ai-control-tower/T10_evidence-items.csv,section 2.4,2026-06-08,approved,0.86,ai-control-tower/T10_evidence-items.csv,9,tenant_file
MER-AI-009-EV-9,MER-AI-009,ai-control-tower/T10_evidence-items.csv,section 3.1,2026-06-09,approved,0.86,ai-control-tower/T10_evidence-items.csv,10,tenant_file
MER-AI-010-EV-10,MER-AI-010,ai-control-tower/T10_evidence-items.csv,section 4.2,2026-06-10,approved,0.86,ai-control-tower/T10_evidence-items.csv,11,tenant_file
MER-AI-011-EV-11,MER-AI-011,ai-control-tower/T10_evidence-items.csv,section 5.3,2026-06-11,review_required,0.63,ai-control-tower/T10_evidence-items.csv,12,tenant_file
MER-AI-012-EV-12,MER-AI-012,ai-control-tower/T10_evidence-items.csv,section 6.4,2026-06-12,approved,0.86,ai-control-tower/T10_evidence-items.csv,13,tenant_file
MER-AI-013-EV-13,MER-AI-013,ai-control-tower/T10_evidence-items.csv,section 7.1,2026-06-13,approved,0.86,ai-control-tower/T10_evidence-items.csv,14,tenant_file
MER-AI-014-EV-14,MER-AI-014,ai-control-tower/T10_evidence-items.csv,section 8.2,2026-06-14,approved,0.86,ai-control-tower/T10_evidence-items.csv,15,tenant_file
