tenant_key,process_name,business_function,process_owner,systems_used,volume_metric,cycle_time,pain_points,control_points,automation_candidate,source_file,source_date,confidence,known_gaps,record_id,evidence_id,source_row_id,dimension_key,dimension_name,active_candidate_status,candidate_contract_version,load_run_id,generated_at,generation_method,source_basis,truth_statement
skyharbor-air,flight operations process evidence 001,flight operations,Experience leader,crew scheduling platform; cargo management platform,1000 synthetic work items per period,baseline required,Fragmented evidence for PCI; manual reconciliation across crew scheduling platform,PCI; human review; audit trail; evidence lineage,Contact center agent assist,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/18_operational_process_evidence.csv,2026-07-17,high,PCI evidence requires owner validation; source is synthetic and candidate-only,SHA-18-00001,SHA-EVID-10801,SHA-18_OPERATIONAL_PROCESS_EVIDENCE-SRC-00001,18_operational_process_evidence,Operational Evidence,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,operations control center process evidence 002,operations control center,Business unit president,flight planning platform; revenue management platform,1001 synthetic work items per period,baseline required,Fragmented evidence for cyber risk; manual reconciliation across flight planning platform,cyber risk; human review; audit trail; evidence lineage,Passenger rebooking personalization,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/18_operational_process_evidence.csv,2026-07-17,medium,cyber risk evidence requires owner validation; source is synthetic and candidate-only,SHA-18-00002,SHA-EVID-10802,SHA-18_OPERATIONAL_PROCESS_EVIDENCE-SRC-00002,18_operational_process_evidence,Operational Evidence,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,airport operations process evidence 003,airport operations,Contact center leader,operations control and IROPS platform; loyalty platform,1002 synthetic work items per period,baseline required,Fragmented evidence for identity and access; manual reconciliation across operations control and IROPS platform,identity and access; human review; audit trail; evidence lineage,Baggage recovery prediction,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/18_operational_process_evidence.csv,2026-07-17,medium,identity and access evidence requires owner validation; source is synthetic and candidate-only,SHA-18-00003,SHA-EVID-10803,SHA-18_OPERATIONAL_PROCESS_EVIDENCE-SRC-00003,18_operational_process_evidence,Operational Evidence,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,customer service process evidence 004,customer service,Operations leader,maintenance and MRO platform; ecommerce and mobile app,1003 synthetic work items per period,baseline required,Fragmented evidence for vendor concentration; manual reconciliation across maintenance and MRO platform,vendor concentration; human review; audit trail; evidence lineage,Airport turnaround risk predictor,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/18_operational_process_evidence.csv,2026-07-17,high,vendor concentration evidence requires owner validation; source is synthetic and candidate-only,SHA-18-00004,SHA-EVID-10804,SHA-18_OPERATIONAL_PROCESS_EVIDENCE-SRC-00004,18_operational_process_evidence,Operational Evidence,candidate_review,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,loyalty process evidence 005,loyalty,Chief architect,cargo management platform; customer CRM,1004 synthetic work items per period,baseline required,Fragmented evidence for model explainability; manual reconciliation across cargo management platform,model explainability; human review; audit trail; evidence lineage,Revenue management scenario assistant,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/18_operational_process_evidence.csv,2026-07-17,high,model explainability evidence requires owner validation; source is synthetic and candidate-only,SHA-18-00005,SHA-EVID-10805,SHA-18_OPERATIONAL_PROCESS_EVIDENCE-SRC-00005,18_operational_process_evidence,Operational Evidence,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,revenue management process evidence 006,revenue management,Application owner,revenue management platform; contact center platform,1005 synthetic work items per period,baseline required,Fragmented evidence for human-in-the-loop operations; manual reconciliation across revenue management platform,human-in-the-loop operations; human review; audit trail; evidence lineage,Loyalty next-best-action assistant,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/18_operational_process_evidence.csv,2026-07-17,medium,human-in-the-loop operations evidence requires owner validation; source is synthetic and candidate-only,SHA-18-00006,SHA-EVID-10806,SHA-18_OPERATIONAL_PROCESS_EVIDENCE-SRC-00006,18_operational_process_evidence,Operational Evidence,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,network planning process evidence 007,network planning,ITSM leader,loyalty platform; baggage tracking platform,1006 synthetic work items per period,baseline required,Fragmented evidence for incident response; manual reconciliation across loyalty platform,incident response; human review; audit trail; evidence lineage,Flight operations knowledge assistant,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/18_operational_process_evidence.csv,2026-07-17,medium,incident response evidence requires owner validation; source is synthetic and candidate-only,SHA-18-00007,SHA-EVID-10807,SHA-18_OPERATIONAL_PROCESS_EVIDENCE-SRC-00007,18_operational_process_evidence,Operational Evidence,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,crew scheduling process evidence 008,crew scheduling,CEO,ecommerce and mobile app; fuel management platform,1007 synthetic work items per period,baseline required,Fragmented evidence for airport-local operating variation; manual reconciliation across ecommerce and mobile app,airport-local operating variation; human review; audit trail; evidence lineage,IT incident and change-risk copilot,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/18_operational_process_evidence.csv,2026-07-17,high,airport-local operating variation evidence requires owner validation; source is synthetic and candidate-only,SHA-18-00008,SHA-EVID-10808,SHA-18_OPERATIONAL_PROCESS_EVIDENCE-SRC-00008,18_operational_process_evidence,Operational Evidence,candidate_review,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,maintenance engineering process evidence 009,maintenance engineering,CFO,customer CRM; ERP and finance platform,1008 synthetic work items per period,baseline required,Fragmented evidence for reservation-system dependency; manual reconciliation across customer CRM,reservation-system dependency; human review; audit trail; evidence lineage,Procurement and vendor contract intelligence,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/18_operational_process_evidence.csv,2026-07-17,high,reservation-system dependency evidence requires owner validation; source is synthetic and candidate-only,SHA-18-00009,SHA-EVID-10809,SHA-18_OPERATIONAL_PROCESS_EVIDENCE-SRC-00009,18_operational_process_evidence,Operational Evidence,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,cargo operations process evidence 010,cargo operations,COO,contact center platform; airline data lakehouse,1009 synthetic work items per period,baseline required,Fragmented evidence for cloud resilience; manual reconciliation across contact center platform,cloud resilience; human review; audit trail; evidence lineage,IROPS recovery copilot,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/18_operational_process_evidence.csv,2026-07-17,medium,cloud resilience evidence requires owner validation; source is synthetic and candidate-only,SHA-18-00010,SHA-EVID-10810,SHA-18_OPERATIONAL_PROCESS_EVIDENCE-SRC-00010,18_operational_process_evidence,Operational Evidence,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
