tenant_key,persona_or_role,function_name,role_count,location_model,employment_type,vendor_supported,skills,pain_points,automation_opportunity,source_file,source_date,confidence,known_gaps,record_id,evidence_id,source_row_id,dimension_key,dimension_name,active_candidate_status,candidate_contract_version,load_run_id,generated_at,generation_method,source_basis,truth_statement
skyharbor-air,flight operations operator,flight operations capability 001,12,hybrid enterprise,employee,yes,crew scheduling platform workflow knowledge; evidence review; controls; stakeholder communication,Fragmented evidence for PCI; manual reconciliation across crew scheduling platform,Contact center agent assist remains candidate until evidence gates close,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/03_workforce_roles.csv,2026-07-17,high,PCI evidence requires owner validation; source is synthetic and candidate-only,SHA-03-00001,SHA-EVID-01801,SHA-03_WORKFORCE_ROLES-SRC-00001,03_workforce_roles,Workforce Roles,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,operations control center analyst,operations control center capability 002,13,hub-and-spoke,vendor-supported,no,flight planning platform workflow knowledge; evidence review; controls; stakeholder communication,Fragmented evidence for cyber risk; manual reconciliation across flight planning platform,Passenger rebooking personalization remains candidate until evidence gates close,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/03_workforce_roles.csv,2026-07-17,medium,cyber risk evidence requires owner validation; source is synthetic and candidate-only,SHA-03-00002,SHA-EVID-01802,SHA-03_WORKFORCE_ROLES-SRC-00002,03_workforce_roles,Workforce Roles,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,airport operations product owner,airport operations capability 003,14,contact center,mixed,no,operations control and IROPS platform workflow knowledge; evidence review; controls; stakeholder communication,Fragmented evidence for identity and access; manual reconciliation across operations control and IROPS platform,Baggage recovery prediction remains candidate until evidence gates close,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/03_workforce_roles.csv,2026-07-17,medium,identity and access evidence requires owner validation; source is synthetic and candidate-only,SHA-03-00003,SHA-EVID-01803,SHA-03_WORKFORCE_ROLES-SRC-00003,03_workforce_roles,Workforce Roles,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,customer service risk owner,customer service capability 004,15,field operations,contractor-supported,no,maintenance and MRO platform workflow knowledge; evidence review; controls; stakeholder communication,Fragmented evidence for vendor concentration; manual reconciliation across maintenance and MRO platform,Airport turnaround risk predictor remains candidate until evidence gates close,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/03_workforce_roles.csv,2026-07-17,high,vendor concentration evidence requires owner validation; source is synthetic and candidate-only,SHA-03-00004,SHA-EVID-01804,SHA-03_WORKFORCE_ROLES-SRC-00004,03_workforce_roles,Workforce Roles,candidate_review,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,loyalty service manager,loyalty capability 005,16,remote specialist,employee,yes,cargo management platform workflow knowledge; evidence review; controls; stakeholder communication,Fragmented evidence for model explainability; manual reconciliation across cargo management platform,Revenue management scenario assistant remains candidate until evidence gates close,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/03_workforce_roles.csv,2026-07-17,high,model explainability evidence requires owner validation; source is synthetic and candidate-only,SHA-03-00005,SHA-EVID-01805,SHA-03_WORKFORCE_ROLES-SRC-00005,03_workforce_roles,Workforce Roles,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,revenue management operator,revenue management capability 006,17,hybrid enterprise,vendor-supported,no,revenue management platform workflow knowledge; evidence review; controls; stakeholder communication,Fragmented evidence for human-in-the-loop operations; manual reconciliation across revenue management platform,Loyalty next-best-action assistant remains candidate until evidence gates close,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/03_workforce_roles.csv,2026-07-17,medium,human-in-the-loop operations evidence requires owner validation; source is synthetic and candidate-only,SHA-03-00006,SHA-EVID-01806,SHA-03_WORKFORCE_ROLES-SRC-00006,03_workforce_roles,Workforce Roles,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,network planning analyst,network planning capability 007,18,hub-and-spoke,mixed,no,loyalty platform workflow knowledge; evidence review; controls; stakeholder communication,Fragmented evidence for incident response; manual reconciliation across loyalty platform,Flight operations knowledge assistant remains candidate until evidence gates close,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/03_workforce_roles.csv,2026-07-17,medium,incident response evidence requires owner validation; source is synthetic and candidate-only,SHA-03-00007,SHA-EVID-01807,SHA-03_WORKFORCE_ROLES-SRC-00007,03_workforce_roles,Workforce Roles,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,crew scheduling product owner,crew scheduling capability 008,19,contact center,contractor-supported,no,ecommerce and mobile app workflow knowledge; evidence review; controls; stakeholder communication,Fragmented evidence for airport-local operating variation; manual reconciliation across ecommerce and mobile app,IT incident and change-risk copilot remains candidate until evidence gates close,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/03_workforce_roles.csv,2026-07-17,high,airport-local operating variation evidence requires owner validation; source is synthetic and candidate-only,SHA-03-00008,SHA-EVID-01808,SHA-03_WORKFORCE_ROLES-SRC-00008,03_workforce_roles,Workforce Roles,candidate_review,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,maintenance engineering risk owner,maintenance engineering capability 009,20,field operations,employee,yes,customer CRM workflow knowledge; evidence review; controls; stakeholder communication,Fragmented evidence for reservation-system dependency; manual reconciliation across customer CRM,Procurement and vendor contract intelligence remains candidate until evidence gates close,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/03_workforce_roles.csv,2026-07-17,high,reservation-system dependency evidence requires owner validation; source is synthetic and candidate-only,SHA-03-00009,SHA-EVID-01809,SHA-03_WORKFORCE_ROLES-SRC-00009,03_workforce_roles,Workforce Roles,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,cargo operations service manager,cargo operations capability 010,21,remote specialist,vendor-supported,no,contact center platform workflow knowledge; evidence review; controls; stakeholder communication,Fragmented evidence for cloud resilience; manual reconciliation across contact center platform,IROPS recovery copilot remains candidate until evidence gates close,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/03_workforce_roles.csv,2026-07-17,medium,cloud resilience evidence requires owner validation; source is synthetic and candidate-only,SHA-03-00010,SHA-EVID-01810,SHA-03_WORKFORCE_ROLES-SRC-00010,03_workforce_roles,Workforce Roles,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
