tenant_key,platform_name,platform_type,hosting_model,data_center_or_region,technology_stack,operational_owner,criticality,lifecycle_state,capacity_or_scale,constraints,future_target_flag,source_file,source_date,confidence,known_gaps,record_id,evidence_id,source_row_id,dimension_key,dimension_name,active_candidate_status,candidate_contract_version,load_run_id,generated_at,generation_method,source_basis,truth_statement
skyharbor-air,crew scheduling platform platform 001,application platform,SaaS,primary region,crew scheduling platform; API gateway,CTO,critical,current core,850 aircraft/station/domain planning marker,PCI; lineage and baseline validation needed,yes_target_state_not_certified,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/06_infrastructure_platforms.csv,2026-07-17,high,PCI evidence requires owner validation; source is synthetic and candidate-only,SHA-06-00001,SHA-EVID-03601,SHA-06_INFRASTRUCTURE_PLATFORMS-SRC-00001,06_infrastructure_platforms,Infrastructure & Platforms,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,flight planning platform platform 002,data platform,cloud,secondary region,flight planning platform; event broker,CDAO,medium,modernization candidate,851 aircraft/station/domain planning marker,cyber risk; lineage and baseline validation needed,no_current_candidate,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/06_infrastructure_platforms.csv,2026-07-17,medium,cyber risk evidence requires owner validation; source is synthetic and candidate-only,SHA-06-00002,SHA-EVID-03602,SHA-06_INFRASTRUCTURE_PLATFORMS-SRC-00002,06_infrastructure_platforms,Infrastructure & Platforms,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,operations control and IROPS platform platform 003,integration platform,managed hosting,main operations region,operations control and IROPS platform; warehouse,CISO,medium,target state not certified,852 aircraft/station/domain planning marker,identity and access; lineage and baseline validation needed,no_current_candidate,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/06_infrastructure_platforms.csv,2026-07-17,medium,identity and access evidence requires owner validation; source is synthetic and candidate-only,SHA-06-00003,SHA-EVID-03603,SHA-06_INFRASTRUCTURE_PLATFORMS-SRC-00003,06_infrastructure_platforms,Infrastructure & Platforms,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,maintenance and MRO platform platform 004,security platform,hybrid,recovery region,maintenance and MRO platform; observability,Chief compliance officer,high,rationalize candidate,853 aircraft/station/domain planning marker,vendor concentration; lineage and baseline validation needed,no_current_candidate,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/06_infrastructure_platforms.csv,2026-07-17,high,vendor concentration evidence requires owner validation; source is synthetic and candidate-only,SHA-06-00004,SHA-EVID-03604,SHA-06_INFRASTRUCTURE_PLATFORMS-SRC-00004,06_infrastructure_platforms,Infrastructure & Platforms,candidate_review,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,cargo management platform platform 005,resilience platform,on-premises,primary region,cargo management platform; identity,Chief procurement officer,medium,extend with controls,854 aircraft/station/domain planning marker,model explainability; lineage and baseline validation needed,no_current_candidate,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/06_infrastructure_platforms.csv,2026-07-17,high,model explainability evidence requires owner validation; source is synthetic and candidate-only,SHA-06-00005,SHA-EVID-03605,SHA-06_INFRASTRUCTURE_PLATFORMS-SRC-00005,06_infrastructure_platforms,Infrastructure & Platforms,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,revenue management platform platform 006,application platform,SaaS,secondary region,revenue management platform; API gateway,Chief people officer,critical,current core,855 aircraft/station/domain planning marker,human-in-the-loop operations; lineage and baseline validation needed,no_current_candidate,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/06_infrastructure_platforms.csv,2026-07-17,medium,human-in-the-loop operations evidence requires owner validation; source is synthetic and candidate-only,SHA-06-00006,SHA-EVID-03606,SHA-06_INFRASTRUCTURE_PLATFORMS-SRC-00006,06_infrastructure_platforms,Infrastructure & Platforms,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,loyalty platform platform 007,data platform,cloud,main operations region,loyalty platform; event broker,Transformation office lead,high,modernization candidate,856 aircraft/station/domain planning marker,incident response; lineage and baseline validation needed,no_current_candidate,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/06_infrastructure_platforms.csv,2026-07-17,medium,incident response evidence requires owner validation; source is synthetic and candidate-only,SHA-06-00007,SHA-EVID-03607,SHA-06_INFRASTRUCTURE_PLATFORMS-SRC-00007,06_infrastructure_platforms,Infrastructure & Platforms,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,ecommerce and mobile app platform 008,integration platform,managed hosting,recovery region,ecommerce and mobile app; warehouse,Experience leader,medium,target state not certified,857 aircraft/station/domain planning marker,airport-local operating variation; lineage and baseline validation needed,yes_target_state_not_certified,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/06_infrastructure_platforms.csv,2026-07-17,high,airport-local operating variation evidence requires owner validation; source is synthetic and candidate-only,SHA-06-00008,SHA-EVID-03608,SHA-06_INFRASTRUCTURE_PLATFORMS-SRC-00008,06_infrastructure_platforms,Infrastructure & Platforms,candidate_review,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,customer CRM platform 009,security platform,hybrid,primary region,customer CRM; observability,Business unit president,medium,rationalize candidate,858 aircraft/station/domain planning marker,reservation-system dependency; lineage and baseline validation needed,no_current_candidate,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/06_infrastructure_platforms.csv,2026-07-17,high,reservation-system dependency evidence requires owner validation; source is synthetic and candidate-only,SHA-06-00009,SHA-EVID-03609,SHA-06_INFRASTRUCTURE_PLATFORMS-SRC-00009,06_infrastructure_platforms,Infrastructure & Platforms,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,contact center platform platform 010,resilience platform,on-premises,secondary region,contact center platform; identity,Contact center leader,high,extend with controls,859 aircraft/station/domain planning marker,cloud resilience; lineage and baseline validation needed,no_current_candidate,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/06_infrastructure_platforms.csv,2026-07-17,medium,cloud resilience evidence requires owner validation; source is synthetic and candidate-only,SHA-06-00010,SHA-EVID-03610,SHA-06_INFRASTRUCTURE_PLATFORMS-SRC-00010,06_infrastructure_platforms,Infrastructure & Platforms,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
skyharbor-air,baggage tracking platform platform 011,application platform,SaaS,main operations region,baggage tracking platform; API gateway,Operations leader,critical,current core,860 aircraft/station/domain planning marker,safety criticality; lineage and baseline validation needed,no_current_candidate,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/06_infrastructure_platforms.csv,2026-07-17,medium,safety criticality evidence requires owner validation; source is synthetic and candidate-only,SHA-06-00011,SHA-EVID-03611,SHA-06_INFRASTRUCTURE_PLATFORMS-SRC-00011,06_infrastructure_platforms,Infrastructure & Platforms,candidate,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,2026-07-17T00:00:00.000Z,deterministic synthetic enterprise context generator,synthetic airline enterprise context generation,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
