tenantKey,relationshipId,sourceRowNumber,rawRelationshipType,normalizedRelationshipType,fromObjectType,fromObjectName,fromNodeId,toObjectType,toObjectName,toNodeId,evidenceBasis,confidence,knownGaps,disposition
apex-retail,APX-12-A086D1975C,28,uses,USES,business_function,merchandising,apex-retail:business_function:merchandising,application_system,Oracle Retail Merchandising,apex-retail:application_system:oracle-retail-merchandising,APX-APP-001,medium,none,candidate-only-no-graph-materialization
apex-retail,APX-12-03A9F1A23A,82,uses,USES,business_function,merchandising,apex-retail:business_function:merchandising,application_system,Oracle Retail Merchandising regional/service component 2,apex-retail:application_system:oracle-retail-merchandising-regional-service-component-2,APX-APP-013,medium,none,candidate-only-no-graph-materialization
apex-retail,APX-12-C4469AEDD1,136,uses,USES,business_function,merchandising,apex-retail:business_function:merchandising,application_system,Oracle Retail Merchandising regional/service component 3,apex-retail:application_system:oracle-retail-merchandising-regional-service-component-3,APX-APP-025,medium,none,candidate-only-no-graph-materialization
apex-retail,APX-12-5719496D7F,190,uses,USES,business_function,merchandising,apex-retail:business_function:merchandising,application_system,Oracle Retail Merchandising regional/service component 4,apex-retail:application_system:oracle-retail-merchandising-regional-service-component-4,APX-APP-037,medium,none,candidate-only-no-graph-materialization
apex-retail,APX-12-6EE836E7E2,244,uses,USES,business_function,merchandising,apex-retail:business_function:merchandising,application_system,Oracle Retail Merchandising regional/service component 5,apex-retail:application_system:oracle-retail-merchandising-regional-service-component-5,APX-APP-049,medium,none,candidate-only-no-graph-materialization
apex-retail,APX-12-F48633BE38,298,uses,USES,business_function,merchandising,apex-retail:business_function:merchandising,application_system,Oracle Retail Merchandising regional/service component 6,apex-retail:application_system:oracle-retail-merchandising-regional-service-component-6,APX-APP-061,medium,none,candidate-only-no-graph-materialization
apex-retail,APX-12-2F437BD71B,352,uses,USES,business_function,merchandising,apex-retail:business_function:merchandising,application_system,Oracle Retail Merchandising regional/service component 7,apex-retail:application_system:oracle-retail-merchandising-regional-service-component-7,APX-APP-073,medium,none,candidate-only-no-graph-materialization
apex-retail,APX-12-39E56AE6B1,406,uses,USES,business_function,merchandising,apex-retail:business_function:merchandising,application_system,Oracle Retail Merchandising regional/service component 8,apex-retail:application_system:oracle-retail-merchandising-regional-service-component-8,APX-APP-085,medium,none,candidate-only-no-graph-materialization
apex-retail,APX-12-2E0CEDABF8,460,uses,USES,business_function,merchandising,apex-retail:business_function:merchandising,application_system,Oracle Retail Merchandising regional/service component 9,apex-retail:application_system:oracle-retail-merchandising-regional-service-component-9,APX-APP-097,medium,none,candidate-only-no-graph-materialization
apex-retail,APX-12-9F56168293,514,uses,USES,business_function,merchandising,apex-retail:business_function:merchandising,application_system,Oracle Retail Merchandising regional/service component 10,apex-retail:application_system:oracle-retail-merchandising-regional-service-component-10,APX-APP-109,medium,none,candidate-only-no-graph-materialization
