sku_group_id,product_family_id,business_unit_id,revenue_usd,margin_pct,lifecycle_state
NST-SKU-0001,NST-PF-001,BU-DENTAL,1320000,10.0,active
NST-SKU-0002,NST-PF-001,BU-DENTAL,1435000,11.0,active
NST-SKU-0003,NST-PF-001,BU-DENTAL,1550000,12.0,active
NST-SKU-0004,NST-PF-001,BU-DENTAL,1665000,13.0,active
NST-SKU-0005,NST-PF-001,BU-DENTAL,1780000,14.0,active
NST-SKU-0006,NST-PF-001,BU-DENTAL,1895000,15.0,sunset_candidate
NST-SKU-0007,NST-PF-001,BU-DENTAL,2010000,16.0,active
NST-SKU-0008,NST-PF-002,BU-HIS,1325000,11.0,active
NST-SKU-0009,NST-PF-002,BU-HIS,1440000,12.0,active
NST-SKU-0010,NST-PF-002,BU-HIS,1555000,13.0,active
NST-SKU-0011,NST-PF-002,BU-HIS,1670000,14.0,active
NST-SKU-0012,NST-PF-002,BU-HIS,1785000,15.0,active
NST-SKU-0013,NST-PF-002,BU-HIS,1900000,16.0,sunset_candidate
NST-SKU-0014,NST-PF-002,BU-HIS,2015000,17.0,active
NST-SKU-0015,NST-PF-003,BU-STERILE,1330000,12.0,active
NST-SKU-0016,NST-PF-003,BU-STERILE,1445000,13.0,active
NST-SKU-0017,NST-PF-003,BU-STERILE,1560000,14.0,active
NST-SKU-0018,NST-PF-003,BU-STERILE,1675000,15.0,active
NST-SKU-0019,NST-PF-003,BU-STERILE,1790000,16.0,active
NST-SKU-0020,NST-PF-003,BU-STERILE,1905000,17.0,sunset_candidate
NST-SKU-0021,NST-PF-003,BU-STERILE,2020000,18.0,active
NST-SKU-0022,NST-PF-004,BU-MONITOR,1335000,13.0,active
NST-SKU-0023,NST-PF-004,BU-MONITOR,1450000,14.0,active
NST-SKU-0024,NST-PF-004,BU-MONITOR,1565000,15.0,active
NST-SKU-0025,NST-PF-004,BU-MONITOR,1680000,16.0,active
NST-SKU-0026,NST-PF-004,BU-MONITOR,1795000,17.0,active
NST-SKU-0027,NST-PF-004,BU-MONITOR,1910000,18.0,sunset_candidate
NST-SKU-0028,NST-PF-004,BU-MONITOR,2025000,19.0,active
NST-SKU-0029,NST-PF-005,BU-FILTER,1340000,14.0,active
NST-SKU-0030,NST-PF-005,BU-FILTER,1455000,15.0,active
NST-SKU-0031,NST-PF-005,BU-FILTER,1570000,16.0,active
NST-SKU-0032,NST-PF-005,BU-FILTER,1685000,17.0,active
NST-SKU-0033,NST-PF-005,BU-FILTER,1800000,18.0,active
NST-SKU-0034,NST-PF-005,BU-FILTER,1915000,19.0,sunset_candidate
NST-SKU-0035,NST-PF-005,BU-FILTER,2030000,20.0,active
NST-SKU-0036,NST-PF-006,BU-AWC,1345000,15.0,active
NST-SKU-0037,NST-PF-006,BU-AWC,1460000,16.0,active
NST-SKU-0038,NST-PF-006,BU-AWC,1575000,17.0,active
NST-SKU-0039,NST-PF-006,BU-AWC,1690000,18.0,active
NST-SKU-0040,NST-PF-006,BU-AWC,1805000,19.0,active
NST-SKU-0041,NST-PF-006,BU-AWC,1920000,20.0,sunset_candidate
NST-SKU-0042,NST-PF-006,BU-AWC,2035000,21.0,active
NST-SKU-0043,NST-PF-007,BU-DENTAL,1350000,16.0,active
NST-SKU-0044,NST-PF-007,BU-DENTAL,1465000,17.0,active
NST-SKU-0045,NST-PF-007,BU-DENTAL,1580000,18.0,active
NST-SKU-0046,NST-PF-007,BU-DENTAL,1695000,19.0,active
NST-SKU-0047,NST-PF-007,BU-DENTAL,1810000,20.0,active
NST-SKU-0048,NST-PF-007,BU-DENTAL,1925000,21.0,sunset_candidate
NST-SKU-0049,NST-PF-007,BU-DENTAL,2040000,22.0,active
NST-SKU-0050,NST-PF-008,BU-HIS,1355000,17.0,active
NST-SKU-0051,NST-PF-008,BU-HIS,1470000,18.0,active
NST-SKU-0052,NST-PF-008,BU-HIS,1585000,19.0,active
NST-SKU-0053,NST-PF-008,BU-HIS,1700000,20.0,active
NST-SKU-0054,NST-PF-008,BU-HIS,1815000,21.0,active
NST-SKU-0055,NST-PF-008,BU-HIS,1930000,22.0,sunset_candidate
NST-SKU-0056,NST-PF-008,BU-HIS,2045000,23.0,active
NST-SKU-0057,NST-PF-009,BU-STERILE,1360000,18.0,active
NST-SKU-0058,NST-PF-009,BU-STERILE,1475000,19.0,active
NST-SKU-0059,NST-PF-009,BU-STERILE,1590000,20.0,active
NST-SKU-0060,NST-PF-009,BU-STERILE,1705000,21.0,active
NST-SKU-0061,NST-PF-009,BU-STERILE,1820000,22.0,active
NST-SKU-0062,NST-PF-009,BU-STERILE,1935000,23.0,sunset_candidate
NST-SKU-0063,NST-PF-009,BU-STERILE,2050000,24.0,active
NST-SKU-0064,NST-PF-010,BU-MONITOR,1365000,19.0,active
NST-SKU-0065,NST-PF-010,BU-MONITOR,1480000,20.0,active
NST-SKU-0066,NST-PF-010,BU-MONITOR,1595000,21.0,active
NST-SKU-0067,NST-PF-010,BU-MONITOR,1710000,22.0,active
NST-SKU-0068,NST-PF-010,BU-MONITOR,1825000,23.0,active
NST-SKU-0069,NST-PF-010,BU-MONITOR,1940000,24.0,sunset_candidate
NST-SKU-0070,NST-PF-010,BU-MONITOR,2055000,25.0,active
NST-SKU-0071,NST-PF-011,BU-FILTER,1370000,20.0,active
NST-SKU-0072,NST-PF-011,BU-FILTER,1485000,21.0,active
NST-SKU-0073,NST-PF-011,BU-FILTER,1600000,22.0,active
NST-SKU-0074,NST-PF-011,BU-FILTER,1715000,23.0,active
NST-SKU-0075,NST-PF-011,BU-FILTER,1830000,24.0,active
NST-SKU-0076,NST-PF-011,BU-FILTER,1945000,25.0,sunset_candidate
NST-SKU-0077,NST-PF-011,BU-FILTER,2060000,26.0,active
NST-SKU-0078,NST-PF-012,BU-AWC,1375000,21.0,active
NST-SKU-0079,NST-PF-012,BU-AWC,1490000,22.0,active
NST-SKU-0080,NST-PF-012,BU-AWC,1605000,23.0,active
NST-SKU-0081,NST-PF-012,BU-AWC,1720000,24.0,active
NST-SKU-0082,NST-PF-012,BU-AWC,1835000,25.0,active
NST-SKU-0083,NST-PF-012,BU-AWC,1950000,26.0,sunset_candidate
NST-SKU-0084,NST-PF-012,BU-AWC,2065000,27.0,active
NST-SKU-0085,NST-PF-013,BU-DENTAL,1380000,22.0,active
NST-SKU-0086,NST-PF-013,BU-DENTAL,1495000,23.0,active
NST-SKU-0087,NST-PF-013,BU-DENTAL,1610000,24.0,active
