integration_id,source_system,target_system,interface_type,protocol_or_standard,cadence,data_domain,avg_daily_volume,latency_sla_minutes,failure_rate_30d_pct,owning_team,control_gap,evidence_id
APX-INT-0001,Oracle Retail Merchandising,Kronos Workforce Central,API,API,real_time,merchandising,12000,2,0.10,APX-IT-003,lineage_not_machine_readable,APX-EVID-001
APX-INT-0002,Toshiba POS,Blue Yonder Demand Planning regional/service component 2,Kafka,Kafka,daily,pos,14400,1440,0.18,APX-IT-001,none_reported,APX-EVID-002
APX-INT-0003,Blue Yonder Demand Planning,Manhattan Active WMS regional/service component 3,SFTP,SFTP,daily,forecasting,16800,1440,0.26,APX-IT-003,none_reported,APX-EVID-003
APX-INT-0004,Databricks Retail Lakehouse,ServiceNow ITSM regional/service component 3,EDI,EDI,hourly,data_platform,19200,60,0.34,APX-IT-007,none_reported,APX-EVID-004
APX-INT-0005,Oracle Retail Merchandising regional/service component 2,Toshiba POS regional/service component 4,CDC,CDC,daily,merchandising,21600,1440,0.42,APX-IT-003,none_reported,APX-EVID-005
APX-INT-0006,Toshiba POS regional/service component 2,Snowflake Marketing Data Cloud regional/service component 4,MuleSoft,MuleSoft,real_time,pos,24000,2,0.50,APX-IT-001,none_reported,APX-EVID-006
APX-INT-0007,Blue Yonder Demand Planning regional/service component 2,Adobe Experience Cloud regional/service component 5,Batch SQL,Batch SQL,hourly,forecasting,26400,60,0.58,APX-IT-003,none_reported,APX-EVID-007
APX-INT-0008,Databricks Retail Lakehouse regional/service component 2,Oracle Retail Merchandising regional/service component 6,API,API,daily,data_platform,28800,1440,0.10,APX-IT-007,none_reported,APX-EVID-008
APX-INT-0009,Oracle Retail Merchandising regional/service component 3,SAP S/4 Finance regional/service component 6,Kafka,Kafka,daily,merchandising,31200,1440,0.18,APX-IT-003,none_reported,APX-EVID-009
APX-INT-0010,Toshiba POS regional/service component 3,IBM Sterling OMS regional/service component 7,SFTP,SFTP,hourly,pos,33600,60,0.26,APX-IT-001,none_reported,APX-EVID-010
APX-INT-0011,Blue Yonder Demand Planning regional/service component 3,Databricks Retail Lakehouse regional/service component 7,EDI,EDI,real_time,forecasting,36000,2,0.34,APX-IT-003,none_reported,APX-EVID-011
APX-INT-0012,Databricks Retail Lakehouse regional/service component 3,Salesforce Commerce Cloud regional/service component 8,CDC,CDC,daily,data_platform,38400,1440,0.42,APX-IT-007,none_reported,APX-EVID-012
APX-INT-0013,Oracle Retail Merchandising regional/service component 4,Kronos Workforce Central regional/service component 8,MuleSoft,MuleSoft,hourly,merchandising,40800,60,0.50,APX-IT-003,none_reported,APX-EVID-013
APX-INT-0014,Toshiba POS regional/service component 4,Blue Yonder Demand Planning regional/service component 9,Batch SQL,Batch SQL,daily,pos,43200,1440,0.58,APX-IT-001,none_reported,APX-EVID-014
APX-INT-0015,Blue Yonder Demand Planning regional/service component 4,Manhattan Active WMS regional/service component 10,API,API,daily,forecasting,45600,1440,0.10,APX-IT-003,none_reported,APX-EVID-001
APX-INT-0016,Databricks Retail Lakehouse regional/service component 4,Blue Yonder Demand Planning,Kafka,Kafka,real_time,data_platform,48000,2,0.18,APX-IT-007,none_reported,APX-EVID-002
APX-INT-0017,Oracle Retail Merchandising regional/service component 5,Manhattan Active WMS regional/service component 2,SFTP,SFTP,daily,merchandising,50400,1440,0.26,APX-IT-003,none_reported,APX-EVID-003
APX-INT-0018,Toshiba POS regional/service component 5,ServiceNow ITSM regional/service component 2,EDI,EDI,daily,pos,52800,1440,0.34,APX-IT-001,none_reported,APX-EVID-004
APX-INT-0019,Blue Yonder Demand Planning regional/service component 5,Toshiba POS regional/service component 3,CDC,CDC,hourly,forecasting,55200,60,0.42,APX-IT-003,none_reported,APX-EVID-005
APX-INT-0020,Databricks Retail Lakehouse regional/service component 5,Snowflake Marketing Data Cloud regional/service component 3,MuleSoft,MuleSoft,daily,data_platform,57600,1440,0.50,APX-IT-007,lineage_not_machine_readable,APX-EVID-006
APX-INT-0021,Oracle Retail Merchandising regional/service component 6,Adobe Experience Cloud regional/service component 4,Batch SQL,Batch SQL,real_time,merchandising,60000,2,0.58,APX-IT-003,none_reported,APX-EVID-007
APX-INT-0022,Toshiba POS regional/service component 6,Oracle Retail Merchandising regional/service component 5,API,API,hourly,pos,62400,60,0.10,APX-IT-001,none_reported,APX-EVID-008
APX-INT-0023,Blue Yonder Demand Planning regional/service component 6,SAP S/4 Finance regional/service component 5,Kafka,Kafka,daily,forecasting,64800,1440,0.18,APX-IT-003,none_reported,APX-EVID-009
APX-INT-0024,Databricks Retail Lakehouse regional/service component 6,IBM Sterling OMS regional/service component 6,SFTP,SFTP,daily,data_platform,67200,1440,0.26,APX-IT-007,none_reported,APX-EVID-010
APX-INT-0025,Oracle Retail Merchandising regional/service component 7,Databricks Retail Lakehouse regional/service component 6,EDI,EDI,hourly,merchandising,69600,60,0.34,APX-IT-003,none_reported,APX-EVID-011
APX-INT-0026,Toshiba POS regional/service component 7,Salesforce Commerce Cloud regional/service component 7,CDC,CDC,real_time,pos,72000,2,0.42,APX-IT-001,none_reported,APX-EVID-012
APX-INT-0027,Blue Yonder Demand Planning regional/service component 7,Kronos Workforce Central regional/service component 7,MuleSoft,MuleSoft,daily,forecasting,74400,1440,0.50,APX-IT-003,none_reported,APX-EVID-013
APX-INT-0028,Databricks Retail Lakehouse regional/service component 7,Blue Yonder Demand Planning regional/service component 8,Batch SQL,Batch SQL,hourly,data_platform,76800,60,0.58,APX-IT-007,none_reported,APX-EVID-014
APX-INT-0029,Oracle Retail Merchandising regional/service component 8,Manhattan Active WMS regional/service component 9,API,API,daily,merchandising,79200,1440,0.10,APX-IT-003,none_reported,APX-EVID-001
APX-INT-0030,Toshiba POS regional/service component 8,ServiceNow ITSM regional/service component 9,Kafka,Kafka,daily,pos,81600,1440,0.18,APX-IT-001,none_reported,APX-EVID-002
APX-INT-0031,Blue Yonder Demand Planning regional/service component 8,Manhattan Active WMS,SFTP,SFTP,real_time,forecasting,84000,2,0.26,APX-IT-003,none_reported,APX-EVID-003
APX-INT-0032,Databricks Retail Lakehouse regional/service component 8,ServiceNow ITSM,EDI,EDI,daily,data_platform,86400,1440,0.34,APX-IT-007,none_reported,APX-EVID-004
APX-INT-0033,Oracle Retail Merchandising regional/service component 9,Toshiba POS regional/service component 2,CDC,CDC,daily,merchandising,88800,1440,0.42,APX-IT-003,none_reported,APX-EVID-005
APX-INT-0034,Toshiba POS regional/service component 9,Snowflake Marketing Data Cloud regional/service component 2,MuleSoft,MuleSoft,hourly,pos,91200,60,0.50,APX-IT-001,none_reported,APX-EVID-006
APX-INT-0035,Blue Yonder Demand Planning regional/service component 9,Adobe Experience Cloud regional/service component 3,Batch SQL,Batch SQL,daily,forecasting,93600,1440,0.58,APX-IT-003,none_reported,APX-EVID-007
APX-INT-0036,Databricks Retail Lakehouse regional/service component 9,Oracle Retail Merchandising regional/service component 4,API,API,real_time,data_platform,96000,2,0.10,APX-IT-007,none_reported,APX-EVID-008
APX-INT-0037,Oracle Retail Merchandising regional/service component 10,SAP S/4 Finance regional/service component 4,Kafka,Kafka,hourly,merchandising,98400,60,0.18,APX-IT-003,none_reported,APX-EVID-009
