data_product_id,data_product_name,domain,owner_team,refresh_cadence,data_classification,maturity,known_gap
APX-DATA-001,POS transaction lake,sales,APX-IT-007,daily,pci_pii,silver,partial_lineage
APX-DATA-002,Customer 360 / loyalty graph,customer,APX-IT-005,near_real_time,pii,bronze,identity_gaps
APX-DATA-003,Inventory availability product,inventory,APX-IT-004,hourly,internal,silver,store_accuracy_gaps
APX-DATA-004,Clickstream and search telemetry,digital,APX-IT-002,streaming,pii,bronze,consent_review
APX-DATA-005,Shrink and exception analytics,loss_prevention,APX-IT-009,daily,restricted,silver,camera_pos_link_gap
APX-DATA-006,Supply chain visibility mart,supply_chain,APX-IT-004,hourly,internal,silver,carrier_api_variance
APX-DATA-007,Merchandise planning cube,merchandising,APX-IT-003,weekly,confidential,gold,manual_overrides
APX-DATA-008,Labor productivity mart,workforce,APX-IT-006,daily,pii,silver,workday_ukg_join
APX-DATA-009,Vendor funding and margin mart,finance,APX-IT-006,monthly,confidential,silver,rebate_lineage_gap
APX-DATA-010,Retail media performance mart,marketing,APX-IT-005,daily,pii,silver,clean_room_dependency
APEXRETAIL-DATA-0011,POS transaction lake / expansion 1,sales,APX-IT-007,daily,pci_pii,silver,partial_lineage
APEXRETAIL-DATA-0012,Customer 360 / loyalty graph / expansion 2,customer,APX-IT-005,near_real_time,pii,bronze,identity_gaps
APEXRETAIL-DATA-0013,Inventory availability product / expansion 3,inventory,APX-IT-004,hourly,internal,silver,store_accuracy_gaps
APEXRETAIL-DATA-0014,Clickstream and search telemetry / expansion 4,digital,APX-IT-002,streaming,pii,bronze,consent_review
APEXRETAIL-DATA-0015,Shrink and exception analytics / expansion 5,loss_prevention,APX-IT-009,daily,restricted,silver,camera_pos_link_gap
APEXRETAIL-DATA-0016,Supply chain visibility mart / expansion 6,supply_chain,APX-IT-004,hourly,internal,silver,carrier_api_variance
APEXRETAIL-DATA-0017,Merchandise planning cube / expansion 7,merchandising,APX-IT-003,weekly,confidential,gold,manual_overrides
APEXRETAIL-DATA-0018,Labor productivity mart / expansion 8,workforce,APX-IT-006,daily,pii,silver,workday_ukg_join
APEXRETAIL-DATA-0019,Vendor funding and margin mart / expansion 9,finance,APX-IT-006,monthly,confidential,silver,rebate_lineage_gap
APEXRETAIL-DATA-0020,Retail media performance mart / expansion 10,marketing,APX-IT-005,daily,pii,silver,clean_room_dependency
APEXRETAIL-DATA-0021,POS transaction lake / expansion 11,sales,APX-IT-007,daily,pci_pii,silver,partial_lineage
APEXRETAIL-DATA-0022,Customer 360 / loyalty graph / expansion 12,customer,APX-IT-005,near_real_time,pii,bronze,identity_gaps
APEXRETAIL-DATA-0023,Inventory availability product / expansion 13,inventory,APX-IT-004,hourly,internal,silver,store_accuracy_gaps
APEXRETAIL-DATA-0024,Clickstream and search telemetry / expansion 14,digital,APX-IT-002,streaming,pii,bronze,consent_review
APEXRETAIL-DATA-0025,Shrink and exception analytics / expansion 15,loss_prevention,APX-IT-009,daily,restricted,silver,camera_pos_link_gap
APEXRETAIL-DATA-0026,Supply chain visibility mart / expansion 16,supply_chain,APX-IT-004,hourly,internal,silver,carrier_api_variance
APEXRETAIL-DATA-0027,Merchandise planning cube / expansion 17,merchandising,APX-IT-003,weekly,confidential,gold,manual_overrides
APEXRETAIL-DATA-0028,Labor productivity mart / expansion 18,workforce,APX-IT-006,daily,pii,silver,workday_ukg_join
APEXRETAIL-DATA-0029,Vendor funding and margin mart / expansion 19,finance,APX-IT-006,monthly,confidential,silver,rebate_lineage_gap
APEXRETAIL-DATA-0030,Retail media performance mart / expansion 20,marketing,APX-IT-005,daily,pii,silver,clean_room_dependency
APEXRETAIL-DATA-0031,POS transaction lake / expansion 21,sales,APX-IT-007,daily,pci_pii,silver,partial_lineage
APEXRETAIL-DATA-0032,Customer 360 / loyalty graph / expansion 22,customer,APX-IT-005,near_real_time,pii,bronze,identity_gaps
APEXRETAIL-DATA-0033,Inventory availability product / expansion 23,inventory,APX-IT-004,hourly,internal,silver,store_accuracy_gaps
APEXRETAIL-DATA-0034,Clickstream and search telemetry / expansion 24,digital,APX-IT-002,streaming,pii,bronze,consent_review
APEXRETAIL-DATA-0035,Shrink and exception analytics / expansion 25,loss_prevention,APX-IT-009,daily,restricted,silver,camera_pos_link_gap
APEXRETAIL-DATA-0036,Supply chain visibility mart / expansion 26,supply_chain,APX-IT-004,hourly,internal,silver,carrier_api_variance
APEXRETAIL-DATA-0037,Merchandise planning cube / expansion 27,merchandising,APX-IT-003,weekly,confidential,gold,manual_overrides
APEXRETAIL-DATA-0038,Labor productivity mart / expansion 28,workforce,APX-IT-006,daily,pii,silver,workday_ukg_join
APEXRETAIL-DATA-0039,Vendor funding and margin mart / expansion 29,finance,APX-IT-006,monthly,confidential,silver,rebate_lineage_gap
APEXRETAIL-DATA-0040,Retail media performance mart / expansion 30,marketing,APX-IT-005,daily,pii,silver,clean_room_dependency
APEXRETAIL-DATA-0041,POS transaction lake / expansion 31,sales,APX-IT-007,daily,pci_pii,silver,partial_lineage
APEXRETAIL-DATA-0042,Customer 360 / loyalty graph / expansion 32,customer,APX-IT-005,near_real_time,pii,bronze,identity_gaps
APEXRETAIL-DATA-0043,Inventory availability product / expansion 33,inventory,APX-IT-004,hourly,internal,silver,store_accuracy_gaps
APEXRETAIL-DATA-0044,Clickstream and search telemetry / expansion 34,digital,APX-IT-002,streaming,pii,bronze,consent_review
APEXRETAIL-DATA-0045,Shrink and exception analytics / expansion 35,loss_prevention,APX-IT-009,daily,restricted,silver,camera_pos_link_gap
APEXRETAIL-DATA-0046,Supply chain visibility mart / expansion 36,supply_chain,APX-IT-004,hourly,internal,silver,carrier_api_variance
APEXRETAIL-DATA-0047,Merchandise planning cube / expansion 37,merchandising,APX-IT-003,weekly,confidential,gold,manual_overrides
APEXRETAIL-DATA-0048,Labor productivity mart / expansion 38,workforce,APX-IT-006,daily,pii,silver,workday_ukg_join
APEXRETAIL-DATA-0049,Vendor funding and margin mart / expansion 39,finance,APX-IT-006,monthly,confidential,silver,rebate_lineage_gap
APEXRETAIL-DATA-0050,Retail media performance mart / expansion 40,marketing,APX-IT-005,daily,pii,silver,clean_room_dependency
APEXRETAIL-DATA-0051,POS transaction lake / expansion 41,sales,APX-IT-007,daily,pci_pii,silver,partial_lineage
APEXRETAIL-DATA-0052,Customer 360 / loyalty graph / expansion 42,customer,APX-IT-005,near_real_time,pii,bronze,identity_gaps
APEXRETAIL-DATA-0053,Inventory availability product / expansion 43,inventory,APX-IT-004,hourly,internal,silver,store_accuracy_gaps
APEXRETAIL-DATA-0054,Clickstream and search telemetry / expansion 44,digital,APX-IT-002,streaming,pii,bronze,consent_review
APEXRETAIL-DATA-0055,Shrink and exception analytics / expansion 45,loss_prevention,APX-IT-009,daily,restricted,silver,camera_pos_link_gap
APEXRETAIL-DATA-0056,Supply chain visibility mart / expansion 46,supply_chain,APX-IT-004,hourly,internal,silver,carrier_api_variance
APEXRETAIL-DATA-0057,Merchandise planning cube / expansion 47,merchandising,APX-IT-003,weekly,confidential,gold,manual_overrides
APEXRETAIL-DATA-0058,Labor productivity mart / expansion 48,workforce,APX-IT-006,daily,pii,silver,workday_ukg_join
APEXRETAIL-DATA-0059,Vendor funding and margin mart / expansion 49,finance,APX-IT-006,monthly,confidential,silver,rebate_lineage_gap
APEXRETAIL-DATA-0060,Retail media performance mart / expansion 50,marketing,APX-IT-005,daily,pii,silver,clean_room_dependency
APEXRETAIL-DATA-0061,POS transaction lake / expansion 51,sales,APX-IT-007,daily,pci_pii,silver,partial_lineage
APEXRETAIL-DATA-0062,Customer 360 / loyalty graph / expansion 52,customer,APX-IT-005,near_real_time,pii,bronze,identity_gaps
APEXRETAIL-DATA-0063,Inventory availability product / expansion 53,inventory,APX-IT-004,hourly,internal,silver,store_accuracy_gaps
APEXRETAIL-DATA-0064,Clickstream and search telemetry / expansion 54,digital,APX-IT-002,streaming,pii,bronze,consent_review
APEXRETAIL-DATA-0065,Shrink and exception analytics / expansion 55,loss_prevention,APX-IT-009,daily,restricted,silver,camera_pos_link_gap
APEXRETAIL-DATA-0066,Supply chain visibility mart / expansion 56,supply_chain,APX-IT-004,hourly,internal,silver,carrier_api_variance
APEXRETAIL-DATA-0067,Merchandise planning cube / expansion 57,merchandising,APX-IT-003,weekly,confidential,gold,manual_overrides
APEXRETAIL-DATA-0068,Labor productivity mart / expansion 58,workforce,APX-IT-006,daily,pii,silver,workday_ukg_join
APEXRETAIL-DATA-0069,Vendor funding and margin mart / expansion 59,finance,APX-IT-006,monthly,confidential,silver,rebate_lineage_gap
APEXRETAIL-DATA-0070,Retail media performance mart / expansion 60,marketing,APX-IT-005,daily,pii,silver,clean_room_dependency
APEXRETAIL-DATA-0071,POS transaction lake / expansion 61,sales,APX-IT-007,daily,pci_pii,silver,partial_lineage
APEXRETAIL-DATA-0072,Customer 360 / loyalty graph / expansion 62,customer,APX-IT-005,near_real_time,pii,bronze,identity_gaps
APEXRETAIL-DATA-0073,Inventory availability product / expansion 63,inventory,APX-IT-004,hourly,internal,silver,store_accuracy_gaps
APEXRETAIL-DATA-0074,Clickstream and search telemetry / expansion 64,digital,APX-IT-002,streaming,pii,bronze,consent_review
APEXRETAIL-DATA-0075,Shrink and exception analytics / expansion 65,loss_prevention,APX-IT-009,daily,restricted,silver,camera_pos_link_gap
APEXRETAIL-DATA-0076,Supply chain visibility mart / expansion 66,supply_chain,APX-IT-004,hourly,internal,silver,carrier_api_variance
APEXRETAIL-DATA-0077,Merchandise planning cube / expansion 67,merchandising,APX-IT-003,weekly,confidential,gold,manual_overrides
APEXRETAIL-DATA-0078,Labor productivity mart / expansion 68,workforce,APX-IT-006,daily,pii,silver,workday_ukg_join
APEXRETAIL-DATA-0079,Vendor funding and margin mart / expansion 69,finance,APX-IT-006,monthly,confidential,silver,rebate_lineage_gap
APEXRETAIL-DATA-0080,Retail media performance mart / expansion 70,marketing,APX-IT-005,daily,pii,silver,clean_room_dependency
APEXRETAIL-DATA-0081,POS transaction lake / expansion 71,sales,APX-IT-007,daily,pci_pii,silver,partial_lineage
APEXRETAIL-DATA-0082,Customer 360 / loyalty graph / expansion 72,customer,APX-IT-005,near_real_time,pii,bronze,identity_gaps
APEXRETAIL-DATA-0083,Inventory availability product / expansion 73,inventory,APX-IT-004,hourly,internal,silver,store_accuracy_gaps
APEXRETAIL-DATA-0084,Clickstream and search telemetry / expansion 74,digital,APX-IT-002,streaming,pii,bronze,consent_review
APEXRETAIL-DATA-0085,Shrink and exception analytics / expansion 75,loss_prevention,APX-IT-009,daily,restricted,silver,camera_pos_link_gap
APEXRETAIL-DATA-0086,Supply chain visibility mart / expansion 76,supply_chain,APX-IT-004,hourly,internal,silver,carrier_api_variance
APEXRETAIL-DATA-0087,Merchandise planning cube / expansion 77,merchandising,APX-IT-003,weekly,confidential,gold,manual_overrides
APEXRETAIL-DATA-0088,Labor productivity mart / expansion 78,workforce,APX-IT-006,daily,pii,silver,workday_ukg_join
APEXRETAIL-DATA-0089,Vendor funding and margin mart / expansion 79,finance,APX-IT-006,monthly,confidential,silver,rebate_lineage_gap
APEXRETAIL-DATA-0090,Retail media performance mart / expansion 80,marketing,APX-IT-005,daily,pii,silver,clean_room_dependency
APEXRETAIL-DATA-0091,POS transaction lake / expansion 81,sales,APX-IT-007,daily,pci_pii,silver,partial_lineage
APEXRETAIL-DATA-0092,Customer 360 / loyalty graph / expansion 82,customer,APX-IT-005,near_real_time,pii,bronze,identity_gaps
APEXRETAIL-DATA-0093,Inventory availability product / expansion 83,inventory,APX-IT-004,hourly,internal,silver,store_accuracy_gaps
APEXRETAIL-DATA-0094,Clickstream and search telemetry / expansion 84,digital,APX-IT-002,streaming,pii,bronze,consent_review
APEXRETAIL-DATA-0095,Shrink and exception analytics / expansion 85,loss_prevention,APX-IT-009,daily,restricted,silver,camera_pos_link_gap
APEXRETAIL-DATA-0096,Supply chain visibility mart / expansion 86,supply_chain,APX-IT-004,hourly,internal,silver,carrier_api_variance
