id,label,score,maxScore,passed
"executive_tone","Executive tone","5","5","true"
"point_of_view_clarity","Point-of-view clarity","5","5","true"
"business_implication","Business implication","5","5","true"
"evidence_grounding","Evidence grounding","5","5","true"
"caveat_quality","Caveat quality","5","5","true"
"decision_usefulness","Decision usefulness","5","5","true"
"no_internal_language","No internal language","5","5","true"
"visual_usefulness","Visual usefulness","5","5","true"
"module_handoff_clarity","Module handoff clarity","5","5","true"
"concision","Concision","5","5","true"
