module,file,classification,replacement_required,blocking_condition
Admin/data loaders,docs/governance/dataset-manifests/skyharbor-air-v6-v7-upgrade-candidate-20260710.json,bridge/read-model dependency,"Neutral V3 candidate/active context loader, readback validation, rollback keys, tenant isolation, and no default runtime visibility for candidates.",V3 replacement not live-proven
Admin/data loaders,scripts/audit/candidate-invisibility-guard.mjs,bridge/read-model dependency,"Neutral V3 candidate/active context loader, readback validation, rollback keys, tenant isolation, and no default runtime visibility for candidates.",V3 replacement not live-proven
Admin/data loaders,scripts/knowledge/build-data-plane-load-plan.mjs,bridge/read-model dependency,"Neutral V3 candidate/active context loader, readback validation, rollback keys, tenant isolation, and no default runtime visibility for candidates.",V3 replacement not live-proven
Admin/data loaders,scripts/knowledge/load-multi-tenant-data-plane.mjs,bridge/read-model dependency,"Neutral V3 candidate/active context loader, readback validation, rollback keys, tenant isolation, and no default runtime visibility for candidates.",V3 replacement not live-proven
Admin/data loaders,scripts/qa/admin-home-design-smoke-proof.ts,blocked-delete candidate,"Neutral V3 candidate/active context loader, readback validation, rollback keys, tenant isolation, and no default runtime visibility for candidates.",V3 replacement not live-proven
Admin/data loaders,src/lib/admin/tenant-manifest-projection-audit.ts,blocked-delete candidate,"Neutral V3 candidate/active context loader, readback validation, rollback keys, tenant isolation, and no default runtime visibility for candidates.",V3 replacement not live-proven
Admin/data loaders,src/lib/enterprise-data/candidate-generation/tenant-candidate-version-generator.ts,bridge/read-model dependency,"Neutral V3 candidate/active context loader, readback validation, rollback keys, tenant isolation, and no default runtime visibility for candidates.",V3 replacement not live-proven
Admin/data loaders,src/lib/enterprise-data/remediation/skyharbor-applications-candidate-regeneration.ts,bridge/read-model dependency,"Neutral V3 candidate/active context loader, readback validation, rollback keys, tenant isolation, and no default runtime visibility for candidates.",V3 replacement not live-proven
generated CXO/story-block pipeline,datasets/enterprise-profile-foundation-v1/active-tenants/enterprise_profile_foundation.csv,generated artifact dependency,"Generator inputs repointed to standard-2026-07-v3 and approved content store; current physical V3 dataset is Meridian only, with SkyHarbor Air and First Capital still WIP/planned.",V3 replacement not live-proven
generated CXO/story-block pipeline,datasets/tenant-inputs/active/apex-retail/current/12_relationships.csv,generated artifact dependency,"Generator inputs repointed to standard-2026-07-v3 and approved content store; current physical V3 dataset is Meridian only, with SkyHarbor Air and First Capital still WIP/planned.",V3 replacement not live-proven
generated CXO/story-block pipeline,datasets/tenant-inputs/active/skyharbor-air/current/00_enterprise_profile.csv,generated artifact dependency,"Generator inputs repointed to standard-2026-07-v3 and approved content store; current physical V3 dataset is Meridian only, with SkyHarbor Air and First Capital still WIP/planned.",V3 replacement not live-proven
generated CXO/story-block pipeline,datasets/tenant-inputs/active/skyharbor-air/current/05_data_assets_integrations.csv,generated artifact dependency,"Generator inputs repointed to standard-2026-07-v3 and approved content store; current physical V3 dataset is Meridian only, with SkyHarbor Air and First Capital still WIP/planned.",V3 replacement not live-proven
generated CXO/story-block pipeline,datasets/tenant-inputs/active/skyharbor-air/current/14_metrics_outcomes.csv,generated artifact dependency,"Generator inputs repointed to standard-2026-07-v3 and approved content store; current physical V3 dataset is Meridian only, with SkyHarbor Air and First Capital still WIP/planned.",V3 replacement not live-proven
generated CXO/story-block pipeline,datasets/tenant-inputs/tenant-input-registry.json,generated artifact dependency,"Generator inputs repointed to standard-2026-07-v3 and approved content store; current physical V3 dataset is Meridian only, with SkyHarbor Air and First Capital still WIP/planned.",V3 replacement not live-proven
generated CXO/story-block pipeline,scripts/knowledge/audit-module-cxo-content.mjs,bridge/read-model dependency,"Generator inputs repointed to standard-2026-07-v3 and approved content store; current physical V3 dataset is Meridian only, with SkyHarbor Air and First Capital still WIP/planned.",V3 replacement not live-proven
