file,module,term,references,sample_lines,classification,deletion_phase,delete_decision,replacement_required
docs/governance/dataset-manifests/meridian-health-v6-v7-current-state-v1.json,shared/platform,v6_label,3,2|3|16,blocked-delete candidate,Phase 0 - blocked until investigated,blocked_until_v3_live_proof,Replace v6_label in docs/governance/dataset-manifests/meridian-health-v6-v7-current-state-v1.json with governed V3 active-context naming and source/fact lineage before deletion.
docs/governance/dataset-manifests/meridian-health-v6-v7-current-state-v1.json,shared/platform,v6_v7_dataset,2,2|16,blocked-delete candidate,Phase 0 - blocked until investigated,blocked_until_v3_live_proof,Replace v6_v7_dataset in docs/governance/dataset-manifests/meridian-health-v6-v7-current-state-v1.json with governed V3 active-context naming and source/fact lineage before deletion.
docs/governance/dataset-manifests/meridian-health-v6-v7-current-state-v1.json,shared/platform,v7_label,3,2|3|16,blocked-delete candidate,Phase 0 - blocked until investigated,blocked_until_v3_live_proof,Replace v7_label in docs/governance/dataset-manifests/meridian-health-v6-v7-current-state-v1.json with governed V3 active-context naming and source/fact lineage before deletion.
docs/governance/dataset-manifests/skyharbor-air-v6-v7-upgrade-candidate-20260710.json,Admin/data loaders,v6_label,3,2|3|16,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,"Neutral V3 candidate/active context loader, readback validation, rollback keys, tenant isolation, and no default runtime visibility for candidates."
docs/governance/dataset-manifests/skyharbor-air-v6-v7-upgrade-candidate-20260710.json,Admin/data loaders,v6_v7_dataset,2,2|16,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,"Neutral V3 candidate/active context loader, readback validation, rollback keys, tenant isolation, and no default runtime visibility for candidates."
docs/governance/dataset-manifests/skyharbor-air-v6-v7-upgrade-candidate-20260710.json,Admin/data loaders,v7_label,3,2|3|16,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,"Neutral V3 candidate/active context loader, readback validation, rollback keys, tenant isolation, and no default runtime visibility for candidates."
package.json,shared/platform,scripts_v7,4,478|479|480|481,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace scripts_v7 in package.json with governed V3 active-context naming and source/fact lineage before deletion.
package.json,shared/platform,tenant_v6,3,475|476|477,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace tenant_v6 in package.json with governed V3 active-context naming and source/fact lineage before deletion.
package.json,shared/platform,v6_label,2,238|239,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace v6_label in package.json with governed V3 active-context naming and source/fact lineage before deletion.
package.json,shared/platform,v6_v7_dataset,2,238|239,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace v6_v7_dataset in package.json with governed V3 active-context naming and source/fact lineage before deletion.
package.json,shared/platform,v7_label,6,238|239|478|479|480|481,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace v7_label in package.json with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/build-data-intelligence-redesign-report.mjs,Intelligence,scripts_v7,3,419|423|424,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
scripts/audit/build-data-intelligence-redesign-report.mjs,Intelligence,tenant_pack_runs,3,110|185|487,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
scripts/audit/build-data-intelligence-redesign-report.mjs,Intelligence,v6_label,3,80|427|428,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
scripts/audit/build-data-intelligence-redesign-report.mjs,Intelligence,v6_v7_dataset,1,428,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
scripts/audit/build-data-intelligence-redesign-report.mjs,Intelligence,v7_label,6,419|423|424|428|843|849,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
scripts/audit/build-end-to-end-data-flow-report.mjs,shared/platform,intelligence_v6,10,74|75|587|598|607|616|626|691,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace intelligence_v6 in scripts/audit/build-end-to-end-data-flow-report.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/build-end-to-end-data-flow-report.mjs,shared/platform,intelligence_v7,12,82|586|597|606|615|625|692|748,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace intelligence_v7 in scripts/audit/build-end-to-end-data-flow-report.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/build-end-to-end-data-flow-report.mjs,shared/platform,scripts_v7,6,83|90|418|597|606|849,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace scripts_v7 in scripts/audit/build-end-to-end-data-flow-report.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/build-end-to-end-data-flow-report.mjs,shared/platform,tenant_pack_runs,1,82,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace tenant_pack_runs in scripts/audit/build-end-to-end-data-flow-report.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/build-end-to-end-data-flow-report.mjs,shared/platform,tenant_v6,1,62,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace tenant_v6 in scripts/audit/build-end-to-end-data-flow-report.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/build-end-to-end-data-flow-report.mjs,shared/platform,v6_label,15,62|73|90|275|598|616|747|846,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace v6_label in scripts/audit/build-end-to-end-data-flow-report.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/build-end-to-end-data-flow-report.mjs,shared/platform,v6_v7_dataset,4,62|90|846|849,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace v6_v7_dataset in scripts/audit/build-end-to-end-data-flow-report.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/build-end-to-end-data-flow-report.mjs,shared/platform,v7_label,51,49|62|63|70|80|81|83|84,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace v7_label in scripts/audit/build-end-to-end-data-flow-report.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/build-home-knowledge-pressure-proof.ts,shared/platform,v6_label,1,89,blocked-delete candidate,Phase 0 - blocked until investigated,blocked_until_v3_live_proof,Replace v6_label in scripts/audit/build-home-knowledge-pressure-proof.ts with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/build-home-knowledge-pressure-proof.ts,shared/platform,v7_label,1,90,blocked-delete candidate,Phase 0 - blocked until investigated,blocked_until_v3_live_proof,Replace v7_label in scripts/audit/build-home-knowledge-pressure-proof.ts with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/build-home-summary-snapshot.ts,shared/platform,v6_label,1,15,blocked-delete candidate,Phase 0 - blocked until investigated,blocked_until_v3_live_proof,Replace v6_label in scripts/audit/build-home-summary-snapshot.ts with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/build-skyharbor-compatibility-snapshot.ts,shared/platform,v6_label,1,26,blocked-delete candidate,Phase 0 - blocked until investigated,blocked_until_v3_live_proof,Replace v6_label in scripts/audit/build-skyharbor-compatibility-snapshot.ts with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/build-skyharbor-compatibility-snapshot.ts,shared/platform,v6_v7_dataset,1,26,blocked-delete candidate,Phase 0 - blocked until investigated,blocked_until_v3_live_proof,Replace v6_v7_dataset in scripts/audit/build-skyharbor-compatibility-snapshot.ts with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/build-skyharbor-compatibility-snapshot.ts,shared/platform,v7_label,1,26,blocked-delete candidate,Phase 0 - blocked until investigated,blocked_until_v3_live_proof,Replace v7_label in scripts/audit/build-skyharbor-compatibility-snapshot.ts with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/candidate-invisibility-guard.mjs,Admin/data loaders,intelligence_v7,5,21|79|139|141|209,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,"Neutral V3 candidate/active context loader, readback validation, rollback keys, tenant isolation, and no default runtime visibility for candidates."
scripts/audit/candidate-invisibility-guard.mjs,Admin/data loaders,latest_loaded_validated,2,82|136,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,"Neutral V3 candidate/active context loader, readback validation, rollback keys, tenant isolation, and no default runtime visibility for candidates."
scripts/audit/candidate-invisibility-guard.mjs,Admin/data loaders,tenant_pack_runs,4,77|136|146|175,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,"Neutral V3 candidate/active context loader, readback validation, rollback keys, tenant isolation, and no default runtime visibility for candidates."
scripts/audit/candidate-invisibility-guard.mjs,Admin/data loaders,v7_label,11,8|10|11|12|19|24|46|52,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,"Neutral V3 candidate/active context loader, readback validation, rollback keys, tenant isolation, and no default runtime visibility for candidates."
scripts/audit/check-no-legacy-tenant-inputs.mjs,shared/platform,scripts_v7,1,193,blocked-delete candidate,Phase 0 - blocked until investigated,blocked_until_v3_live_proof,Replace scripts_v7 in scripts/audit/check-no-legacy-tenant-inputs.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/check-no-legacy-tenant-inputs.mjs,shared/platform,tenant_v6,2,18|192,blocked-delete candidate,Phase 0 - blocked until investigated,blocked_until_v3_live_proof,Replace tenant_v6 in scripts/audit/check-no-legacy-tenant-inputs.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/check-no-legacy-tenant-inputs.mjs,shared/platform,v6_label,6,13|18|20|23|34|194,blocked-delete candidate,Phase 0 - blocked until investigated,blocked_until_v3_live_proof,Replace v6_label in scripts/audit/check-no-legacy-tenant-inputs.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/check-no-legacy-tenant-inputs.mjs,shared/platform,v6_v7_dataset,3,20|34|194,blocked-delete candidate,Phase 0 - blocked until investigated,blocked_until_v3_live_proof,Replace v6_v7_dataset in scripts/audit/check-no-legacy-tenant-inputs.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/check-no-legacy-tenant-inputs.mjs,shared/platform,v7_label,4,19|20|24|34,blocked-delete candidate,Phase 0 - blocked until investigated,blocked_until_v3_live_proof,Replace v7_label in scripts/audit/check-no-legacy-tenant-inputs.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/home-data-quality.ts,shared/platform,v6_label,1,8,blocked-delete candidate,Phase 0 - blocked until investigated,blocked_until_v3_live_proof,Replace v6_label in scripts/audit/home-data-quality.ts with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/intelligence-ava-stream-polish.ts,Intelligence,v7_label,3,242|244|252,blocked-delete candidate,Phase 0 - blocked until investigated,blocked_until_v3_live_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
scripts/audit/legacy-context-retirement.mjs,shared/platform,intelligence_v7,5,41|141|157|199|406,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace intelligence_v7 in scripts/audit/legacy-context-retirement.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/legacy-context-retirement.mjs,shared/platform,latest_loaded_validated,4,45|46|147|313,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace latest_loaded_validated in scripts/audit/legacy-context-retirement.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/legacy-context-retirement.mjs,shared/platform,scripts_v7,1,76,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace scripts_v7 in scripts/audit/legacy-context-retirement.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/legacy-context-retirement.mjs,shared/platform,tenant_v6,2,122|160,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace tenant_v6 in scripts/audit/legacy-context-retirement.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/legacy-context-retirement.mjs,shared/platform,v6_label,2,34|406,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace v6_label in scripts/audit/legacy-context-retirement.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/legacy-context-retirement.mjs,shared/platform,v7_label,6,35|76|160|271|293|406,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace v7_label in scripts/audit/legacy-context-retirement.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/legacy-dataset-sunset.mjs,shared/platform,tenant_v6,1,145,blocked-delete candidate,Phase 0 - blocked until investigated,blocked_until_v3_live_proof,Replace tenant_v6 in scripts/audit/legacy-dataset-sunset.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/legacy-dataset-sunset.mjs,shared/platform,v6_label,1,32,blocked-delete candidate,Phase 0 - blocked until investigated,blocked_until_v3_live_proof,Replace v6_label in scripts/audit/legacy-dataset-sunset.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/legacy-dataset-sunset.mjs,shared/platform,v6_v7_dataset,3,32|33|34,blocked-delete candidate,Phase 0 - blocked until investigated,blocked_until_v3_live_proof,Replace v6_v7_dataset in scripts/audit/legacy-dataset-sunset.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/legacy-dataset-sunset.mjs,shared/platform,v7_label,3,32|33|34,blocked-delete candidate,Phase 0 - blocked until investigated,blocked_until_v3_live_proof,Replace v7_label in scripts/audit/legacy-dataset-sunset.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/meridian-data-state-reconciliation.mjs,shared/platform,v6_label,2,94|98,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace v6_label in scripts/audit/meridian-data-state-reconciliation.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/meridian-data-state-reconciliation.mjs,shared/platform,v6_v7_dataset,1,98,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace v6_v7_dataset in scripts/audit/meridian-data-state-reconciliation.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/meridian-data-state-reconciliation.mjs,shared/platform,v7_label,2,95|98,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace v7_label in scripts/audit/meridian-data-state-reconciliation.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/v6-v7-phase1-safe-delete-proof.mjs,shared/platform,v6_label,10,6|7|12|13|212|234|236|238,blocked-delete candidate,Phase 0 - blocked until investigated,blocked_until_v3_live_proof,Replace v6_label in scripts/audit/v6-v7-phase1-safe-delete-proof.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/v6-v7-phase1-safe-delete-proof.mjs,shared/platform,v6_v7_dataset,6,6|7|12|13|234|236,blocked-delete candidate,Phase 0 - blocked until investigated,blocked_until_v3_live_proof,Replace v6_v7_dataset in scripts/audit/v6-v7-phase1-safe-delete-proof.mjs with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/v6-v7-phase1-safe-delete-proof.mjs,shared/platform,v7_label,10,6|7|12|13|212|234|236|238,blocked-delete candidate,Phase 0 - blocked until investigated,blocked_until_v3_live_proof,Replace v7_label in scripts/audit/v6-v7-phase1-safe-delete-proof.mjs with governed V3 active-context naming and source/fact lineage before deletion.
