file,module,term,references,sample_lines,classification,deletion_phase,delete_decision,replacement_required
docs/governance/dataset-manifests/skyharbor-air-v6-v7-upgrade-candidate-20260710.json,Admin/data loaders,v6_label,3,2|3|16,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,"Neutral V3 candidate/active context loader, readback validation, rollback keys, tenant isolation, and no default runtime visibility for candidates."
docs/governance/dataset-manifests/skyharbor-air-v6-v7-upgrade-candidate-20260710.json,Admin/data loaders,v6_v7_dataset,2,2|16,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,"Neutral V3 candidate/active context loader, readback validation, rollback keys, tenant isolation, and no default runtime visibility for candidates."
docs/governance/dataset-manifests/skyharbor-air-v6-v7-upgrade-candidate-20260710.json,Admin/data loaders,v7_label,3,2|3|16,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,"Neutral V3 candidate/active context loader, readback validation, rollback keys, tenant isolation, and no default runtime visibility for candidates."
package.json,shared/platform,scripts_v7,4,478|479|480|481,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace scripts_v7 in package.json with governed V3 active-context naming and source/fact lineage before deletion.
package.json,shared/platform,tenant_v6,3,475|476|477,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace tenant_v6 in package.json with governed V3 active-context naming and source/fact lineage before deletion.
package.json,shared/platform,v6_label,2,238|239,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace v6_label in package.json with governed V3 active-context naming and source/fact lineage before deletion.
package.json,shared/platform,v6_v7_dataset,2,238|239,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace v6_v7_dataset in package.json with governed V3 active-context naming and source/fact lineage before deletion.
package.json,shared/platform,v7_label,6,238|239|478|479|480|481,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,Replace v7_label in package.json with governed V3 active-context naming and source/fact lineage before deletion.
scripts/audit/build-data-intelligence-redesign-report.mjs,Intelligence,scripts_v7,3,419|423|424,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
scripts/audit/build-data-intelligence-redesign-report.mjs,Intelligence,tenant_pack_runs,3,110|185|487,bridge/read-model dependency,Phase 2 - bridge cleanup after replacement loader/read-model proof,blocked_until_v3_live_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
