file,module,term,references,sample_lines,classification,deletion_phase,delete_decision,replacement_required
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-LSH-001-prompt-reconstruction.txt,Intelligence,v6_label,3,33|44|50,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-LSH-003-prompt-reconstruction.txt,Intelligence,v6_label,3,33|44|50,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-LSH-004-prompt-reconstruction.txt,Intelligence,v6_label,3,33|44|50,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-LSH-005-prompt-reconstruction.txt,Intelligence,v6_label,3,33|44|50,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-LSH-006-prompt-reconstruction.txt,Intelligence,v6_label,3,33|44|50,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-LSH-007-prompt-reconstruction.txt,Intelligence,v6_label,3,33|44|50,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-LSH-008-prompt-reconstruction.txt,Intelligence,v6_label,3,33|44|50,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-LSH-009-prompt-reconstruction.txt,Intelligence,v6_label,3,33|44|50,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-LSH-010-prompt-reconstruction.txt,Intelligence,v6_label,3,33|44|50,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-LSH-012-prompt-reconstruction.txt,Intelligence,v6_label,3,33|44|50,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-LSH-013-prompt-reconstruction.txt,Intelligence,v6_label,3,33|44|50,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-LSH-014-prompt-reconstruction.txt,Intelligence,v6_label,3,33|44|50,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-LSH-017-prompt-reconstruction.txt,Intelligence,v6_label,3,33|44|50,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-LSH-018-prompt-reconstruction.txt,Intelligence,v6_label,3,33|44|50,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-SKY-001-prompt-reconstruction.txt,Intelligence,intelligence_v7,3,65|71|76,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-SKY-001-prompt-reconstruction.txt,Intelligence,v6_label,1,46,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-SKY-001-prompt-reconstruction.txt,Intelligence,v7_csv,2,71|76,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-SKY-001-prompt-reconstruction.txt,Intelligence,v7_label,11,64|65|68|70|72|75|77|78,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-SKY-002-prompt-reconstruction.txt,Intelligence,intelligence_v7,3,65|71|76,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-SKY-002-prompt-reconstruction.txt,Intelligence,v6_label,1,46,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-SKY-002-prompt-reconstruction.txt,Intelligence,v7_csv,2,71|76,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-SKY-002-prompt-reconstruction.txt,Intelligence,v7_label,11,64|65|68|70|72|75|77|78,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-SKY-003-prompt-reconstruction.txt,Intelligence,intelligence_v7,3,65|71|76,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-SKY-003-prompt-reconstruction.txt,Intelligence,v6_label,1,46,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-SKY-003-prompt-reconstruction.txt,Intelligence,v7_csv,2,71|76,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
proof/home-intelligence-50q-live-audit/2026-07-06T22-57-24-137Z/prompts/INT-SKY-003-prompt-reconstruction.txt,Intelligence,v7_label,11,64|65|68|70|72|75|77|78,safe-to-delete candidate,Phase 1 - dead generated artifact/dataset cleanup after proof,safe_after_reference_proof,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof."
