tenant_key,leader_id,leader_name,role,reports_to_role,organization_area,source_basis,source_file,confidence,caveat,source_file,source_row,value_source
skyharbor-air,SHA-EXEC-001,Jordan Vale,CEO,Board,Protect premium experience while proving modernization discipline.,loaded adjacent v1 executive stakeholder evidence,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.88,"Synthetic comparable executive evidence; use as loaded context, not real-world biographical truth.",family-8-semantic-enrichment/F18_leadership-org-chart.csv,2,tenant_file
skyharbor-air,SHA-EXEC-002,Marisol Chen,CFO,CEO / executive committee,Separate realized value from projected value and slow spend growth.,loaded adjacent v1 executive stakeholder evidence,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.88,"Synthetic comparable executive evidence; use as loaded context, not real-world biographical truth.",family-8-semantic-enrichment/F18_leadership-org-chart.csv,3,tenant_file
skyharbor-air,SHA-EXEC-003,Evan Kline,CTO,CEO / executive technology leadership,Defend five-year progress while reshaping the next wave.,loaded adjacent v1 executive stakeholder evidence,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.88,"Synthetic comparable executive evidence; use as loaded context, not real-world biographical truth.",family-8-semantic-enrichment/F18_leadership-org-chart.csv,4,tenant_file
skyharbor-air,SHA-EXEC-004,Amala Rao,CIO,CEO / executive technology leadership,"Challenge pace, vendor dependency, and cloud-native operating maturity.",loaded adjacent v1 executive stakeholder evidence,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.88,"Synthetic comparable executive evidence; use as loaded context, not real-world biographical truth.",family-8-semantic-enrichment/F18_leadership-org-chart.csv,5,tenant_file
skyharbor-air,SHA-EXEC-005,Tara Whitcomb,COO,CEO / executive committee,Protect operational reliability and IROPs recovery.,loaded adjacent v1 executive stakeholder evidence,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.88,"Synthetic comparable executive evidence; use as loaded context, not real-world biographical truth.",family-8-semantic-enrichment/F18_leadership-org-chart.csv,6,tenant_file
skyharbor-air,SHA-EXEC-006,Owen Mercer,CISO,CEO / executive technology leadership,Reduce cloud control-plane sprawl and govern AI-generated code.,loaded adjacent v1 executive stakeholder evidence,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.88,"Synthetic comparable executive evidence; use as loaded context, not real-world biographical truth.",family-8-semantic-enrichment/F18_leadership-org-chart.csv,7,tenant_file
skyharbor-air,SHA-EXEC-007,Samir Nadeem,CDO,CEO / executive technology leadership,Free operational data trapped in Z batches.,loaded adjacent v1 executive stakeholder evidence,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.88,"Synthetic comparable executive evidence; use as loaded context, not real-world biographical truth.",family-8-semantic-enrichment/F18_leadership-org-chart.csv,8,tenant_file
skyharbor-air,SHA-EXEC-008,Leah Brooks,CHRO,CEO / executive committee,Scale GCC without creating retention and leadership gaps.,loaded adjacent v1 executive stakeholder evidence,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.88,"Synthetic comparable executive evidence; use as loaded context, not real-world biographical truth.",family-8-semantic-enrichment/F18_leadership-org-chart.csv,9,tenant_file
skyharbor-air,SHA-EXEC-009,Nina Alvarez,Chief Customer,CEO / executive committee,"Turn personalization into trusted service, not creepy targeting.",loaded adjacent v1 executive stakeholder evidence,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.88,"Synthetic comparable executive evidence; use as loaded context, not real-world biographical truth.",family-8-semantic-enrichment/F18_leadership-org-chart.csv,10,tenant_file
skyharbor-air,SHA-EXEC-010,Grant Holloway,Chief TechOps,CEO / executive technology leadership,Do not disrupt maintenance and aircraft availability systems.,loaded adjacent v1 executive stakeholder evidence,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.88,"Synthetic comparable executive evidence; use as loaded context, not real-world biographical truth.",family-8-semantic-enrichment/F18_leadership-org-chart.csv,11,tenant_file
