sys_id,number,opened_at,updated_at,state,requested_by_user_id,requested_by_display_name,requested_for_org,business_domain,business_function,cost_center,assignment_group,short_description,description,business_justification,sourcing_trigger,requested_outcome,needed_by,target_decision_date,contract_end_date,estimated_annual_value,currency,value_confidence,incumbent_supplier_name,existing_contract_reference,scope_in,scope_out,geography,service_criticality,regulated_data_flags,data_system_owner,budget_status,decision_owner,baseline_owner,security_review_needed,legal_review_needed,attachment_references,source_table,extract_timestamp,extract_version
snreq000000000000000000000001,REQ0010001,2026-09-02T14:00:00Z,2026-09-10T16:30:00Z,open,USR-SYN-IT-001,IT Service Portfolio Lead,Technology Services,it,application_operations,CC-SYN-4100,Strategic Sourcing Intake,Application managed services sourcing for enterprise applications,"Source L2 and L3 application managed services for ERP, integration, analytics, and customer applications with transition, run, maintain, and minor enhancement scope.","The current agreement expires in 2027 and service performance varies by tower. A competitive outcome-based event is requested.",Contract renewal and service-level improvement,"Competitive RFP with transparent unit economics, service levels, transition accountability, and retained-organization clarity.",2027-01-15,2026-11-20,2027-03-31,12800000,USD,requester_stated_unvalidated,Synthetic Operations Partner,CTR-SYN-AMS-001,"L2/L3 support; incident, problem, change, release support; minor enhancements; 74 applications across ERP, integration, analytics, and customer platforms","Cyber operations; end-user computing; major transformation programs","United States; India delivery centers",high,pii|operationally_sensitive,"Director, IT Service Management",planning_range_confirmed,"VP, Technology Operations","IT Finance and ServiceNow Platform Owner",true,true,ATT-SYN-AMS-001|ATT-SYN-AMS-002,sc_req_item,2026-09-15T12:00:00Z,2026-09-15T120000Z
snreq000000000000000000000002,REQ0010002,2026-09-03T13:00:00Z,2026-09-11T15:00:00Z,open,USR-SYN-ENT-001,Enterprise Transformation Lead,Enterprise Transformation Office,enterprise,finance_transformation,CC-SYN-2100,Strategic Sourcing Intake,SAP S/4HANA ERP implementation partner for global finance transformation,"Select a systems integrator for SAP S/4HANA ERP implementation, global-template rollout, 96 integrations, 41 data objects, testing, data migration and cutover across eight countries.","The current ERP estate has fragmented processes and unsupported customizations. The program requires milestone accountability and controlled change orders.",Approved finance transformation program entering implementation partner selection,"Competitive SI selection with normalized role mix, milestone pricing, data-migration accountability, warranty, and knowledge transfer.",2027-02-01,2026-12-05,,46500000,USD,requester_stated_unvalidated,,,"Global finance design; SAP S/4HANA configuration; integrations; data migration; testing; cutover; hypercare; knowledge transfer","Software licenses; business backfill; unrelated HR transformation","United States; Canada; United Kingdom; Germany; India",critical,financial_controls|pii,"Enterprise Architecture Director",funding_approved,"Chief Transformation Officer","ERP Program Finance Lead",true,true,ATT-SYN-ERP-001|ATT-SYN-ERP-002|ATT-SYN-ERP-003,sc_req_item,2026-09-15T12:00:00Z,2026-09-15T120000Z
snreq000000000000000000000003,REQ0010003,2026-09-04T12:00:00Z,2026-09-11T18:00:00Z,open,USR-SYN-PLAN-001,Plan Data Strategy Lead,Health Plan Strategy,plan,data_and_analytics,CC-SYN-1200,Strategic Sourcing Intake,Customer data platform and lakehouse selection,"Select a customer data platform, analytics lakehouse, feature platform, and governed data activation layer for member engagement and enterprise analytics.","Current data platforms overlap, data products are duplicated, and activation latency limits plan outreach. The request requires a platform decision grounded in workload and consumption evidence.",Data-platform consolidation and governed AI enablement,"Competitive platform selection with workload fit, consumption guardrails, portability, and measurable time-to-data outcomes.",2027-03-01,2027-01-15,,8200000,USD,requester_stated_unvalidated,,,"Lakehouse; customer data platform; governed feature platform; ingestion; semantic layer; consumption controls","Campaign execution services; core claims platform replacement","United States",high,phi|pii,"Chief Data Officer",planning_range_confirmed,"Chief Data and Analytics Officer","Data Platform FinOps Lead",true,true,ATT-SYN-DATA-001|ATT-SYN-DATA-002,sc_req_item,2026-09-15T12:00:00Z,2026-09-15T120000Z
snreq000000000000000000000004,REQ0010004,2026-09-05T11:00:00Z,2026-09-12T14:30:00Z,open,USR-SYN-DEL-001,Digital Delivery Portfolio Lead,Digital Delivery,delivery,digital_product_engineering,CC-SYN-3200,Strategic Sourcing Intake,AI engineering partner for agentic member-service product,"Select an AI engineering partner and delivery partner to build an agentic member-service assistant, retrieval layer, evaluation harness, and production MLOps controls.","Internal teams own product direction but lack near-term specialist capacity for the agentic build and model-operations foundation.",Approved product roadmap requires an accountable engineering partner,"Partner selection based on product delivery capability, named experts, reusable engineering assets, security controls, and knowledge transfer.",2026-12-15,2026-11-10,,6100000,USD,requester_stated_unvalidated,,,"Product discovery; agentic build; retrieval; evaluation; MLOps; secure integration; production handoff","Contact-center operations; model hosting commitments; permanent staff augmentation","United States; nearshore delivery",high,phi|pii|ai_governance,"VP, Digital Product Engineering",funding_approved,"Chief Digital Officer","Digital Portfolio Finance Partner",true,true,ATT-SYN-AIENG-001|ATT-SYN-AIENG-002,sc_req_item,2026-09-15T12:00:00Z,2026-09-15T120000Z
snreq000000000000000000000005,REQ0010005,2026-09-06T10:00:00Z,2026-09-12T16:00:00Z,open,USR-SYN-ENT-002,Enterprise Applications Director,Enterprise Technology,enterprise,enterprise_applications,CC-SYN-2200,Strategic Sourcing Intake,Salesforce subscription renewal and license rationalization,"Renegotiate the Salesforce subscription renewal, true-up, product editions, support, sandbox capacity, and inactive-seat shelfware across sales and service teams.","The renewal window opens in 120 days. Adoption and entitlement data indicate potential shelfware, but finance has not validated a savings amount.",Upcoming SaaS renewal and license true-up,"Renewal decision with validated user demand, edition rightsizing, price protections, and documented walk-away options.",2026-12-01,2026-10-30,2027-01-31,9400000,USD,requester_stated_unvalidated,Synthetic CRM Software Company,CTR-SYN-SAAS-001,"Sales and service subscriptions; premium support; sandboxes; integration entitlements; AI add-ons","Implementation services; marketing automation replacement","United States; Canada",medium,pii,"VP, Enterprise Applications",budget_confirmed,"Chief Commercial Technology Officer","Software Asset Management Lead",true,true,ATT-SYN-SAAS-001|ATT-SYN-SAAS-002,sc_req_item,2026-09-15T12:00:00Z,2026-09-15T120000Z
snreq000000000000000000000006,REQ0010006,2026-09-07T09:00:00Z,2026-09-13T13:30:00Z,open,USR-SYN-IT-002,Cloud Platform Finance Lead,Cloud Platform Engineering,it,cloud_finops,CC-SYN-4200,Strategic Sourcing Intake,AWS cloud commit and FinOps framework negotiation,"Evaluate AWS cloud commit tiers, savings plans, reserved instances, rightsizing, workload growth, unit economics, and commitment-risk guardrails for the next enterprise agreement.","Current consumption is growing unevenly and unused commitments would create stranded cost. A framework commitment must be grounded in workload forecasts.",Cloud enterprise agreement commitment window,"Framework commitment with reconciled consumption baseline, downside scenarios, unit-cost guardrails, and accountable benefit tracking.",2027-01-31,2026-12-12,,18400000,USD,requester_stated_unvalidated,Synthetic Cloud Provider,CTR-SYN-CLOUD-001,"Compute; storage; data transfer; managed data services; support; savings plans; reserved instances","SaaS marketplace purchases; application modernization services","North America; Europe",critical,pii|operationally_sensitive,"VP, Cloud Platform Engineering",planning_range_confirmed,"Chief Technology Officer","Cloud FinOps Director",true,true,ATT-SYN-CLOUD-001|ATT-SYN-CLOUD-002|ATT-SYN-CLOUD-003,sc_req_item,2026-09-15T12:00:00Z,2026-09-15T120000Z
snreq000000000000000000000007,REQ0010007,2026-09-08T08:30:00Z,2026-09-13T17:00:00Z,open,USR-SYN-PLAN-002,Member Services Operations Lead,Health Plan Operations,plan,member_services,CC-SYN-1300,Strategic Sourcing Intake,Contact center outsourcing for member services,"Run a contact center outsourcing and customer-service BPO event for voice, chat, secure messaging, quality monitoring, workforce management, and seasonal call-center coverage.","Service levels and first-contact resolution vary by queue. The plan needs outcome pricing rather than paying only for seats and minutes.",Member-service quality and capacity reset,"Competitive CX outsourcing RFP with cost-per-contact transparency, CSAT and FCR commitments, deflection glide path, and seasonal capacity protections.",2027-02-15,2026-12-20,2027-05-31,22700000,USD,requester_stated_unvalidated,Synthetic Member Services Partner,CTR-SYN-CX-001,"Member-service voice; chat; secure messaging; quality; workforce management; knowledge; seasonal surge","Clinical decision making; claims adjudication; provider contracting","United States",critical,phi|pii,"SVP, Member Services",planning_range_confirmed,"Chief Operating Officer","Member Services Finance Director",true,true,ATT-SYN-CX-001|ATT-SYN-CX-002,sc_req_item,2026-09-15T12:00:00Z,2026-09-15T120000Z
snreq000000000000000000000008,REQ0010008,2026-09-09T08:00:00Z,2026-09-14T12:00:00Z,open,USR-SYN-ENT-003,Shared Services Transformation Lead,Enterprise Shared Services,enterprise,finance_shared_services,CC-SYN-2300,Strategic Sourcing Intake,Finance and accounting shared-services BPO,"Source a finance and accounting shared-services BPO for procure-to-pay, accounts payable, record-to-report, payroll support, exception handling, and continuous-improvement automation.","Transaction volumes are growing while error and rework remain high. The buyer must decide what to automate, retain, or outsource before pricing labor.",Shared-services redesign and operating-cost pressure,"Competitive BPO event with volume-band pricing, automation deflection, error ownership, retained-cost visibility, and controls continuity.",2027-03-15,2027-01-20,,15600000,USD,requester_stated_unvalidated,,,"Procure-to-pay; accounts payable; record-to-report; payroll support; master-data exceptions; automation roadmap","Treasury; tax advice; controller approvals; policy ownership","United States; Philippines; India",high,financial_controls|pii,"VP, Enterprise Shared Services",planning_range_confirmed,"Chief Financial Officer","Corporate Controller and FP&A",true,true,ATT-SYN-BSS-001|ATT-SYN-BSS-002|ATT-SYN-BSS-003,sc_req_item,2026-09-15T12:00:00Z,2026-09-15T120000Z
snreq000000000000000000000009,REQ0010009,2026-09-10T07:30:00Z,2026-09-14T15:00:00Z,open,USR-SYN-IT-003,Cybersecurity Sourcing Lead,Information Security,it,cyber_security,CC-SYN-4300,Strategic Sourcing Intake,MSSP security operations and SIEM sourcing,"Select an MSSP for security operations center coverage, SIEM engineering, threat detection, incident response, vulnerability coordination, and cyber GRC reporting.","Coverage gaps and alert backlog require an accountable security operations model without transferring risk ownership away from the buyer.",Security operations coverage and control remediation,"Competitive MSSP sourcing with detection coverage, response obligations, tooling boundaries, evidence retention, and exit assistance.",2027-01-10,2026-11-30,2027-04-30,11200000,USD,requester_stated_unvalidated,Synthetic Security Services Partner,CTR-SYN-MSSP-001,"24x7 SOC; SIEM; detection engineering; incident response; vulnerability coordination; compliance reporting","Enterprise risk acceptance; internal audit; IAM platform replacement","United States; European Union",critical,security_restricted|pii,"Chief Information Security Officer",funding_approved,"Chief Information Security Officer","Cybersecurity Finance Partner",true,true,ATT-SYN-MSSP-001|ATT-SYN-MSSP-002,sc_req_item,2026-09-15T12:00:00Z,2026-09-15T120000Z
snreq000000000000000000000010,REQ0010010,2026-09-11T07:00:00Z,2026-09-14T18:00:00Z,open,USR-SYN-DEL-002,Delivery Capacity Director,Technology Delivery,delivery,delivery_capacity,CC-SYN-3300,Strategic Sourcing Intake,Staff augmentation versus outcome-based delivery decision,"Evaluate staff augmentation, contractors, contingent labor, T&M role demand, and capacity-versus-outcome options for a three-year delivery portfolio.","The portfolio has relied on individual contractors without clear product outcomes, knowledge transfer, or scalable role-mix economics.",Delivery capacity shortfall and contingent-workforce growth,"Demand-triage decision that separates temporary capacity from work suitable for an accountable outcome-based service.",2026-12-20,2026-11-15,,7300000,USD,requester_stated_unvalidated,,,"Architecture; engineering; quality engineering; product analysis; delivery management; defined portfolio increments","Permanent hiring; production operations; unrelated consulting","United States; nearshore; India",medium,operationally_sensitive,"VP, Technology Delivery",planning_range_confirmed,"Chief Information Officer","Technology Workforce Planning Lead",true,false,ATT-SYN-STAFF-001|ATT-SYN-STAFF-002,sc_req_item,2026-09-15T12:00:00Z,2026-09-15T120000Z
