initiative_id,initiative_name,business_function,owning_team,business_area,owner_role,stage,fy26_budget_usd,target_value_usd,budget_usd,promised_benefit_usd,target_date,dependency,risk_status,move_relevance,measured_value_usd,value_confidence,status,primary_blocker,evidence_id,source_file,source_row,value_source
FC-AI-001,Real-time scam & APP fraud detection,GEN-BF-008,,Financial Crimes,Chief Risk Officer,ideate,,,27768800,47000000,2027-10-21,Data quality certification,high,Financial Crimes,,,,,,family-5-execution-operations/F13_initiatives-portfolio.csv,2,tenant_file
FC-AI-002,AML alert triage & false-positive reduction,GEN-BF-003,,Financial Crimes,BSA/AML Officer,ideate,,,4642560,12000000,2027-12-03,Customer 360 lakehouse,medium,Financial Crimes,,,,,,family-5-execution-operations/F13_initiatives-portfolio.csv,3,tenant_file
FC-AI-003,SAR narrative drafting copilot,GEN-BF-003,,Financial Crimes,BSA/AML Officer,ideate,,,13772614,38000000,2027-05-02,Model risk validation,medium,Financial Crimes,,,,,,family-5-execution-operations/F13_initiatives-portfolio.csv,4,tenant_file
FC-AI-004,Contact center next-best-action assist,GEN-BF-003,,Customer Care,Head of Customer Experience,ideate,,,18376557,41000000,2027-04-09,Customer 360 lakehouse,high,Customer Care,,,,,,family-5-execution-operations/F13_initiatives-portfolio.csv,5,tenant_file
FC-AI-005,Commercial credit spreading automation,GEN-BF-007,,Commercial Banking,Head of Commercial Banking,ideate,,,8967447,27000000,2027-09-05,Real-time feature store,medium,Commercial Banking,,,,,,family-5-execution-operations/F13_initiatives-portfolio.csv,6,tenant_file
FC-AI-006,Customer 360 lakehouse foundation,GEN-BF-002,,"Data, Analytics & AI",Chief Data & Analytics Officer,ideate,,,12569375,30000000,2027-09-20,Data quality certification,medium,"Data, Analytics & AI",,,,,,family-5-execution-operations/F13_initiatives-portfolio.csv,7,tenant_file
FC-AI-007,Certified semantic layer for KPIs,GEN-BF-007,,"Data, Analytics & AI",Chief Data & Analytics Officer,design,,,8574774,17000000,2027-02-23,Data quality certification,high,"Data, Analytics & AI",,,,,,family-5-execution-operations/F13_initiatives-portfolio.csv,8,tenant_file
FC-AI-008,Engineering code-assist productivity,GEN-BF-007,,Technology,Chief Information Officer,design,,,17706000,37000000,2027-06-01,Semantic layer,high,Technology,,,,,,family-5-execution-operations/F13_initiatives-portfolio.csv,9,tenant_file
FC-AI-009,Regulatory close & reconciliation automation,GEN-BF-004,,Finance,Chief Financial Officer,design,,,4803082,11000000,2027-07-22,Semantic layer,medium,Finance,,,,,,family-5-execution-operations/F13_initiatives-portfolio.csv,10,tenant_file
FC-AI-010,Cards dispute & chargeback automation,GEN-BF-003,,Cards & Payments,Head of Cards & Payments,design,,,10815184,26000000,2027-03-19,Real-time feature store,high,Cards & Payments,,,,,,family-5-execution-operations/F13_initiatives-portfolio.csv,11,tenant_file
FC-AI-011,Wealth advisor proposal generation,GEN-BF-002,,Wealth Management,Head of Wealth Management,design,,,27478220,43000000,2027-12-14,Data quality certification,high,Wealth Management,,,,,,family-5-execution-operations/F13_initiatives-portfolio.csv,12,tenant_file
FC-AI-012,Payments exception repair automation,GEN-BF-006,,Operations,Chief Operating Officer,design,,,7870103,14000000,2027-01-03,Customer 360 lakehouse,high,Operations,,,,,,family-5-execution-operations/F13_initiatives-portfolio.csv,13,tenant_file
FC-AI-013,Credit risk model SR 11-7 evidence automation,GEN-BF-004,,Risk,Chief Risk Officer,design,,,21438344,44000000,2027-11-16,Model risk validation,high,Risk,,,,,,family-5-execution-operations/F13_initiatives-portfolio.csv,14,tenant_file
FC-AI-014,KYC refresh & onboarding intelligence,GEN-BF-003,,Financial Crimes,BSA/AML Officer,mobilize,,,18689017,34000000,2027-04-27,Model risk validation,medium,Financial Crimes,,,,,,family-5-execution-operations/F13_initiatives-portfolio.csv,15,tenant_file
FC-AI-015,Collections prioritization optimization,GEN-BF-008,,Operations,Chief Operating Officer,mobilize,,,11699433,18000000,2027-08-21,Customer 360 lakehouse,high,Operations,,,,,,family-5-execution-operations/F13_initiatives-portfolio.csv,16,tenant_file
FC-AI-016,Branch banker knowledge assist,GEN-BF-006,,Consumer Banking,Head of Consumer Banking,mobilize,,,9847978,21000000,2027-04-11,Real-time feature store,high,Consumer Banking,,,,,,family-5-execution-operations/F13_initiatives-portfolio.csv,17,tenant_file
FC-AI-017,Marketing personalization & retention,GEN-BF-005,,Consumer Banking,Head of Consumer Banking,mobilize,,,18706925,30000000,2027-03-19,Data quality certification,high,Consumer Banking,,,,,,family-5-execution-operations/F13_initiatives-portfolio.csv,18,tenant_file
FC-AI-018,Treasury liquidity forecasting,GEN-BF-005,,Treasury,Treasurer,mobilize,,,16554338,43000000,2027-08-06,Model risk validation,high,Treasury,,,,,,family-5-execution-operations/F13_initiatives-portfolio.csv,19,tenant_file
FC-AI-019,Complaint & fair-lending surveillance NLP,GEN-BF-002,,Compliance,Chief Compliance Officer,mobilize,,,6559729,20000000,2027-12-08,Model risk validation,high,Compliance,,,,,,family-5-execution-operations/F13_initiatives-portfolio.csv,20,tenant_file
FC-AI-020,Mainframe code modernization assist,GEN-BF-003,,Technology,Chief Information Officer,mobilize,,,9273193,23000000,2027-03-20,Semantic layer,high,Technology,,,,,,family-5-execution-operations/F13_initiatives-portfolio.csv,21,tenant_file
FC-AI-021,Document intelligence for commercial onboarding,GEN-BF-003,,Commercial Banking,Head of Commercial Banking,mobilize,,,22056568,43000000,2027-10-03,Model risk validation,medium,Commercial Banking,,,,,,family-5-execution-operations/F13_initiatives-portfolio.csv,22,tenant_file
FC-AI-022,Sanctions screening tuning,GEN-BF-003,,Financial Crimes,BSA/AML Officer,pilot,,,19737721,41000000,2027-05-19,Data quality certification,high,Financial Crimes,,,,,,family-5-execution-operations/F13_initiatives-portfolio.csv,23,tenant_file
FC-AI-023,Statement & disclosure generation copilot,GEN-BF-002,,Operations,Chief Operating Officer,pilot,,,22283902,45000000,2027-12-23,Semantic layer,high,Operations,,,,,,family-5-execution-operations/F13_initiatives-portfolio.csv,24,tenant_file
FC-AI-024,Card rewards personalization,GEN-BF-003,,Cards & Payments,Head of Cards & Payments,pilot,,,12327081,25000000,2027-03-09,Real-time feature store,high,Cards & Payments,,,,,,family-5-execution-operations/F13_initiatives-portfolio.csv,25,tenant_file
