tenant_key,signal_id,record_id,service_or_process,service_area,ticket_or_event_type,metric_name,period,monthly_volume,value,threshold,status,severity_mix,mttr_hours,backlog_count,automation_candidate,root_cause_theme,incidents_p1_p2,incidents_total,change_failure_rate_pct,availability_pct,owner_role,evidence_id,source_file,source_row,value_source,notes
first-capital-financial,FC-OPS-001,,Core banking interface failures,,incident,,,210,not_loaded,,,20% high / 58% medium / 22% low,4.5,44,yes,batch latency and data quality,not_loaded,not_loaded,not_loaded,not_loaded,,,family-5-execution-operations/F14_operations-service-management.csv,2,tenant_file,
first-capital-financial,FC-OPS-002,,ACH/wire exceptions,,data_quality,,,380,not_loaded,,,12% high / 50% medium / 38% low,5.2,96,partial,manual repair,not_loaded,not_loaded,not_loaded,not_loaded,,,family-5-execution-operations/F14_operations-service-management.csv,3,tenant_file,
first-capital-financial,FC-OPS-003,,Card authorization incidents,,incident,,,140,not_loaded,,,24% high / 54% medium / 22% low,3.1,28,yes,capacity at peak,not_loaded,not_loaded,not_loaded,not_loaded,,,family-5-execution-operations/F14_operations-service-management.csv,4,tenant_file,
first-capital-financial,FC-OPS-004,,AML alert backlog,,investigation,,,2100,not_loaded,,,8% high / 40% medium / 52% low,36,8400,partial,false positives,not_loaded,not_loaded,not_loaded,not_loaded,,,family-5-execution-operations/F14_operations-service-management.csv,5,tenant_file,
first-capital-financial,FC-OPS-005,,Fraud dispute intake,,service_request,,,480,not_loaded,,,15% high / 55% medium / 30% low,18,1200,yes,evidence assembly manual,not_loaded,not_loaded,not_loaded,not_loaded,,,family-5-execution-operations/F14_operations-service-management.csv,6,tenant_file,
first-capital-financial,FC-OPS-006,,Contact center escalations,,service_request,,,9400,not_loaded,,,10% high / 45% medium / 45% low,0.8,2200,yes,no unified context,not_loaded,not_loaded,not_loaded,not_loaded,,,family-5-execution-operations/F14_operations-service-management.csv,7,tenant_file,
first-capital-financial,FC-OPS-007,,Regulatory report defects,,data_quality,,,90,not_loaded,,,30% high / 50% medium / 20% low,22,40,partial,reconciliation gaps,not_loaded,not_loaded,not_loaded,not_loaded,,,family-5-execution-operations/F14_operations-service-management.csv,8,tenant_file,
first-capital-financial,FC-OPS-008,,Lakehouse pipeline failures,,incident,,,320,not_loaded,,,14% high / 52% medium / 34% low,6,110,partial,lineage and schema drift,not_loaded,not_loaded,not_loaded,not_loaded,,,family-5-execution-operations/F14_operations-service-management.csv,9,tenant_file,
first-capital-financial,FC-OPS-009,,Mainframe batch overruns,,incident,,,60,not_loaded,,,40% high / 45% medium / 15% low,7.5,18,no,legacy capacity,not_loaded,not_loaded,not_loaded,not_loaded,,,family-5-execution-operations/F14_operations-service-management.csv,10,tenant_file,
first-capital-financial,FC-OPS-010,,Model monitoring breaches,,risk_event,,,48,not_loaded,,,35% high / 50% medium / 15% low,30,22,no,drift and stale features,not_loaded,not_loaded,not_loaded,not_loaded,,,family-5-execution-operations/F14_operations-service-management.csv,11,tenant_file,
first-capital-financial,FC-OPS-011,,Cards dispute SLA misses,,service_request,,,220,not_loaded,,,18% high / 52% medium / 30% low,14,640,yes,manual evidence,not_loaded,not_loaded,not_loaded,not_loaded,,,family-5-execution-operations/F14_operations-service-management.csv,12,tenant_file,
first-capital-financial,FC-OPS-012,,Privacy/data-access exceptions,,risk_event,,,75,not_loaded,,,28% high / 52% medium / 20% low,26,34,partial,manual approvals,not_loaded,not_loaded,not_loaded,not_loaded,,,family-5-execution-operations/F14_operations-service-management.csv,13,tenant_file,
