vendor_id,vendor_name,category,annual_value_usd,renewal_date,exit_terms,ai_clauses,data_rights
NST-VEND-001,Oracle,QMS,940000,2027-02-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-002,Siemens,PLM,1280000,2028-03-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-003,PTC,Cloud,1620000,2026-04-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-004,Veeva,AMS,1960000,2027-05-15,90-day per-app removal clause,not negotiated,standard confidentiality
NST-VEND-005,Salesforce,SI,2300000,2028-06-15,annual renewal window,AI-generated work product indemnity required,standard confidentiality
NST-VEND-006,ServiceNow,Security,2640000,2026-07-15,annual renewal window,not negotiated,tenant owns derived models
NST-VEND-007,Microsoft,Clinical software,2980000,2027-08-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-008,AWS,ERP,3320000,2028-09-15,90-day per-app removal clause,not negotiated,standard confidentiality
NST-VEND-009,Azure,QMS,3660000,2026-10-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-010,Cognizant,PLM,4000000,2027-11-15,annual renewal window,AI-generated work product indemnity required,standard confidentiality
NST-VEND-011,Accenture,Cloud,4340000,2028-12-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-012,Infosys,AMS,4680000,2026-01-15,90-day per-app removal clause,not negotiated,tenant owns derived models
NST-VEND-013,Deloitte,SI,5020000,2027-02-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-014,KPMG,Security,5360000,2028-03-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-015,SAP,Clinical software,5700000,2026-04-15,annual renewal window,AI-generated work product indemnity required,standard confidentiality
NST-VEND-016,Oracle Program 16,ERP,6040000,2027-05-15,90-day per-app removal clause,not negotiated,standard confidentiality
NST-VEND-017,Siemens Program 17,QMS,6380000,2028-06-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-018,PTC Program 18,PLM,6720000,2026-07-15,annual renewal window,not negotiated,tenant owns derived models
NST-VEND-019,Veeva Program 19,Cloud,7060000,2027-08-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-020,Salesforce Program 20,AMS,7400000,2028-09-15,90-day per-app removal clause,AI-generated work product indemnity required,standard confidentiality
NST-VEND-021,ServiceNow Program 21,SI,7740000,2026-10-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-022,Microsoft Program 22,Security,8080000,2027-11-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-023,AWS Program 23,Clinical software,8420000,2028-12-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-024,Azure Program 24,ERP,8760000,2026-01-15,90-day per-app removal clause,not negotiated,tenant owns derived models
NST-VEND-025,Cognizant Program 25,QMS,9100000,2027-02-15,annual renewal window,AI-generated work product indemnity required,standard confidentiality
NST-VEND-026,Accenture Program 26,PLM,9440000,2028-03-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-027,Infosys Program 27,Cloud,9780000,2026-04-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-028,Deloitte Program 28,AMS,10120000,2027-05-15,90-day per-app removal clause,not negotiated,standard confidentiality
NST-VEND-029,KPMG Program 29,SI,10460000,2028-06-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-030,SAP Program 30,Security,10800000,2026-07-15,annual renewal window,AI-generated work product indemnity required,tenant owns derived models
NST-VEND-031,Oracle Program 31,Clinical software,11140000,2027-08-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-032,Siemens Program 32,ERP,11480000,2028-09-15,90-day per-app removal clause,not negotiated,standard confidentiality
NST-VEND-033,PTC Program 33,QMS,11820000,2026-10-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-034,Veeva Program 34,PLM,12160000,2027-11-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-035,Salesforce Program 35,Cloud,12500000,2028-12-15,annual renewal window,AI-generated work product indemnity required,standard confidentiality
NST-VEND-036,ServiceNow Program 36,AMS,12840000,2026-01-15,90-day per-app removal clause,not negotiated,tenant owns derived models
NST-VEND-037,Microsoft Program 37,SI,13180000,2027-02-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-038,AWS Program 38,Security,13520000,2028-03-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-039,Azure Program 39,Clinical software,13860000,2026-04-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-040,Cognizant Program 40,ERP,14200000,2027-05-15,90-day per-app removal clause,AI-generated work product indemnity required,standard confidentiality
NST-VEND-041,Accenture Program 41,QMS,14540000,2028-06-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-042,Infosys Program 42,PLM,14880000,2026-07-15,annual renewal window,not negotiated,tenant owns derived models
NST-VEND-043,Deloitte Program 43,Cloud,15220000,2027-08-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-044,KPMG Program 44,AMS,15560000,2028-09-15,90-day per-app removal clause,not negotiated,standard confidentiality
NST-VEND-045,SAP Program 45,SI,15900000,2026-10-15,annual renewal window,AI-generated work product indemnity required,standard confidentiality
NST-VEND-046,Oracle Program 46,Security,16240000,2027-11-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-047,Siemens Program 47,Clinical software,16580000,2028-12-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-048,PTC Program 48,ERP,16920000,2026-01-15,90-day per-app removal clause,not negotiated,tenant owns derived models
NST-VEND-049,Veeva Program 49,QMS,17260000,2027-02-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-050,Salesforce Program 50,PLM,17600000,2028-03-15,annual renewal window,AI-generated work product indemnity required,standard confidentiality
NST-VEND-051,ServiceNow Program 51,Cloud,17940000,2026-04-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-052,Microsoft Program 52,AMS,18280000,2027-05-15,90-day per-app removal clause,not negotiated,standard confidentiality
NST-VEND-053,AWS Program 53,SI,18620000,2028-06-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-054,Azure Program 54,Security,18960000,2026-07-15,annual renewal window,not negotiated,tenant owns derived models
NST-VEND-055,Cognizant Program 55,Clinical software,19300000,2027-08-15,annual renewal window,AI-generated work product indemnity required,standard confidentiality
NST-VEND-056,Accenture Program 56,ERP,19640000,2028-09-15,90-day per-app removal clause,not negotiated,standard confidentiality
NST-VEND-057,Infosys Program 57,QMS,19980000,2026-10-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-058,Deloitte Program 58,PLM,20320000,2027-11-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-059,KPMG Program 59,Cloud,20660000,2028-12-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-060,SAP Program 60,AMS,21000000,2026-01-15,90-day per-app removal clause,AI-generated work product indemnity required,tenant owns derived models
NST-VEND-061,Oracle Program 61,SI,21340000,2027-02-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-062,Siemens Program 62,Security,21680000,2028-03-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-063,PTC Program 63,Clinical software,22020000,2026-04-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-064,Veeva Program 64,ERP,22360000,2027-05-15,90-day per-app removal clause,not negotiated,standard confidentiality
NST-VEND-065,Salesforce Program 65,QMS,22700000,2028-06-15,annual renewal window,AI-generated work product indemnity required,standard confidentiality
NST-VEND-066,ServiceNow Program 66,PLM,23040000,2026-07-15,annual renewal window,not negotiated,tenant owns derived models
NST-VEND-067,Microsoft Program 67,Cloud,23380000,2027-08-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-068,AWS Program 68,AMS,23720000,2028-09-15,90-day per-app removal clause,not negotiated,standard confidentiality
NST-VEND-069,Azure Program 69,SI,24060000,2026-10-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-070,Cognizant Program 70,Security,24400000,2027-11-15,annual renewal window,AI-generated work product indemnity required,standard confidentiality
NST-VEND-071,Accenture Program 71,Clinical software,24740000,2028-12-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-072,Infosys Program 72,ERP,25080000,2026-01-15,90-day per-app removal clause,not negotiated,tenant owns derived models
NST-VEND-073,Deloitte Program 73,QMS,25420000,2027-02-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-074,KPMG Program 74,PLM,25760000,2028-03-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-075,SAP Program 75,Cloud,26100000,2026-04-15,annual renewal window,AI-generated work product indemnity required,standard confidentiality
NST-VEND-076,Oracle Program 76,AMS,26440000,2027-05-15,90-day per-app removal clause,not negotiated,standard confidentiality
