tenant_key,org_unit,parent_org_unit,leader_name_or_role,role_level,decision_rights,owned_functions,owned_systems,owned_data_domains,location_scope,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status
first-capital-financial,Office of the CIO,,Chief Information Officer,,technology_leadership,,technology_leadership,,,datasets/tenant-inputs/active/first-capital-financial/current/02_org_ownership.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/first-capital-financial/current/02_org_ownership.csv,universal-standard-v3,2,FC-IT-001,synthetic-demo,f4ac1cc4df52566fb5ca1973cca2a69937191335e27e3ac3f4482bc0b4c1662b,retained_from_active_source,none
first-capital-financial,Core Banking Platforms,,VP Core Banking,,core_banking,,core_banking,,,datasets/tenant-inputs/active/first-capital-financial/current/02_org_ownership.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/first-capital-financial/current/02_org_ownership.csv,universal-standard-v3,3,FC-IT-002,synthetic-demo,f4ac1cc4df52566fb5ca1973cca2a69937191335e27e3ac3f4482bc0b4c1662b,retained_from_active_source,none
first-capital-financial,Cards & Payments Technology,,VP Cards & Payments Tech,,cards_payments,,cards_payments,,,datasets/tenant-inputs/active/first-capital-financial/current/02_org_ownership.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/first-capital-financial/current/02_org_ownership.csv,universal-standard-v3,4,FC-IT-003,synthetic-demo,f4ac1cc4df52566fb5ca1973cca2a69937191335e27e3ac3f4482bc0b4c1662b,retained_from_active_source,none
first-capital-financial,Channels & Digital Engineering,,VP Digital,,channels_crm,,channels_crm,,,datasets/tenant-inputs/active/first-capital-financial/current/02_org_ownership.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/first-capital-financial/current/02_org_ownership.csv,universal-standard-v3,5,FC-IT-004,synthetic-demo,f4ac1cc4df52566fb5ca1973cca2a69937191335e27e3ac3f4482bc0b4c1662b,retained_from_active_source,none
first-capital-financial,Data Platform & AI Engineering,,Chief Data & Analytics Officer,,databricks_aws_lakehouse,,databricks_aws_lakehouse,,,datasets/tenant-inputs/active/first-capital-financial/current/02_org_ownership.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/first-capital-financial/current/02_org_ownership.csv,universal-standard-v3,6,FC-IT-005,synthetic-demo,f4ac1cc4df52566fb5ca1973cca2a69937191335e27e3ac3f4482bc0b4c1662b,retained_from_active_source,none
first-capital-financial,Integration & API Platform,,VP Integration,,iso20022_api_eai,,iso20022_api_eai,,,datasets/tenant-inputs/active/first-capital-financial/current/02_org_ownership.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/first-capital-financial/current/02_org_ownership.csv,universal-standard-v3,7,FC-IT-006,synthetic-demo,f4ac1cc4df52566fb5ca1973cca2a69937191335e27e3ac3f4482bc0b4c1662b,retained_from_active_source,none
first-capital-financial,"Risk, Treasury & Finance Systems",,VP Risk & Finance Tech,,risk_treasury_erp,,risk_treasury_erp,,,datasets/tenant-inputs/active/first-capital-financial/current/02_org_ownership.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/first-capital-financial/current/02_org_ownership.csv,universal-standard-v3,8,FC-IT-007,synthetic-demo,f4ac1cc4df52566fb5ca1973cca2a69937191335e27e3ac3f4482bc0b4c1662b,retained_from_active_source,none
first-capital-financial,Financial Crimes Technology,,VP Financial Crimes Tech,,aml_fraud,,aml_fraud,,,datasets/tenant-inputs/active/first-capital-financial/current/02_org_ownership.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/first-capital-financial/current/02_org_ownership.csv,universal-standard-v3,9,FC-IT-008,synthetic-demo,f4ac1cc4df52566fb5ca1973cca2a69937191335e27e3ac3f4482bc0b4c1662b,retained_from_active_source,none
first-capital-financial,"Cyber, Privacy & Resilience",,Chief Information Security Officer,,cyber_privacy,,cyber_privacy,,,datasets/tenant-inputs/active/first-capital-financial/current/02_org_ownership.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/first-capital-financial/current/02_org_ownership.csv,universal-standard-v3,10,FC-IT-009,synthetic-demo,f4ac1cc4df52566fb5ca1973cca2a69937191335e27e3ac3f4482bc0b4c1662b,retained_from_active_source,none
first-capital-financial,Cloud & Infrastructure,,VP Infrastructure,,aws_azure_mainframe_network,,aws_azure_mainframe_network,,,datasets/tenant-inputs/active/first-capital-financial/current/02_org_ownership.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/first-capital-financial/current/02_org_ownership.csv,universal-standard-v3,11,FC-IT-010,synthetic-demo,f4ac1cc4df52566fb5ca1973cca2a69937191335e27e3ac3f4482bc0b4c1662b,retained_from_active_source,none
