tenant_key,persona_or_role,function_name,role_count,location_model,employment_type,vendor_supported,skills,pain_points,automation_opportunity,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status
first-capital-financial,Branch banker / relationship manager,Branch banker / relationship manager,,,,,,,High,datasets/tenant-inputs/active/first-capital-financial/current/03_workforce_roles.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/first-capital-financial/consolidated-20260714/enterprise-pack/templates/V6_04_workforce_personas.csv,enterprise-pack,2,FC-PER-001,synthetic-demo,70bddc83e1c7cf5a5aae059849110a0451caec3aaab7c73615797b1ac4058291,retained_from_active_source,none
first-capital-financial,Contact center agent,Contact center agent,,,,,,,High,datasets/tenant-inputs/active/first-capital-financial/current/03_workforce_roles.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/first-capital-financial/consolidated-20260714/enterprise-pack/templates/V6_04_workforce_personas.csv,enterprise-pack,3,FC-PER-002,synthetic-demo,70bddc83e1c7cf5a5aae059849110a0451caec3aaab7c73615797b1ac4058291,retained_from_active_source,none
first-capital-financial,Commercial lending officer,Commercial lending officer,,,,,,,High,datasets/tenant-inputs/active/first-capital-financial/current/03_workforce_roles.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/first-capital-financial/consolidated-20260714/enterprise-pack/templates/V6_04_workforce_personas.csv,enterprise-pack,4,FC-PER-003,synthetic-demo,70bddc83e1c7cf5a5aae059849110a0451caec3aaab7c73615797b1ac4058291,retained_from_active_source,none
first-capital-financial,Credit underwriter,Credit underwriter,,,,,,,High,datasets/tenant-inputs/active/first-capital-financial/current/03_workforce_roles.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/first-capital-financial/consolidated-20260714/enterprise-pack/templates/V6_04_workforce_personas.csv,enterprise-pack,5,FC-PER-004,synthetic-demo,70bddc83e1c7cf5a5aae059849110a0451caec3aaab7c73615797b1ac4058291,retained_from_active_source,none
first-capital-financial,Fraud analyst,Fraud analyst,,,,,,,High,datasets/tenant-inputs/active/first-capital-financial/current/03_workforce_roles.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/first-capital-financial/consolidated-20260714/enterprise-pack/templates/V6_04_workforce_personas.csv,enterprise-pack,6,FC-PER-005,synthetic-demo,70bddc83e1c7cf5a5aae059849110a0451caec3aaab7c73615797b1ac4058291,retained_from_active_source,none
first-capital-financial,AML investigator,AML investigator,,,,,,,High,datasets/tenant-inputs/active/first-capital-financial/current/03_workforce_roles.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/first-capital-financial/consolidated-20260714/enterprise-pack/templates/V6_04_workforce_personas.csv,enterprise-pack,7,FC-PER-006,synthetic-demo,70bddc83e1c7cf5a5aae059849110a0451caec3aaab7c73615797b1ac4058291,retained_from_active_source,none
first-capital-financial,Wealth advisor,Wealth advisor,,,,,,,High,datasets/tenant-inputs/active/first-capital-financial/current/03_workforce_roles.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/first-capital-financial/consolidated-20260714/enterprise-pack/templates/V6_04_workforce_personas.csv,enterprise-pack,8,FC-PER-007,synthetic-demo,70bddc83e1c7cf5a5aae059849110a0451caec3aaab7c73615797b1ac4058291,retained_from_active_source,none
first-capital-financial,Payments operations analyst,Payments operations analyst,,,,,,,High,datasets/tenant-inputs/active/first-capital-financial/current/03_workforce_roles.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/first-capital-financial/consolidated-20260714/enterprise-pack/templates/V6_04_workforce_personas.csv,enterprise-pack,9,FC-PER-008,synthetic-demo,70bddc83e1c7cf5a5aae059849110a0451caec3aaab7c73615797b1ac4058291,retained_from_active_source,none
first-capital-financial,Software engineer,Software engineer,,,,,,,High,datasets/tenant-inputs/active/first-capital-financial/current/03_workforce_roles.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/first-capital-financial/consolidated-20260714/enterprise-pack/templates/V6_04_workforce_personas.csv,enterprise-pack,10,FC-PER-009,synthetic-demo,70bddc83e1c7cf5a5aae059849110a0451caec3aaab7c73615797b1ac4058291,retained_from_active_source,none
first-capital-financial,Data engineer,Data engineer,,,,,,,High,datasets/tenant-inputs/active/first-capital-financial/current/03_workforce_roles.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/first-capital-financial/consolidated-20260714/enterprise-pack/templates/V6_04_workforce_personas.csv,enterprise-pack,11,FC-PER-010,synthetic-demo,70bddc83e1c7cf5a5aae059849110a0451caec3aaab7c73615797b1ac4058291,retained_from_active_source,none
