source_file,evidence_classes,canonical_objects_emitted,read_model_projection,ui_tabs,parser_requirement,quality_gate
contract_overview.csv,contract_term; scope; renewal,Contract; Vendor; Evidence,source.contract_360,Decision; Scope; Leverage; Evidence,"Extract contract overview, term dates, notice, auto-renew, owner role, source file, source record id.",contract_id must match existing register; overview must be contract-specific and must not contain boilerplate or internal metadata.
contract_pricing_schedule.csv,rate_card; contract_term; scope,ContractLineItem; RateCardLine; Evidence,source.contract_line_item_360 or contract scope projection,Scope; Economics; Leverage; Evidence,"Persist one row per SKU/service/rate/commitment line with quantity, unit, unit price, annual value and evidence source.",sum annual_value_usd must reconcile to contract annual value within approved tolerance or create a disagreement.
invoice_lines.csv,invoice; payment; rate_card,InvoiceLine; Payment; Exception,source.contract_invoice_reconciliation,Economics; Optimization; Evidence,Persist line-level AP history; compute duplicate/off-contract/rate variance only from source rows and active contract coverage.,"exception amount must be derived from billed rate, contract rate, quantity, PO and active coverage; never inferred from variance alone."
po_contract_match.csv,payment; contract_term,PurchaseOrderLine; ContractCoverage,source.contract_invoice_reconciliation,Economics; Optimization; Evidence,"Persist PO-line coverage, active contract match and coverage dates.","invoice lines without active matching PO/contract should become off-contract candidates, not confirmed leakage until reviewed."
usage_entitlement_monthly.csv,usage; cloud_consumption; workforce,UsageObservation; Entitlement; Evidence,source.contract_usage_entitlement,Decision; Scope; Economics; Optimization; Evidence,"Persist monthly SKU usage, entitled quantity, active quantity, utilization and monthly cost.",avoided cost requires usage gap plus reclaim/renewal decision; unused quantity alone is not realized value.
sla_incident_service_credit_monthly.csv,sla; service_credit,SlaObservation; IncidentMetric; ServiceCredit,source.contract_operational_performance,Performance; Optimization; Evidence,"Persist monthly SLA target, actual attainment, incident counts, credits earned, claimed and received as separate facts.",credits claimed cannot exceed credits earned; credits received cannot exceed credits claimed.
rate_card_variance.csv,rate_card; workforce,RateCardLine; RateVariance,source.contract_invoice_reconciliation,Economics; Leverage; Optimization; Evidence,"Persist role/location/rate bands, billed rate, contract rate, hours and amendment reference.",rate variance requires a contract rate and billed rate; missing amendment is a finding only after review.
renewal_negotiation_history.csv,renewal; benchmark; supplier_offer,RenewalEvent; NegotiationLever; Evidence,source.contract_optimization_readiness,Decision; Leverage; Optimization; Evidence,"Persist quotes, concessions, benchmark references, owners, dates and next actions.",negotiated improvement is planning-grade until a signed agreement exists.
finance_value_confirmation.csv,finance_value_confirmation; approved_agreement,ValueClaim; Evidence,tower.value_claim,Decision; Optimization; Evidence,"Persist finance-approved value claims with claim id, amount, basis, owner role and confirmation date.","realized value must be finance-confirmed; missing finance row renders pending, never zero."
contract_application_scope.csv,scope; contract_term,Application; BusinessFunction; ContractScopeRelationship,source.contract_application_scope,Scope; Decision; Evidence,Persist contract-to-application/function relationships and confidence method.,vendor-based inference must be visibly lower confidence than explicit contract or SOW scope.
