persona_id,persona_name,baseline_cycle_time_minutes,current_cycle_time_minutes,quality_metric,quality_before_pct,quality_after_pct,confidence
MER-PER-001,Primary care physician,45,36,audit_accuracy,82,84,medium
MER-PER-002,Care manager,53,41,first_pass_resolution,83,85,high
MER-PER-003,Utilization management nurse,61,46,first_pass_resolution,84,86,high
MER-PER-004,Claims examiner,69,51,audit_accuracy,85,87,high
MER-PER-005,Contact center agent,77,56,first_pass_resolution,86,88,medium
MER-PER-006,Provider quality analyst,85,61,first_pass_resolution,87,89,high
MER-PER-007,Revenue cycle coder,93,66,audit_accuracy,88,90,high
MER-PER-008,Actuary,101,71,first_pass_resolution,89,91,high
MER-PER-009,Financial analyst,109,76,first_pass_resolution,82,92,medium
MER-PER-010,Data engineer,117,81,audit_accuracy,83,93,high
MER-PER-011,Clinical informaticist,125,86,first_pass_resolution,84,84,high
MER-PER-012,Privacy analyst,133,91,first_pass_resolution,85,85,high
MER-PER-013,Cloud platform engineer,141,96,audit_accuracy,86,86,medium
MER-PER-014,Provider contracting manager,149,101,first_pass_resolution,87,87,high
