initiative_id,risk_id,risk_domain,severity,control_status,exception_or_gap,owner_role
MER-AI-001,MER-AI-001-RISK,privacy_security,critical,blocked,,Chief Data Officer
MER-AI-002,MER-AI-002-RISK,model_risk,medium,approved_with_conditions,,Chief Data Officer
MER-AI-003,MER-AI-003-RISK,clinical_or_operational_safety,medium,approved_with_conditions,,Chief Health Plan Officer
MER-AI-004,MER-AI-004-RISK,financial_control,high,review_required,,Chief Customer Experience Officer
MER-AI-005,MER-AI-005-RISK,privacy_security,medium,approved_with_conditions,,Chief Quality Officer
MER-AI-006,MER-AI-006-RISK,model_risk,critical,blocked,,CFO
MER-AI-007,MER-AI-007-RISK,clinical_or_operational_safety,high,review_required,,VP Payment Integrity
MER-AI-008,MER-AI-008-RISK,financial_control,medium,approved_with_conditions,,Controller
MER-AI-009,MER-AI-009-RISK,privacy_security,medium,approved_with_conditions,,Chief Medical Officer
MER-AI-010,MER-AI-010-RISK,model_risk,high,review_required,,VP Integration
MER-AI-011,MER-AI-011-RISK,clinical_or_operational_safety,critical,blocked,,Chief Network Officer
MER-AI-012,MER-AI-012-RISK,financial_control,medium,approved_with_conditions,,Chief Compliance Officer
MER-AI-013,MER-AI-013-RISK,privacy_security,high,review_required,,Chief Data Officer
MER-AI-014,MER-AI-014-RISK,model_risk,medium,approved_with_conditions,,Chief Data Officer
