artifact_id,title,artifact_type,program,business_function,vendor,status,date,owner,key_finding,risk_level,notes
sa:fcfi:001,Core Banking RFP — Temenos Response Summary,Vendor Proposal Summary,fcfi-core-2026,IT,Temenos,Evaluated,2026-03-15,person:fcfi:karen-nakamura,"Transact core + Infinity digital: $54M over 4 years; 18-month parallel run; 14 bank references including 2 US community banks >$3B; implementation partner PwC and Accenture",Medium,"Strongest track record; higher cost; Q2 2026 reference calls in progress"
sa:fcfi:002,Core Banking RFP — Finxact Response Summary,Vendor Proposal Summary,fcfi-core-2026,IT,Finxact,Evaluated,2026-03-15,person:fcfi:karen-nakamura,"Cloud-native composable core: $48M over 3.5 years; no parallel run (event-driven migration); 6 US bank references all <$2B; implementation partner Deloitte",High,"Lower cost; newer technology; reference banks smaller than FCF; implementation risk flagged by Laura Jensen (Board)"
sa:fcfi:003,Deloitte FiServ API Capability Assessment,Technical Assessment,fcfi-core-2026,IT,Deloitte,Completed,2026-01-10,person:fcfi:karen-nakamura,"FiServ Cleartouch does not expose REST/GraphQL APIs required for real-time account opening or open banking; SOAP APIs available with $8M custom middleware; middleware not recommended",High,"Primary technical justification for core replacement; basis for digital program dependency signal"
sa:fcfi:004,Digital Banking Transformation — CDO Architecture Blueprint,Architecture Document,fcfi-digital-2026,Retail Banking,Internal (Vincent Morales),Contested,2026-03-01,person:fcfi:vincent-morales,"Cloud-native composable architecture; Temenos Infinity + FDX APIs + modern React SPA; 18-month path to 78% digital adoption",Medium,"Conflicts with CIO blueprint; CEO arbitration pending"
sa:fcfi:005,Digital Banking Transformation — CIO Architecture Blueprint,Architecture Document,fcfi-digital-2026,IT,Internal (Karen Nakamura),Contested,2026-03-14,person:fcfi:karen-nakamura,"Jack Henry Banno integrated stack; lower implementation risk; 24-month path to 78% digital adoption; supports legacy core continuity",Medium,"Conflicts with CDO blueprint; CEO arbitration pending; Laura Jensen review offered"
sa:fcfi:006,AML/KYC Remediation — Exiger Diagnostic Report,Regulatory Assessment,fcfi-aml-2026,Compliance,Exiger,Completed,2026-02-15,person:fcfi:patricia-holbrook,"CDD program gap analysis: 26% of commercial accounts have incomplete beneficial ownership documentation; 14% missing expected transaction volumes; transaction monitoring 112 rules — 38% generating zero alerts (dead rules)",High,"Primary input to OCC remediation plan; Exiger now leading implementation"
sa:fcfi:007,NICE Actimize Transaction Monitoring Tuning Proposal,Vendor Proposal,fcfi-aml-2026,Compliance,NICE Actimize,Accepted,2026-03-28,person:fcfi:patricia-holbrook,"Scenario tuning + ML model overlay: $680K engagement; false-positive rate target ≤20%; 90-day delivery; model validation included",Medium,"Accepted; work began April 2026; model validation by EY concurrent"
sa:fcfi:008,Wealth Platform Consolidation — Consultant Assessment,Consulting Report,fcfi-wealth-2026,Wealth Management,External consultant (RIA consulting firm),Completed,2026-02-28,person:fcfi:diana-stern,"3-platform stack has 18 manual data handoffs daily; client portal powered by Orion but data fed from Advent Geneva via overnight batch; realistic consolidation cost $12-15M vs. $7.8M budget; Envestnet and SS&C Advent as top options",High,"Budget misalignment with CFO is primary current blocker"
sa:fcfi:009,Envestnet Wealth Platform — Preliminary Proposal,Vendor Proposal Summary,fcfi-wealth-2026,Wealth Management,Envestnet,Preliminary,2026-04-01,person:fcfi:diana-stern,"Unified platform: portfolio management + client portal + financial planning + trading; $8.2M over 3 years; 6 bank affiliates as references; migration support included",Medium,"Preliminary only; formal RFP not yet issued; pending budget alignment"
sa:fcfi:010,Data Governance — Informatica Discovery Scan Results,Technical Assessment,fcfi-data-gov-2026,Finance,Informatica,Completed,2026-03-01,person:fcfi:karen-nakamura,"6 data warehouses identified; 1,840 tables; 23,400 columns; estimated 42% duplication of customer records across systems; no enterprise data dictionary; 4 critical data quality issues in customer identity domain",High,"Primary input to data governance architecture; Informatica MDM the proposed solution"
sa:fcfi:011,Databricks Analytics Platform POC Results,Technical Assessment,fcfi-data-gov-2026,Finance,Databricks,Completed,2026-02-28,person:fcfi:karen-nakamura,"POC on anonymized credit data: CECL model retrain time reduced 68%; HMDA report generation automated in 4 hours vs 3 FTE-days; data lineage tracked; Unity Catalog governance viable",Low,"POC successful; production deployment awaiting data governance architecture decision"
sa:fcfi:012,OCC November 2025 Exam — BSA/AML Finding Details,Regulatory Document,fcfi-aml-2026,Compliance,OCC,Completed,2025-12-01,person:fcfi:patricia-holbrook,"Finding 1 (MRAC): CDD program completeness 68% — FinCEN CDD Rule deficiency; Finding 2 (MRA): Transaction monitoring model overdue for validation per SR 11-7; Finding 3 (MRA): Independent loan review coverage at 88% vs 100% requirement",High,"All 3 findings with specific OCC commitment language; remediation milestones tracked quarterly with OCC"
sa:fcfi:013,Credit Quality Deep Dive — Office CRE Analysis,Internal Credit Analysis,fcfi-data-gov-2026,Risk Management,Internal (CRO office),Completed,2026-02-14,person:fcfi:marcus-osei,"3 office CRE credits on watch: one $18M Richmond office park (vacancy 62%); one $14M Charlotte office (anchor tenant departing Q3 2026); one $10M Richmond Class B ($8M specific reserve). Total exposure $42M; adequately reserved.",Medium,"Presented to Board Risk Committee February 2026; stress scenario tested; no capital impact under base case"
sa:fcfi:014,Vendor Security Assessment — FiServ Cleartouch,Third-Party Risk Assessment,fcfi-core-2026,IT,FiServ,Overdue,2024-06-01,person:fcfi:karen-nakamura,"Last assessment 2024; OCC cited vendor monitoring as substandard in November exam; FiServ SOC 2 Type II received but business continuity test documentation not obtained",High,"OCC MRA requires enhanced critical vendor monitoring; quarterly reviews now required"
sa:fcfi:015,Branch Optimization Study — FY2026,Business Case,fcfi-digital-2026,Retail Banking,Internal (CBO office),Completed,2026-01-31,person:fcfi:robert-landon,"6 branch closures recommended: 4 lowest-traffic branches + 2 in markets with >85% digital adoption; NPV $2.8M; affected markets include 3 with lowest digital adoption rate — creates conflict with digital program assumptions",Medium,"Conflict with digital adoption targets documented as cross-program signal; CEO has not yet decided"
