control_id,risk_domain,control_name,owner_role,status,evidence_id,notes,source_file,source_row,value_source
SHA-CTRL-001,FAA safety,Evidence control 1,Chief Safety Officer,gap,EVID-SHA-0001,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,2,tenant_file
SHA-CTRL-002,DOT consumer,Approval control 2,Chief Legal Officer,effective,EVID-SHA-0002,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,3,tenant_file
SHA-CTRL-003,TSA security,Monitoring control 3,CISO,effective,EVID-SHA-0003,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,4,tenant_file
SHA-CTRL-004,PCI,Exception control 4,CDAO,effective,EVID-SHA-0004,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,5,tenant_file
SHA-CTRL-005,privacy,Audit control 5,Controller,effective,EVID-SHA-0005,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,6,tenant_file
SHA-CTRL-006,SOX,Lineage control 6,AI Governance Lead,review_required,EVID-SHA-0006,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,7,tenant_file
SHA-CTRL-007,AI governance,Evidence control 7,Chief Safety Officer,effective,EVID-SHA-0007,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,8,tenant_file
SHA-CTRL-008,cyber resilience,Approval control 8,Chief Legal Officer,gap,EVID-SHA-0008,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,9,tenant_file
SHA-CTRL-009,third-party,Monitoring control 9,CISO,effective,EVID-SHA-0001,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,10,tenant_file
SHA-CTRL-010,FAA safety,Exception control 10,CDAO,effective,EVID-SHA-0002,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,11,tenant_file
SHA-CTRL-011,DOT consumer,Audit control 11,Controller,review_required,EVID-SHA-0003,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,12,tenant_file
SHA-CTRL-012,TSA security,Lineage control 12,AI Governance Lead,effective,EVID-SHA-0004,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,13,tenant_file
SHA-CTRL-013,PCI,Evidence control 13,Chief Safety Officer,effective,EVID-SHA-0005,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,14,tenant_file
SHA-CTRL-014,privacy,Approval control 14,Chief Legal Officer,effective,EVID-SHA-0006,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,15,tenant_file
SHA-CTRL-015,SOX,Monitoring control 15,CISO,gap,EVID-SHA-0007,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,16,tenant_file
SHA-CTRL-016,AI governance,Exception control 16,CDAO,review_required,EVID-SHA-0008,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,17,tenant_file
SHA-CTRL-017,cyber resilience,Audit control 17,Controller,effective,EVID-SHA-0001,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,18,tenant_file
SHA-CTRL-018,third-party,Lineage control 18,AI Governance Lead,effective,EVID-SHA-0002,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,19,tenant_file
SHA-CTRL-019,FAA safety,Evidence control 19,Chief Safety Officer,effective,EVID-SHA-0003,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,20,tenant_file
SHA-CTRL-020,DOT consumer,Approval control 20,Chief Legal Officer,effective,EVID-SHA-0004,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,21,tenant_file
SHA-CTRL-021,TSA security,Monitoring control 21,CISO,review_required,EVID-SHA-0005,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,22,tenant_file
SHA-CTRL-022,PCI,Exception control 22,CDAO,gap,EVID-SHA-0006,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,23,tenant_file
SHA-CTRL-023,privacy,Audit control 23,Controller,effective,EVID-SHA-0007,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,24,tenant_file
SHA-CTRL-024,SOX,Lineage control 24,AI Governance Lead,effective,EVID-SHA-0008,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,25,tenant_file
SHA-CTRL-025,AI governance,Evidence control 25,Chief Safety Officer,effective,EVID-SHA-0001,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,26,tenant_file
SHA-CTRL-026,cyber resilience,Approval control 26,Chief Legal Officer,review_required,EVID-SHA-0002,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,27,tenant_file
SHA-CTRL-027,third-party,Monitoring control 27,CISO,effective,EVID-SHA-0003,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,28,tenant_file
SHA-CTRL-028,FAA safety,Exception control 28,CDAO,effective,EVID-SHA-0004,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,29,tenant_file
SHA-CTRL-029,DOT consumer,Audit control 29,Controller,gap,EVID-SHA-0005,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,30,tenant_file
SHA-CTRL-030,TSA security,Lineage control 30,AI Governance Lead,effective,EVID-SHA-0006,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,31,tenant_file
SHA-CTRL-031,PCI,Evidence control 31,Chief Safety Officer,review_required,EVID-SHA-0007,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,32,tenant_file
SHA-CTRL-032,privacy,Approval control 32,Chief Legal Officer,effective,EVID-SHA-0008,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,33,tenant_file
SHA-CTRL-033,SOX,Monitoring control 33,CISO,effective,EVID-SHA-0001,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,34,tenant_file
SHA-CTRL-034,AI governance,Exception control 34,CDAO,effective,EVID-SHA-0002,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,35,tenant_file
SHA-CTRL-035,cyber resilience,Audit control 35,Controller,effective,EVID-SHA-0003,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,36,tenant_file
SHA-CTRL-036,third-party,Lineage control 36,AI Governance Lead,gap,EVID-SHA-0004,"Control record for AI, data, safety, privacy, and regulated airline operations",family-6-governance-ai-evidence/F16_security-risk-compliance.csv,37,tenant_file
