kpi_id,kpi_name,owner_role,initiative_id,baseline_value,current_value,target_value,unit,measurement_date,confidence,notes
FCF-KPI-001,Fraud Loss Avoidance,Chief Risk Officer,FCF-INIT-004,47000000,52600000,75000000,usd_annual,2026-05,high,Databricks fraud graph — verified by fraud operations; $28.6M run-rate improvement vs baseline.
FCF-KPI-002,AML False Positive Rate,Chief Risk Officer,FCF-INIT-002,89,81,65,pct,2026-05,medium,AML triage AI pilot; SR 11-7 validation pending; 8% improvement but target 65% requires scale.
FCF-KPI-003,Digital Account Open Abandonment,Chief Digital Officer,FCF-INIT-005,64,58,28,pct,2026-05,medium,Account opening abandonment; peer median 42%; top quartile 28%; KYC friction is primary driver.
FCF-KPI-004,Commercial Credit Cycle Time,EVP Commercial Banking,FCF-INIT-006,23,21,14,days,2026-05,low,Commercial credit underwriting cycle; pilot with 8 analysts shows 2-day reduction.
FCF-KPI-005,Instant Payment Adoption,SVP Payments Technology,FCF-INIT-001,0,2,35,pct_volume,2026-05,low,FedNow/RTP as share of total payment volume; currently 2%; target 35% within 18 months.
FCF-KPI-006,Developer Code Completion Velocity,CIO,FCF-INIT-010,100,128,160,index_baseline,2026-05,high,"GitHub Copilot: 28% code-completion time reduction on 1,200-seat rollout."
FCF-KPI-007,Mortgage Underwriting Cycle Time,SVP Consumer Lending CIO,FCF-INIT-011,18,14,10,days,2026-05,medium,Document intelligence reducing 4 days; full extraction-to-decision target 10 days.
FCF-KPI-008,Mobile App Store Rating,Chief Digital Officer,,3.1,3.2,4.3,stars_5,2026-05,low,Mobile rating below peer median 4.2; authentication and onboarding friction primary drivers.
FCF-KPI-009,IT Efficiency Ratio Contribution,CFO,,9.2,9.2,7.2,pct_revenue,2026-05,low,IT spend as % revenue; peer median 7.1%; legacy run cost and remediation are drivers.
FCF-KPI-010,AML Model Review Cycle Time,Chief Model Risk Officer,FCF-INIT-012,18,14,6,days,2026-05,medium,Evidence automation cuts model risk review from 18 to 6 days target.
FCF-KPI-011,Contact Center Average Handle Time,SVP Client Service,FCF-INIT-008,8.2,8.1,6.5,minutes,2026-05,low,Sentiment AI pilot failed to reduce AHT; initiative flagged for kill.
FCF-KPI-012,Branch Teller Transaction Time,SVP Retail Bank Ops,FCF-INIT-007,4.8,4.9,3.8,minutes,2026-05,low,Vision AI pilot shows no improvement; initiative flagged for kill.
