component_type,component_name,classification,rationale,allowed_action,blocked_action,proof_required,status
parser,shared source parsers,REPAIR_IN_PLACE,Parser defects are mutable implementation defects,Fix code and prove no governed history is rewritten,Silently rewrite source releases or review decisions,parser regression plus row/field lineage proof,IN_PROGRESS
mapping,source-to-target mappings,REPAIR_IN_PLACE,Mapping defects are mutable implementation defects,Fix mappings and rerun affected gates,Mutate historical accepted facts without supersession,field disposition and candidate accounting proof,IN_PROGRESS
lineage,row and field lineage logic,EXTEND_COMPATIBLY,V1 needs stronger lineage exports for V2 controls,Add compatible lineage tables/exports and tests,Overwrite historical proof artifacts,forward/backward trace proof,IN_PROGRESS
schema,existing aligned V1 tables,REUSE_AS_IS,Do not duplicate when grain keys authority lineage and lifecycle already satisfy V2,Reference from V2 contracts and tests,Create duplicate V2 table for naming only,contract classification review,IN_PROGRESS
schema,missing semantic concepts,SUPERSEDE_WITH_V2,V1 lacks executive perspectives targets scenarios insights opportunity/use-case semantics,Add V2 structures in isolated namespace,Coerce missing concept into generic JSON blob,DDL and gate tests,IN_PROGRESS
governed_record,source releases and hashes,PRESERVE_AS_IMMUTABLE_HISTORY,Frozen V1 proof depends on exact hashes,Read as historical input only,Overwrite or recompute in place,checkpoint hash proof,PASS
governed_record,review decision ledgers,PRESERVE_AS_IMMUTABLE_HISTORY,Accepted/deferred/rejected history must remain explainable,Create correction candidates and new review batches only after approval,Replay live decisions silently,review accounting proof,HUMAN_ONLY
governed_record,immutable publications,PRESERVE_AS_IMMUTABLE_HISTORY,Publication identity is audit evidence,Create superseding publication after approval,Modify publication members in place,publication hash proof,HUMAN_ONLY
governed_record,active baseline membership,PRESERVE_AS_IMMUTABLE_HISTORY,Current active baseline is tied to frozen V1 status,Activate replacement baseline only after proof and approval,Change current active baseline during golden slice,baseline reproducibility proof,HUMAN_ONLY
provider,live product provider,RETIRE_AFTER_CUTOVER,Provider replacement happens only after V2 proof and rollback plan,Preview/test binding only for isolated slice,Production provider cutover,product/aVa proof plus human approval,HUMAN_ONLY
