object_type,object_name,classification,decision_basis,implementation_action,history_treatment,owner,phase_gate,executable_test,proof_requirement,status
schema,foundation_v2,SUPERSEDE_WITH_V2,V1 lacks isolated golden-slice proof namespace,Create V2-only schema for isolated proof,No V1 history touched,Foundation V2 Codex,Phase 2 schema gate,npm run test:foundation-v2-migration,migration safety proof,IN_PROGRESS
table,foundation_v2.source_releases,SUPERSEDE_WITH_V2,V2 requires isolated release identity and immutable hash proof,Create V2-only source release table,V1 source releases preserved as immutable history,Foundation V2 Codex,L0 release gate,npm run test:foundation-v2-migration,composite FK and hash proof,IN_PROGRESS
table,foundation_v2.source_files,SUPERSEDE_WITH_V2,V2 requires file authority with tenant/test namespace,Create V2-only source file table,V1 file manifests preserved,Foundation V2 Codex,L0-to-L1 landing gate,npm run test:foundation-v2-golden-slice,source file reconciliation proof,IN_PROGRESS
table,foundation_v2.source_records,SUPERSEDE_WITH_V2,V2 requires row disposition ledger,Create V2-only source record table,V1 rows preserved,Foundation V2 Codex,L1 row lineage gate,npm run test:foundation-v2-golden-slice,source-row variance proof,IN_PROGRESS
table,foundation_v2.source_field_values,SUPERSEDE_WITH_V2,V2 requires field disposition ledger,Create V2-only source field table,V1 field evidence preserved,Foundation V2 Codex,L2 field lineage gate,npm run test:foundation-v2-golden-slice,source-field variance proof,IN_PROGRESS
table,foundation_v2.parser_executions,EXTEND_COMPATIBLY,V1 parser code may be repaired but V2 needs isolated run accounting,Create V2 run ledger while reusing safe parser code,Parser code mutable; V1 records immutable,Foundation V2 Codex,L1-to-L2 parser gate,npm run test:foundation-v2-golden-slice,parser execution proof,IN_PROGRESS
table,foundation_v2.normalized_objects,SUPERSEDE_WITH_V2,V2 requires explicit normalized object identity,Create V2 normalized object table,V1 canonical records preserved,Foundation V2 Codex,L2-to-L3 normalization gate,npm run test:foundation-v2-golden-slice,identity resolution proof,IN_PROGRESS
table,foundation_v2.knowledge_candidates,SUPERSEDE_WITH_V2,V2 requires isolated candidate accounting,Create V2 candidate table,V1 candidates/reviews preserved,Foundation V2 Codex,L3-to-L4 candidate gate,npm run test:foundation-v2-golden-slice,candidate accounting proof,IN_PROGRESS
table,foundation_v2.review_batches,SUPERSEDE_WITH_V2,V2 isolated reviews must not replay live decisions,Create V2 review batch table,V1 review batches preserved,Foundation V2 Codex,L4-to-L5 review batch gate,npm run test:foundation-v2-golden-slice,review batch proof,IN_PROGRESS
table,foundation_v2.review_decisions,SUPERSEDE_WITH_V2,V2 isolated decisions must not mutate V1 ledgers,Create V2 review decision table,V1 accepted/deferred/rejected ledgers preserved,Foundation V2 Codex,L4-to-L5 review decision gate,npm run test:foundation-v2-golden-slice,review accounting proof,IN_PROGRESS
table,foundation_v2.canonical_objects,SUPERSEDE_WITH_V2,V2 needs supersession-aware isolated canonical proof,Create V2 canonical object table,V1 accepted canonical facts preserved until governed supersession,Foundation V2 Codex,L5-to-L6 canonical gate,npm run test:foundation-v2-golden-slice,accepted-only promotion proof,IN_PROGRESS
table,foundation_v2.domain_publications,SUPERSEDE_WITH_V2,V2 needs isolated immutable publication proof,Create V2 publication table,V1 publications preserved,Foundation V2 Codex,L6-to-L7 publication gate,npm run test:foundation-v2-golden-slice,publication hash proof,IN_PROGRESS
table,foundation_v2.publication_members,SUPERSEDE_WITH_V2,V2 needs member-level publication proof,Create V2 publication member table,V1 publication members preserved,Foundation V2 Codex,L6-to-L7 publication member gate,npm run test:foundation-v2-golden-slice,publication membership proof,IN_PROGRESS
table,foundation_v2.baselines,SUPERSEDE_WITH_V2,V2 needs isolated baseline reproducibility proof,Create V2 test baseline table,V1 active baseline preserved,Foundation V2 Codex,L7-to-L8 baseline gate,npm run test:foundation-v2-golden-slice,baseline reproducibility proof,IN_PROGRESS
table,foundation_v2.baseline_object_memberships,SUPERSEDE_WITH_V2,V2 needs object-level baseline membership,Create V2 baseline membership table,V1 baseline membership preserved,Foundation V2 Codex,L7-to-L8 baseline membership gate,npm run test:foundation-v2-golden-slice,baseline membership proof,IN_PROGRESS
table,foundation_v2.projection_authority,EXTEND_COMPATIBLY,V1 projection code may be repaired but V2 needs isolated authority,Create V2 projection authority table,V1 projection hashes preserved,Foundation V2 Codex,L8-to-L9 projection authority gate,npm run test:foundation-v2-golden-slice,projection authority proof,IN_PROGRESS
table,foundation_v2.projection_rows,SUPERSEDE_WITH_V2,V2 needs isolated preview/test projection rows,Create V2 projection rows,V1 projections preserved,Foundation V2 Codex,L8-to-L9 projection row gate,npm run test:foundation-v2-golden-slice,projection reconciliation proof,IN_PROGRESS
table,foundation_v2.projection_field_lineage,SUPERSEDE_WITH_V2,V1 field lineage is insufficient for V2,Create V2 field-lineage table,V1 proof artifacts preserved,Foundation V2 Codex,L9 lineage export gate,npm run test:foundation-v2-golden-slice,forward/backward trace proof,IN_PROGRESS
table,foundation_v2.cube_parity_results,EXTEND_COMPATIBLY,V1 Cube definitions can be repaired when mutable; V2 needs isolated parity records,Create V2 parity table,V1 Cube outputs preserved until cutover,Foundation V2 Codex,L9-to-L10 Cube parity gate,npm run test:foundation-v2-golden-slice,direct SQL/Cube parity proof,IN_PROGRESS
table,foundation_v2.product_binding_proofs,SUPERSEDE_WITH_V2,V2 needs preview render gate evidence with zero unsupported passed claims,Create V2 preview binding proof table,Production provider unchanged,Foundation V2 Codex,L10-to-L11 product render gate,npm run test:foundation-v2-migration; npm run test:foundation-v2-golden-slice,preview render proof,IN_PROGRESS
