review_id,review_area,reviewer,scope,requested_at,decision,blocking_findings,nonblocking_observations,repairs_required,proof,next_action,status
F2-GPT-001,Enterprise Data Architecture,pending,Phase 1B golden-slice physical contracts,2026-07-30,pending,pending,pending,pending,pending,await reviewer,PENDING
F2-GPT-002,PostgreSQL Schema and Migration Safety,pending,V2-only migration and rollback,2026-07-30,pending,pending,pending,pending,pending,await reviewer,PENDING
F2-GPT-003,Lineage,pending,row and field lineage implementation,pending,pending,pending,pending,pending,pending,request after harness draft,PENDING
F2-GPT-004,Enterprise Data Architecture,Anscombe,Phase 1B golden-slice physical contracts,2026-07-30,REPAIR_REQUIRED,tenant/test FK integrity; object-level inventory; non-empty identities,scope boundary positive,composite FKs object inventory non-empty constraints,subagent notification,repair and submit fresh review,COMPLETE
F2-GPT-005,PostgreSQL Schema and Migration Safety,Fermat,V2-only migration and rollback,2026-07-30,REPAIR_REQUIRED,tenant/test FK integrity,test static check did not catch FK defect,composite FKs test-namespace RLS remove pgcrypto,npm run test:foundation-v2-migration,repair and submit fresh review,COMPLETE
F2-GPT-006,Enterprise Data Architecture,Carson,Post-repair B1-B5 and V1 replacement policy review,2026-07-30,REPAIR_REQUIRED,B1 implementation mapping incomplete; gate harness scaffold; L11 unsupported claim guard missing,V1 clarification and human-only gates positive,gate-ready inventory executable failure injections product render guard,subagent notification,repair and submit fresh review,COMPLETE
F2-GPT-007,PostgreSQL Schema and Migration Safety,Kierkegaard,Post-repair V2-only migration safety review,2026-07-30,REPAIR_REQUIRED,empty required text identities; broad internal-admin RLS bypass; static test gap,FK graph cleared and V2-only scope positive,required text nonempty exact-match RLS static test hardening,subagent notification,repair and submit fresh review,COMPLETE
F2-GPT-008,Enterprise Data Architecture,Ramanujan,Second post-repair B1-B5 control and executable gate review,2026-07-30,APPROVED_WITH_NONBLOCKING_OBSERVATIONS,none,static migration validation not live apply; ESLint dependency state,none,subagent notification,proceed after Postgres safety approval,COMPLETE
F2-GPT-009,PostgreSQL Schema and Migration Safety,Confucius,Second post-repair migration safety review,2026-07-30,REPAIR_REQUIRED,PLpgSQL table_name ambiguity; no executable DDL apply test,FK/RLS/nonempty/product guard design otherwise in scope,rename PLpgSQL variables and add temporary PostgreSQL apply test,subagent notification,repair and submit fresh Postgres review,COMPLETE
F2-GPT-010,PostgreSQL Schema and Migration Safety,Wegener,Third post-repair migration apply and catalog review,2026-07-30,APPROVED_WITH_NONBLOCKING_OBSERVATIONS,none,apply test does not execute negative insert/select cases for every CHECK/RLS policy; cleanup could assert temp path absence,none,subagent notification,prepare scoped PR,COMPLETE
