defect_id,phase,layer,severity,status,description,root_cause,affected_files,repair,rerun_scope,owner,reviewer,proof,next_action
F2-DEF-001,1A,package-hardening,P1,CLOSED,Package amendment script was path-fragile if rerun from package scripts directory,script assumed one proof-bundle directory layout instead of explicit args,scripts/foundation-v2/*,implemented dependency-free explicit-argument validator and cwd tests,package validation tests from repo root script dir and external temp dir,Codex,pending,foundation-v2-approved-package-validation.json,continue to physical contracts
F2-DEF-002,1B,physical-contracts,P1,CLOSED,Generated column contracts contain boilerplate language for some golden-slice implementation targets,generator produced broad semantic defaults instead of concrete DDL-grade constraints,architecture package contracts and future migration,sharpened concrete golden-slice DDL executable validation tests and gate-ready object inventory,contract validation tests plus migration dry-run,Codex,Enterprise Data Architect,npm run test:foundation-v2-migration|npm run test:foundation-v2-golden-slice,await fresh review
F2-DEF-004,1B/2,tenant-test-isolation,P0,CLOSED,Initial migration allowed child rows to point at parent rows from another tenant or test namespace,single-column opaque ID FKs did not include tenant_key and test_namespace,supabase/migrations/20260730120000_foundation_v2_golden_slice_core.sql,added composite unique keys and composite FKs including tenant_key and test_namespace,npm run test:foundation-v2-migration,Codex,PostgreSQL Schema and Migration Safety,npm run test:foundation-v2-migration,await fresh review
F2-DEF-005,1B,identity-nonempty,P1,CLOSED,Initial DDL allowed empty tenant_key test_namespace and writer_job_id,text NOT NULL allowed empty strings,supabase/migrations/20260730120000_foundation_v2_golden_slice_core.sql,added required_identity_nonempty constraints to all tables,npm run test:foundation-v2-migration,Codex,Enterprise Data Architect,npm run test:foundation-v2-migration,await fresh review
F2-DEF-006,control,object-classification,P0,CLOSED,V1 reuse repair replacement classification was too broad for implementation gating,component-level classification did not inventory object-level table/parser/projection/provider decisions,FOUNDATION_V2_V1_OBJECT_INVENTORY.csv,added object-level inventory and proof index reference,architecture review,Codex,Enterprise Data Architect,FOUNDATION_V2_V1_OBJECT_INVENTORY.csv,await fresh review
F2-DEF-003,verification,lint,P2,OPEN,ESLint could not start in the clean implementation worktree,local node_modules does not contain eslint even though config imports it,scripts/foundation-v2/*,install dependencies or run lint in an environment with repo dependencies,lint rerun,Codex,not_assigned,eslint command output,continue purpose-built tests while tracking blocker
F2-DEF-007,2,identity-nonempty,P0,CLOSED,Required text identity fields could still be empty because primary keys and required text parent keys allow empty strings,initial non-empty repair covered tenant_key test_namespace and writer_job_id only,supabase/migrations/20260730120000_foundation_v2_golden_slice_core.sql,generated non-empty constraints for every NOT NULL text column on each Foundation V2 table,npm run test:foundation-v2-migration|npm run test:foundation-v2-migration:apply,Codex,PostgreSQL Schema and Migration Safety,npm run test:foundation-v2-migration:apply,await fresh review
F2-DEF-008,2,rls-admin-bypass,P0,CLOSED,RLS policy allowed broad cross-tenant reads when mutable settings equaled internal-admin,policy encoded a wildcard admin bypass without binding to a database role or immutable authorization claim,supabase/migrations/20260730120000_foundation_v2_golden_slice_core.sql,removed wildcard admin bypass and required exact tenant/client plus exact test namespace settings,npm run test:foundation-v2-migration,Codex,PostgreSQL Schema and Migration Safety,npm run test:foundation-v2-migration,await fresh review
F2-DEF-009,3,golden-slice-harness,P0,CLOSED,Golden-slice gate harness was a scaffold that hardcoded passed gates and did not execute failure injections,runner summarized counts without validating injected defects,scripts/foundation-v2/run-golden-slice-gates.mjs|scripts/foundation-v2/__tests__/run-golden-slice-gate-tests.mjs,added fixture validation transition variance checks and executable mutations for all 17 named failure injections,npm run test:foundation-v2-golden-slice,Codex,Enterprise Data Architect,golden-slice-gate-proof.json,await fresh review
F2-DEF-010,L11,product-render-proof,P0,CLOSED,Product render proof could pass with unsupported claims,DDL allowed unsupported_claim_count greater than zero for render_gate_status passed,supabase/migrations/20260730120000_foundation_v2_golden_slice_core.sql,added render passed implies zero unsupported claims check and migration test assertion,npm run test:foundation-v2-migration,Codex,Enterprise Data Architect,npm run test:foundation-v2-migration,await fresh review
F2-DEF-011,2,migration-apply,P0,CLOSED,Migration did not apply cleanly in PostgreSQL because a PL/pgSQL variable name collided with information_schema.columns.table_name,static text validation did not execute DDL,supabase/migrations/20260730120000_foundation_v2_golden_slice_core.sql|scripts/foundation-v2/__tests__/run-golden-slice-migration-apply-tests.mjs,renamed PL/pgSQL variables and added temporary local PostgreSQL apply/catalog inspection test,npm run test:foundation-v2-migration:apply,Codex,PostgreSQL Schema and Migration Safety,npm run test:foundation-v2-migration:apply,await fresh review
