app_id,name,vendor,category,it_owner_team,business_function,deployment,lifecycle_stage,criticality,run_cost_fy25_usd,primary_dataclass,integration_count,ai_eligibility_score
FCF-APP-FIS-HORIZON,FIS Horizon Core Deposits,FIS,core banking,TEAM-FCF-CORE,FCF-BF-RETAIL,mainframe,maintain,critical,18500000,pci_pii_confidential,142,0.22
FCF-APP-HOGAN-LOANS,Hogan Commercial Loan Servicing,DXC/FIS,commercial lending,TEAM-FCF-COMMLEND,FCF-BF-COMMBK,mainframe,migrate,critical,12400000,confidential,96,0.18
FCF-APP-FEDWIRE-ACH,ACH and Wire Payments Hub,ACI Worldwide,payments,TEAM-FCF-PAYMENTS,FCF-BF-OPS,hybrid,invest,critical,9200000,pci_confidential,118,0.45
FCF-APP-FEDNOW-RTP,FedNow and RTP Gateway,The Clearing House,payments,TEAM-FCF-PAYMENTS,FCF-BF-OPS,cloud,invest,critical,6400000,pci_confidential,62,0.68
FCF-APP-SALESFORCE-FSC,Salesforce Financial Services Cloud,Salesforce,crm,TEAM-FCF-DIGITAL,FCF-BF-RETAIL,saas,invest,critical,7200000,pii_confidential,80,0.71
FCF-APP-NCINO,nCino Commercial Loan Origination,nCino,commercial lending,TEAM-FCF-COMMLEND,FCF-BF-COMMBK,saas,invest,critical,8700000,confidential,75,0.63
FCF-APP-NICE-ACTIMIZE,NICE Actimize AML and Fraud,NICE,financial crimes,TEAM-FCF-RISK,FCF-BF-RISK,hybrid,invest,critical,11200000,restricted,104,0.56
FCF-APP-FENERGO-KYC,Fenergo Client Lifecycle Mgmt,Fenergo,kyc,TEAM-FCF-RISK,FCF-BF-RISK,saas,restructure,critical,6600000,restricted,61,0.58
FCF-APP-MUREX-TREASURY,Murex Treasury and Liquidity,Murex,treasury,TEAM-FCF-PAYMENTS,FCF-BF-TREASURY,on_prem,maintain,critical,8100000,confidential,72,0.34
FCF-APP-SAP-ECC,SAP ECC Finance and Procurement,SAP,erp finance,TEAM-FCF-ERP,FCF-BF-FINANCE,on_prem,migrate,critical,10300000,confidential,88,0.31
FCF-APP-WORKDAY-HCM,Workday HCM and Payroll,Workday,hr,TEAM-FCF-ERP,FCF-BF-HR,saas,maintain,high,5100000,pii_confidential,43,0.49
FCF-APP-SNOWFLAKE,Snowflake Financial Data Cloud,Snowflake,data platform,TEAM-FCF-DATA,FCF-BF-TECH,cloud,invest,critical,7400000,confidential,117,0.78
FCF-APP-DATABRICKS,Databricks AI and Feature Platform,Databricks,ai platform,TEAM-FCF-DATA,FCF-BF-TECH,cloud,invest,high,5900000,restricted,66,0.82
FCF-APP-MOBILE-BANKING,Mobile Banking App,Internal,digital banking,TEAM-FCF-DIGITAL,FCF-BF-DIGITAL,cloud,invest,critical,9300000,pii_confidential,91,0.76
FCF-APP-ONLINE-ACCT-OPEN,Digital Account Opening,Blend/Internal,digital banking,TEAM-FCF-DIGITAL,FCF-BF-DIGITAL,hybrid,restructure,critical,4300000,pii_confidential,70,0.7
FCF-APP-PEGA-CASE,Pega Operations Case Management,Pega,operations,TEAM-FCF-OPS,FCF-BF-OPS,hybrid,maintain,high,4700000,confidential,53,0.52
FCF-APP-SERVICENOW,ServiceNow ITSM and GRC,ServiceNow,itsm grc,TEAM-FCF-ITSM,FCF-BF-TECH,saas,invest,high,6800000,confidential,74,0.64
FCF-APP-SPLUNK,Splunk Enterprise Security,Splunk,security,TEAM-FCF-CYBER,FCF-BF-TECH,hybrid,maintain,critical,6100000,restricted,69,0.44
FCF-APP-CROWDSTRIKE,CrowdStrike Falcon,CrowdStrike,security,TEAM-FCF-CYBER,FCF-BF-TECH,saas,maintain,critical,3900000,restricted,42,0.54
FCF-APP-BROADRIDGE,Broadridge Wealth Operations,Broadridge,wealth,TEAM-FCF-WEALTH,FCF-BF-WEALTH,saas,maintain,critical,5600000,confidential,38,0.41
