vendor,service,annual_usd,renewal_date,scope
Wipro,AMS,32000000,2027-03-31,Distributed legacy SAP Sterling WMS AMS and renegotiation leverage window
AWS,Cloud platform,18400000,2027-09-30,Primary commerce and service runtime
Kyndryl,AMS mainframe AS400,14000000,2028-03-31,Mainframe and AS/400 AMS
Cisco,SD-WAN network,3200000,2027-01-31,Store network edge
Verizon,WAN connectivity,2600000,2027-06-30,480 store WAN and failover
Splunk,SIEM MSSP,2400000,2027-07-31,Security log management
Equinix,Datacenter colocation,1800000,2027-10-31,Primary DR colocation
DataDog,Observability,1600000,2027-04-30,Observability expansion
CrowdStrike,Endpoint MDR,1200000,2026-06-30,Endpoint and MDR
Pythian,Oracle DBA managed,720000,2027-01-31,Oracle DBA managed service
Commvault,Backup,480000,2027-10-31,Backup and recovery
Microsoft Premier,Support,360000,2027-07-31,Premier support
