vendor,type,annual_usd,renewal_date,notes
Wipro,AMS,32000000,2027-03-31,Distributed legacy SAP Sterling WMS AMS and renegotiation leverage window
SAP,License + extended maintenance,22000000,2030-12-31,ECC 6.0 extended maintenance support runway
AWS,Cloud platform,18400000,2027-09-30,Primary commerce and service runtime
Workday,SaaS,18400000,2027-06-30,HCM platform year 3 of 5
Salesforce,Commerce + Data Cloud,14800000,2027-12-31,Commerce Cloud and Data Cloud migration anchor
Kyndryl,AMS mainframe AS400,14000000,2028-03-31,Mainframe and AS/400 AMS
TCS,SI ERP decision scoping,14000000,2027-06-30,ERP Future Decision scoping SOW
NCR,POS license support,6000000,2026-12-31,480-store POS estate
Accenture,Commerce Cloud extensions,4800000,2027-05-31,SFCC extension MSA
Adobe,Experience Cloud,4200000,2026-09-30,Marketing and content
o9 Solutions,Demand planning,3840000,2027-02-28,40% implementation weak vendor signal
ServiceNow,ITSM CMDB,3600000,2027-08-31,CMDB trust maturity
Cisco,SD-WAN network,3200000,2027-01-31,Store network edge
Deloitte,PMO analytics transformation,3000000,2027-04-30,Multi-engagement consulting
IBM Sterling OMS,License,2800000,2027-02-28,Behind current release
Verizon,WAN connectivity,2600000,2027-06-30,480 store WAN and failover
Splunk,SIEM MSSP,2400000,2027-07-31,Security log management
UKG,WFM SaaS,2100000,2027-11-30,Workforce scheduling
Manhattan,WMS license,1800000,2027-05-31,Warehouse platform
ADP,Payroll,1800000,2027-08-31,Payroll services
Equinix,Datacenter colocation,1800000,2027-10-31,Primary DR colocation
SAP Ariba,Procurement SaaS,1600000,2027-09-30,Procurement network
DataDog,Observability,1600000,2027-04-30,Observability expansion
Segment,CDP license,1400000,2026-11-30,Sunsetting to Salesforce Data Cloud
Cornerstone,LMS,1400000,2027-03-31,Learning management
CrowdStrike,Endpoint MDR,1200000,2026-06-30,Endpoint and MDR
Coupa,Spend SaaS,1200000,2027-02-28,Spend management
Punchh,Loyalty SaaS,900000,2026-10-31,Failing loyalty platform
Looker,BI,720000,2027-07-31,Analytics consumption
Pythian,Oracle DBA managed,720000,2027-01-31,Oracle DBA managed service
Algolia,Search,600000,2027-03-31,Product search
Fivetran,ELT connectors,480000,2027-05-31,Data integration
Vertex,Tax,480000,2026-08-31,Tax engine
Commvault,Backup,480000,2027-10-31,Backup and recovery
Mimecast,Email security,420000,2027-04-30,Email security
dbt Cloud,Transformation,360000,2027-06-30,Analytics engineering
Avalara,Tax,360000,2027-09-30,Sales tax compliance
Microsoft Premier,Support,360000,2027-07-31,Premier support
LaunchDarkly,Feature flags,240000,2027-01-31,Feature management
Cursor,AI coding pilot,120000,2026-07-31,50-seat pilot expansion pending
GitHub,Copilot + Enterprise,780000,2027-05-31,Developer platform and Copilot
Anthropic,Claude Enterprise,480000,2027-05-31,Enterprise GenAI seats
Okta,Identity,2400000,2027-08-31,Identity SSO
Blue Yonder,Pricing platform,2160000,2027-02-28,Pricing optimization
Stibo,PIM,900000,2027-12-31,Product information management
