tenant_key,application_id,application_name,business_domain,business_owner_role,owning_team_id,owning_team_name,executive_owner_role,technical_owner_role,source_basis,source_files,confidence,caveat
lakeshore-industries,LAK-APP-001,SAP ECC Central Finance,erp_finance,CFO,LAK-IT-002,SAP and ERP Platforms,VP ERP,SAP and ERP Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.
lakeshore-industries,LAK-APP-002,SAP S/4 pilot instance,erp_finance,Treasurer,LAK-IT-002,SAP and ERP Platforms,VP ERP,SAP and ERP Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.
lakeshore-industries,LAK-APP-003,SAP FI/CO,erp_finance,CIO,LAK-IT-002,SAP and ERP Platforms,VP ERP,SAP and ERP Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.
lakeshore-industries,LAK-APP-004,SAP MM,erp_finance,Chief Supply Chain Officer,LAK-IT-002,SAP and ERP Platforms,VP ERP,SAP and ERP Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.
lakeshore-industries,LAK-APP-005,SAP SD,erp_finance,Controller,LAK-IT-002,SAP and ERP Platforms,VP ERP,SAP and ERP Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.
lakeshore-industries,LAK-APP-006,SAP BW,erp_finance,Chief Procurement Officer,LAK-IT-002,SAP and ERP Platforms,VP ERP,SAP and ERP Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.
lakeshore-industries,LAK-APP-007,SAP GRC,erp_finance,Chief Data Officer,LAK-IT-002,SAP and ERP Platforms,VP ERP,SAP and ERP Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.
lakeshore-industries,LAK-APP-008,SAP PI/PO,erp_finance,CISO,LAK-IT-002,SAP and ERP Platforms,VP ERP,SAP and ERP Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.
lakeshore-industries,LAK-APP-009,SAP BPC,erp_finance,CFO,LAK-IT-002,SAP and ERP Platforms,VP ERP,SAP and ERP Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.
lakeshore-industries,LAK-APP-010,SAP Ariba network connector,erp_finance,Treasurer,LAK-IT-002,SAP and ERP Platforms,VP ERP,SAP and ERP Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.
lakeshore-industries,LAK-APP-011,Kyriba implementation tenant,treasury,CIO,LAK-IT-003,Treasury and Finance Systems,VP Finance Technology,Treasury and Finance Systems,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.
