boundary,scope,identity,role,allowed,denied
acr,acrabarvalab001.azurecr.io,mi-hcdn-ingest-lab-001,AcrPull,yes,no runtime data access from ACR
acr,acrabarvalab001.azurecr.io,mi-hcdn-review-lab-001,AcrPull,yes,no runtime data access from ACR
acr,acrabarvalab001.azurecr.io,mi-hcdn-publish-lab-001,AcrPull,yes,no runtime data access from ACR
acr,acrabarvalab001.azurecr.io,mi-hcdn-evaluator-lab-001,AcrPull,yes,no runtime data access from ACR
acr,acrabarvalab001.azurecr.io,mi-hcdn-admin-lab-001,AcrPull,yes,no runtime data access from ACR
storage,stabhcdemonewlab001/raw,mi-hcdn-ingest-lab-001,Storage Blob Data Contributor,yes,cross-tenant storage
storage,stabhcdemonewlab001/published,mi-hcdn-publish-lab-001,Storage Blob Data Reader,yes,cross-tenant storage
storage,stabhcdemonewlab001/published,mi-hcdn-read-lab-001,Storage Blob Data Reader,yes,cross-tenant storage
storage,stabhcdemonewlab001/published,mi-hcdn-evaluator-lab-001,Storage Blob Data Reader,yes,cross-tenant storage
storage,stabhcdemonewlab001/audit,mi-hcdn-evaluator-lab-001,Storage Blob Data Contributor,yes,cross-tenant storage
storage,stabhcdemonewevallab001/hidden-truth,mi-hcdn-evaluator-lab-001,Storage Blob Data Reader,yes,all non-evaluator identities
storage,stabhcdemonewevallab001/reconstruction-proof,mi-hcdn-evaluator-lab-001,Storage Blob Data Contributor,yes,cross-tenant storage
key-vault,kv-abarva-hcdn-lab-001,mi-hcdn-ingest-lab-001,Key Vault Secrets User,yes,no data-bearing secret outside tenant vault
key-vault,kv-abarva-hcdn-lab-001,mi-hcdn-review-lab-001,Key Vault Secrets User,yes,no data-bearing secret outside tenant vault
key-vault,kv-abarva-hcdn-lab-001,mi-hcdn-publish-lab-001,Key Vault Secrets User,yes,no data-bearing secret outside tenant vault
key-vault,kv-abarva-hcdn-lab-001,mi-hcdn-evaluator-lab-001,Key Vault Secrets User,yes,no data-bearing secret outside tenant vault
key-vault,kv-abarva-hcdn-lab-001,mi-hcdn-admin-lab-001,Key Vault Secrets User,yes,no data-bearing secret outside tenant vault
