check,status,evidence
correct_subscription,required_before_migration,real ACA job output after approved apply
correct_resource_group,required_before_migration,real ACA job output after approved apply
correct_tenant_manifest,required_before_migration,real ACA job output after approved apply
correct_database,required_before_migration,real ACA job output after approved apply
correct_operational_storage,required_before_migration,real ACA job output after approved apply
correct_evaluator_storage,required_before_migration,real ACA job output after approved apply
correct_image_digest,required_before_migration,real ACA job output after approved apply
private_dns_resolution,required_before_migration,real ACA job output after approved apply
managed_identity_image_pull,required_before_migration,real ACA job output after approved apply
managed_identity_storage_access,required_before_migration,real ACA job output after approved apply
managed_identity_key_vault_access,required_before_migration,real ACA job output after approved apply
postgresql_token_authentication,required_before_migration,real ACA job output after approved apply
ingest_cannot_publish,required_before_migration,real ACA job output after approved apply
reader_cannot_read_working_candidates,required_before_migration,real ACA job output after approved apply
non_evaluator_cannot_read_hidden_truth,required_before_migration,real ACA job output after approved apply
evaluator_cannot_mutate_knowledge,required_before_migration,real ACA job output after approved apply
wrong_tenant_zero_reads_zero_writes,required_before_migration,real ACA job output after approved apply
