period,business_unit_id,business_unit,revenue_usd,gross_margin_pct,operating_margin_pct,r_and_d_usd,sg_and_a_usd,source_report
FY2025-Q1,BU-AWC,Advanced Wound Care + Surgical,1248000000,52.5,18.2,58500000,273000000,FY2025-Q1 board pack
FY2025-Q1,BU-DENTAL,Dental + Orthodontic Solutions,936000000,52.3,17.1,43875000,204750000,FY2025-Q1 board pack
FY2025-Q1,BU-HIS,Health Information Systems / Coding / CDI,1104000000,54.2,24.8,51750000,241500000,FY2025-Q1 board pack
FY2025-Q1,BU-STERILE,Infection Prevention + Sterilization,768000000,51.9,15.6,36000000,168000000,FY2025-Q1 board pack
FY2025-Q1,BU-MONITOR,Clinical Monitoring + Connected Devices,816000000,51.2,12.9,38250000,178500000,FY2025-Q1 board pack
FY2025-Q1,BU-FILTER,Life Sciences Filtration / Bioprocessing,552000000,53.1,20.4,25875000,120750000,FY2025-Q1 board pack
FY2025-Q2,BU-AWC,Advanced Wound Care + Surgical,1274000000,52.5,18.2,58500000,273000000,FY2025-Q2 board pack
FY2025-Q2,BU-DENTAL,Dental + Orthodontic Solutions,955500000,52.3,17.1,43875000,204750000,FY2025-Q2 board pack
FY2025-Q2,BU-HIS,Health Information Systems / Coding / CDI,1127000000,54.2,24.8,51750000,241500000,FY2025-Q2 board pack
FY2025-Q2,BU-STERILE,Infection Prevention + Sterilization,784000000,51.9,15.6,36000000,168000000,FY2025-Q2 board pack
FY2025-Q2,BU-MONITOR,Clinical Monitoring + Connected Devices,833000000,51.2,12.9,38250000,178500000,FY2025-Q2 board pack
FY2025-Q2,BU-FILTER,Life Sciences Filtration / Bioprocessing,563500000,53.1,20.4,25875000,120750000,FY2025-Q2 board pack
FY2025-Q3,BU-AWC,Advanced Wound Care + Surgical,1300000000,52.5,18.2,58500000,273000000,FY2025-Q3 board pack
FY2025-Q3,BU-DENTAL,Dental + Orthodontic Solutions,975000000,52.3,17.1,43875000,204750000,FY2025-Q3 board pack
FY2025-Q3,BU-HIS,Health Information Systems / Coding / CDI,1150000000,54.2,24.8,51750000,241500000,FY2025-Q3 board pack
FY2025-Q3,BU-STERILE,Infection Prevention + Sterilization,800000000,51.9,15.6,36000000,168000000,FY2025-Q3 board pack
FY2025-Q3,BU-MONITOR,Clinical Monitoring + Connected Devices,850000000,51.2,12.9,38250000,178500000,FY2025-Q3 board pack
FY2025-Q3,BU-FILTER,Life Sciences Filtration / Bioprocessing,575000000,53.1,20.4,25875000,120750000,FY2025-Q3 board pack
FY2025-Q4,BU-AWC,Advanced Wound Care + Surgical,1326000000,52.5,18.2,58500000,273000000,FY2025-Q4 board pack
FY2025-Q4,BU-DENTAL,Dental + Orthodontic Solutions,994500000,52.3,17.1,43875000,204750000,FY2025-Q4 board pack
FY2025-Q4,BU-HIS,Health Information Systems / Coding / CDI,1173000000,54.2,24.8,51750000,241500000,FY2025-Q4 board pack
FY2025-Q4,BU-STERILE,Infection Prevention + Sterilization,816000000,51.9,15.6,36000000,168000000,FY2025-Q4 board pack
FY2025-Q4,BU-MONITOR,Clinical Monitoring + Connected Devices,867000000,51.2,12.9,38250000,178500000,FY2025-Q4 board pack
FY2025-Q4,BU-FILTER,Life Sciences Filtration / Bioprocessing,586500000,53.1,20.4,25875000,120750000,FY2025-Q4 board pack
