tenant,surface,sourceEvidenceState,loadedState,indexedState,retrievableState,citedState,agentReady,mayReachAva,layer2ProfilesThatWouldRun,layer2DimensionFailures,graphRelationshipCandidates,graphQuarantinedRelationships,proofArtifactTypes,blockers,mode
tenant-01,home,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,10,1703,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-01,intelligence,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,10,1703,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-01,moves,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,10,1703,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-01,source,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,10,1703,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-01,tower,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,10,1703,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-02,home,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,0,380,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-02,intelligence,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,0,380,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-02,moves,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,0,380,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-02,source,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,0,380,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-02,tower,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,0,380,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-03,home,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,1462,840,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-03,intelligence,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,1462,840,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-03,moves,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,1462,840,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-03,source,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,1462,840,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-03,tower,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,1462,840,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-04,home,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,0,364,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-04,intelligence,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,0,364,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-04,moves,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,0,364,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-04,source,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,0,364,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
