tenant_key,application_id,application_name,business_domain,business_owner_role,owning_team_id,owning_team_name,executive_owner_role,technical_owner_role,source_basis,source_files,confidence,caveat,source_file,source_row,value_source
first-capital-financial,FC-APP-001,Fiserv Core Deposits,core_banking,Head of Consumer Banking,FC-IT-006,Integration & API Platform,VP Integration,Integration & API Platform,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,2,tenant_file
first-capital-financial,FC-APP-002,Thought Machine Loan Servicing,core_banking,Head of Consumer Banking,FC-IT-005,Data Platform & AI Engineering,Chief Data & Analytics Officer,Data Platform & AI Engineering,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,3,tenant_file
first-capital-financial,FC-APP-003,FIS GL Posting Engine,core_banking,Head of Consumer Banking,FC-IT-010,Cloud & Infrastructure,VP Infrastructure,Cloud & Infrastructure,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,4,tenant_file
first-capital-financial,FC-APP-004,Temenos Account Master,core_banking,Head of Consumer Banking,FC-IT-009,"Cyber, Privacy & Resilience",Chief Information Security Officer,"Cyber, Privacy & Resilience",direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,5,tenant_file
first-capital-financial,FC-APP-005,Fiserv Statements,core_banking,Head of Consumer Banking,FC-IT-004,Channels & Digital Engineering,VP Digital,Channels & Digital Engineering,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,6,tenant_file
first-capital-financial,FC-APP-006,Thought Machine Interest Engine,core_banking,Head of Consumer Banking,FC-IT-012,AI Governance & Model Risk Tech,Chief Data & Analytics Officer,AI Governance & Model Risk Tech,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,7,tenant_file
first-capital-financial,FC-APP-007,Thought Machine Branch Teller,core_banking,Head of Consumer Banking,FC-IT-007,"Risk, Treasury & Finance Systems",VP Risk & Finance Tech,"Risk, Treasury & Finance Systems",direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,8,tenant_file
first-capital-financial,FC-APP-008,Temenos Core Deposits 2,core_banking,Head of Consumer Banking,FC-IT-006,Integration & API Platform,VP Integration,Integration & API Platform,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,9,tenant_file
first-capital-financial,FC-APP-009,Thought Machine Loan Servicing 2,core_banking,Head of Consumer Banking,FC-IT-004,Channels & Digital Engineering,VP Digital,Channels & Digital Engineering,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,10,tenant_file
first-capital-financial,FC-APP-010,FIS GL Posting Engine 2,core_banking,Head of Consumer Banking,FC-IT-011,ServiceNow & IT Operations,VP IT Operations,ServiceNow & IT Operations,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,11,tenant_file
first-capital-financial,FC-APP-011,Thought Machine Account Master 2,core_banking,Head of Consumer Banking,FC-IT-012,AI Governance & Model Risk Tech,Chief Data & Analytics Officer,AI Governance & Model Risk Tech,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,12,tenant_file
