tenant_key,leader_id,leader_name,role,reports_to_role,organization_area,source_basis,source_file,confidence,caveat,source_file,source_row,value_source
first-capital-financial,FC-EXEC-CEO,Maya Krishnan,CEO,Board,Executive leadership,loaded adjacent v1 executive org chart,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.84,Synthetic executive chart names are available; lower-level reporting lines depend on team ownership joins.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,2,tenant_file
first-capital-financial,FC-EXEC-CFO,Jonathan Reed,CFO,CEO / executive committee,Executive leadership,loaded adjacent v1 executive org chart,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.84,Synthetic executive chart names are available; lower-level reporting lines depend on team ownership joins.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,3,tenant_file
first-capital-financial,FC-EXEC-CIO,Elena Marquez,CIO,CEO / executive technology leadership,Executive leadership,loaded adjacent v1 executive org chart,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.84,Synthetic executive chart names are available; lower-level reporting lines depend on team ownership joins.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,4,tenant_file
first-capital-financial,FC-EXEC-CISO,Peter Wallace,CISO,CEO / executive technology leadership,Executive leadership,loaded adjacent v1 executive org chart,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.84,Synthetic executive chart names are available; lower-level reporting lines depend on team ownership joins.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,5,tenant_file
first-capital-financial,FC-EXEC-CRO,Renee Okafor,CRO,CEO / executive committee,Executive leadership,loaded adjacent v1 executive org chart,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.84,Synthetic executive chart names are available; lower-level reporting lines depend on team ownership joins.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,6,tenant_file
first-capital-financial,FC-EXEC-CDAO,Priya Narayanan,CDAO,CEO / executive technology leadership,Executive leadership,loaded adjacent v1 executive org chart,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.84,Synthetic executive chart names are available; lower-level reporting lines depend on team ownership joins.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,7,tenant_file
first-capital-financial,EVP-1,Elena Marquez,EVP Technology Operations,CIO / executive committee,Core Banking Platforms,loaded adjacent v1 executive org chart,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.80,Synthetic org chart includes named leaders and ownership domains; client HR validation may be required for final org charts.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,8,tenant_file
first-capital-financial,EVP-2,Jonathan Reed,SVP Payments Technology,CIO / executive committee,Payments and Treasury Services,loaded adjacent v1 executive org chart,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.80,Synthetic org chart includes named leaders and ownership domains; client HR validation may be required for final org charts.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,9,tenant_file
first-capital-financial,EVP-3,Renee Okafor,Chief Digital Officer,CIO / executive committee,Digital Banking and Client Experience,loaded adjacent v1 executive org chart,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.80,Synthetic org chart includes named leaders and ownership domains; client HR validation may be required for final org charts.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,10,tenant_file
first-capital-financial,EVP-4,Amir Shah,SVP Commercial Bank CIO,CIO / executive committee,Commercial Lending Technology,loaded adjacent v1 executive org chart,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.80,Synthetic org chart includes named leaders and ownership domains; client HR validation may be required for final org charts.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,11,tenant_file
first-capital-financial,EVP-5,Caroline Hughes,SVP Wealth Technology,CIO / executive committee,Wealth and Private Bank Technology,loaded adjacent v1 executive org chart,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.80,Synthetic org chart includes named leaders and ownership domains; client HR validation may be required for final org charts.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,12,tenant_file
first-capital-financial,EVP-6,Sofia Patel,Chief Risk Officer,CIO / executive committee,"Risk, Compliance and Financial Crimes",loaded adjacent v1 executive org chart,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.80,Synthetic org chart includes named leaders and ownership domains; client HR validation may be required for final org charts.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,13,tenant_file
