tenant_key,display_name,stakeholder_group,interview_rows,question_categories_expected,status
first-capital-financial,FS Demo,CEO / enterprise strategy,12,12,pass
first-capital-financial,FS Demo,CFO / finance and value,12,12,pass
first-capital-financial,FS Demo,COO / operations,12,12,pass
first-capital-financial,FS Demo,CIO / enterprise technology,12,12,pass
first-capital-financial,FS Demo,CTO / infrastructure/cloud/platforms,12,12,pass
first-capital-financial,FS Demo,CDAO / data and analytics,12,12,pass
first-capital-financial,FS Demo,CISO / security,12,12,pass
first-capital-financial,FS Demo,Privacy/compliance/legal,12,12,pass
first-capital-financial,FS Demo,Procurement/vendor management,12,12,pass
first-capital-financial,FS Demo,HR/workforce/change,12,12,pass
first-capital-financial,FS Demo,Transformation office,12,12,pass
first-capital-financial,FS Demo,Customer/member/passenger experience,12,12,pass
first-capital-financial,FS Demo,Business function leader,12,12,pass
first-capital-financial,FS Demo,Contact center leader,12,12,pass
first-capital-financial,FS Demo,Operations leader,12,12,pass
first-capital-financial,FS Demo,Enterprise architecture,12,12,pass
first-capital-financial,FS Demo,Application owner,12,12,pass
first-capital-financial,FS Demo,IT service management,12,12,pass
