tenant_key,display_name,stakeholder_group,question_category,question_id,required_answer_basis,required_lineage_fields
first-capital-financial,FS Demo,CEO / enterprise strategy,strategic priorities,CEO_ENTERPRISE_STRATEGY_01,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CEO / enterprise strategy,pain points,CEO_ENTERPRISE_STRATEGY_02,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CEO / enterprise strategy,budget/value,CEO_ENTERPRISE_STRATEGY_03,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CEO / enterprise strategy,data readiness,CEO_ENTERPRISE_STRATEGY_04,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CEO / enterprise strategy,systems/platform,CEO_ENTERPRISE_STRATEGY_05,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CEO / enterprise strategy,vendors/contracts,CEO_ENTERPRISE_STRATEGY_06,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CEO / enterprise strategy,operating model/ownership,CEO_ENTERPRISE_STRATEGY_07,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CEO / enterprise strategy,workforce/adoption,CEO_ENTERPRISE_STRATEGY_08,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CEO / enterprise strategy,risk/security/privacy/compliance,CEO_ENTERPRISE_STRATEGY_09,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CEO / enterprise strategy,AI appetite/guardrails,CEO_ENTERPRISE_STRATEGY_10,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CEO / enterprise strategy,evidence needed,CEO_ENTERPRISE_STRATEGY_11,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CEO / enterprise strategy,metrics/baseline,CEO_ENTERPRISE_STRATEGY_12,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CFO / finance and value,strategic priorities,CFO_FINANCE_AND_VALUE_01,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CFO / finance and value,pain points,CFO_FINANCE_AND_VALUE_02,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CFO / finance and value,budget/value,CFO_FINANCE_AND_VALUE_03,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CFO / finance and value,data readiness,CFO_FINANCE_AND_VALUE_04,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CFO / finance and value,systems/platform,CFO_FINANCE_AND_VALUE_05,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CFO / finance and value,vendors/contracts,CFO_FINANCE_AND_VALUE_06,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
