play_id,metric_id,peer_or_archetype,play_name,metric_moved,delta,enablers,reference_pattern,domain,source_file,source_row,value_source
APEXRETAIL-PLAY-0001,APEXRETAIL-MET-0001,top quartile operator,Apex Retail comparable transformation play 1,Apex Retail benefit realization against committed value metric 1,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,2,tenant_file
APEXRETAIL-PLAY-0002,APEXRETAIL-MET-0002,top quartile operator,Apex Retail comparable transformation play 2,Apex Retail elapsed time for target process metric 2,9%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time,family-7-outcome-intelligence/O03_competitor-plays.csv,3,tenant_file
APEXRETAIL-PLAY-0003,APEXRETAIL-MET-0003,top quartile operator,Apex Retail comparable transformation play 3,Apex Retail open control and governance pressure metric 3,10%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture,family-7-outcome-intelligence/O03_competitor-plays.csv,4,tenant_file
APEXRETAIL-PLAY-0004,APEXRETAIL-MET-0004,top quartile operator,Apex Retail comparable transformation play 4,Apex Retail active usage of changed workflow metric 4,11%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption,family-7-outcome-intelligence/O03_competitor-plays.csv,5,tenant_file
APEXRETAIL-PLAY-0005,APEXRETAIL-MET-0005,top quartile operator,Apex Retail comparable transformation play 5,Apex Retail unit cost across served population or customer journey metric 5,12%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve,family-7-outcome-intelligence/O03_competitor-plays.csv,6,tenant_file
APEXRETAIL-PLAY-0006,APEXRETAIL-MET-0006,top quartile operator,Apex Retail comparable transformation play 6,Apex Retail benefit realization against committed value metric 6,13%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,7,tenant_file
APEXRETAIL-PLAY-0007,APEXRETAIL-MET-0007,top quartile operator,Apex Retail comparable transformation play 7,Apex Retail elapsed time for target process metric 7,14%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time,family-7-outcome-intelligence/O03_competitor-plays.csv,8,tenant_file
APEXRETAIL-PLAY-0008,APEXRETAIL-MET-0008,top quartile operator,Apex Retail comparable transformation play 8,Apex Retail open control and governance pressure metric 8,15%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture,family-7-outcome-intelligence/O03_competitor-plays.csv,9,tenant_file
APEXRETAIL-PLAY-0009,APEXRETAIL-MET-0009,top quartile operator,Apex Retail comparable transformation play 9,Apex Retail active usage of changed workflow metric 9,16%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption,family-7-outcome-intelligence/O03_competitor-plays.csv,10,tenant_file
APEXRETAIL-PLAY-0010,APEXRETAIL-MET-0010,top quartile operator,Apex Retail comparable transformation play 10,Apex Retail unit cost across served population or customer journey metric 10,17%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve,family-7-outcome-intelligence/O03_competitor-plays.csv,11,tenant_file
APEXRETAIL-PLAY-0011,APEXRETAIL-MET-0011,top quartile operator,Apex Retail comparable transformation play 11,Apex Retail benefit realization against committed value metric 11,18%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,12,tenant_file
APEXRETAIL-PLAY-0012,APEXRETAIL-MET-0012,top quartile operator,Apex Retail comparable transformation play 12,Apex Retail elapsed time for target process metric 12,19%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time,family-7-outcome-intelligence/O03_competitor-plays.csv,13,tenant_file
APEXRETAIL-PLAY-0013,APEXRETAIL-MET-0013,top quartile operator,Apex Retail comparable transformation play 13,Apex Retail open control and governance pressure metric 13,20%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture,family-7-outcome-intelligence/O03_competitor-plays.csv,14,tenant_file
APEXRETAIL-PLAY-0014,APEXRETAIL-MET-0014,top quartile operator,Apex Retail comparable transformation play 14,Apex Retail active usage of changed workflow metric 14,21%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption,family-7-outcome-intelligence/O03_competitor-plays.csv,15,tenant_file
APEXRETAIL-PLAY-0015,APEXRETAIL-MET-0015,top quartile operator,Apex Retail comparable transformation play 15,Apex Retail unit cost across served population or customer journey metric 15,22%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve,family-7-outcome-intelligence/O03_competitor-plays.csv,16,tenant_file
APEXRETAIL-PLAY-0016,APEXRETAIL-MET-0016,top quartile operator,Apex Retail comparable transformation play 16,Apex Retail benefit realization against committed value metric 16,23%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,17,tenant_file
