tenant_key,source_record_id,fiscal_year,period,source_system,cost_center,account_gl_code,spend_category,it_tower_category,business_unit,program_code,initiative_id,vendor_name,system_name,run_change_flag,budget_amount_usd,actual_spend_usd,forecast_spend_usd,committed_spend_usd,invoice_amount_usd,variance_usd,ai_spend_flag,ai_spend_type,ai_spend_category,platform_embedded_ai_flag,finance_owner,evidence_id,confidence,active_candidate_status,notes
internal-golden,SA02-RUN-APP-01,FY26,FY26-Q2-YTD,synthetic_it_finance_budget_spend_extract,APPLICATIONS_CC,IT-RUN-6100,Applications,Applications,AbarVa Golden Health Enterprise,,,Epic,Epic Hyperspace; Epic Clarity; Epic Caboodle,run,58000000,15080000,55970000,33640000,13920000,-2030000,false,none,not_ai,false,FP&A Technology Finance Lead,GLD-V3-EVID-BUD-RUN-APP-01,high,active,"Epic Hyperspace, Clarity, Caboodle run-state support"
internal-golden,SA02-RUN-APP-02,FY26,FY26-Q2-YTD,synthetic_it_finance_budget_spend_extract,APPLICATIONS_CC,IT-RUN-6100,Applications,Applications,AbarVa Golden Health Enterprise,,,HealthEdge; Cognizant,HealthRules Payer; TriZetto QNXT; Facets,run,42000000,10920000,40530000,24360000,10080000,-1470000,false,none,not_ai,false,FP&A Technology Finance Lead,GLD-V3-EVID-BUD-RUN-APP-02,high,active,QNXT/Facets-style claims platform operations
internal-golden,SA02-RUN-APP-03,FY26,FY26-Q2-YTD,synthetic_it_finance_budget_spend_extract,APPLICATIONS_CC,IT-RUN-6100,Applications,Applications,AbarVa Golden Health Enterprise,,,Oracle; Waystar,Oracle ERP; Waystar RCM,run,16800000,4368000,16212000,9744000,4032000,-588000,false,none,not_ai,false,FP&A Technology Finance Lead,GLD-V3-EVID-BUD-RUN-APP-03,high,active,"Oracle ERP, Waystar, corporate finance apps"
internal-golden,SA02-RUN-APP-04,FY26,FY26-Q2-YTD,synthetic_it_finance_budget_spend_extract,APPLICATIONS_CC,IT-RUN-6100,Applications,Applications,AbarVa Golden Health Enterprise,,,Salesforce; Google,MuleSoft; Apigee,run,8500000,2210000,8202500,4930000,2040000,-297500,true,embedded_platform_ai,erp_ai,true,FP&A Technology Finance Lead,GLD-V3-EVID-BUD-RUN-APP-04,high,active,MuleSoft/Apigee run-state integration layer
internal-golden,SA02-RUN-APP-05,FY26,FY26-Q2-YTD,synthetic_it_finance_budget_spend_extract,APPLICATIONS_CC,IT-RUN-6100,Applications,Applications,AbarVa Golden Health Enterprise,,,NCQA; Tableau,Quality reporting mart; Tableau,run,6000000,1560000,5790000,3480000,1440000,-210000,false,none,not_ai,false,FP&A Technology Finance Lead,GLD-V3-EVID-BUD-RUN-APP-05,high,active,Regulatory and quality measure reporting tools
internal-golden,SA02-RUN-APP-06,FY26,FY26-Q2-YTD,synthetic_it_finance_budget_spend_extract,APPLICATIONS_CC,IT-RUN-6100,Applications,Applications,AbarVa Golden Health Enterprise,PROG-WORKDAY-AI,INIT-WORKDAY-AI,Workday,Workday HCM; Workday Finance; Workday AI,run,1200000,312000,1158000,696000,288000,-42000,true,embedded_platform_ai,workday_ai,true,FP&A Technology Finance Lead,GLD-V3-EVID-BUD-RUN-APP-06,high,active,Workday platform run support plus AI-enabled HR/finance assistant capability
internal-golden,SA02-RUN-INFRA-01,FY26,FY26-Q2-YTD,synthetic_it_finance_budget_spend_extract,INFRASTRUCTURE_CC,IT-RUN-6100,Infrastructure,Infrastructure,AbarVa Golden Health Enterprise,,,Kyndryl; Dell,VMware; enterprise storage,run,30000000,7800000,28950000,17400000,7200000,-1050000,false,none,not_ai,false,FP&A Technology Finance Lead,GLD-V3-EVID-BUD-RUN-INFRA-01,high,active,On-prem data center plus hybrid compute run
internal-golden,SA02-RUN-INFRA-02,FY26,FY26-Q2-YTD,synthetic_it_finance_budget_spend_extract,INFRASTRUCTURE_CC,IT-RUN-6100,Infrastructure,Infrastructure,AbarVa Golden Health Enterprise,,,AWS; Microsoft,AWS; Azure,run,28000000,7280000,27020000,16240000,6720000,-980000,true,embedded_platform_ai,cloud_ai_services,true,FP&A Technology Finance Lead,GLD-V3-EVID-BUD-RUN-INFRA-02,high,active,"AWS/Azure run-state consumption, including AI services usage"
internal-golden,SA02-RUN-INFRA-03,FY26,FY26-Q2-YTD,synthetic_it_finance_budget_spend_extract,INFRASTRUCTURE_CC,IT-RUN-6100,Infrastructure,Infrastructure,AbarVa Golden Health Enterprise,,,Cisco; AT&T,Cisco network estate,run,18000000,4680000,17370000,10440000,4320000,-630000,false,none,not_ai,false,FP&A Technology Finance Lead,GLD-V3-EVID-BUD-RUN-INFRA-03,high,active,"WAN/LAN, telecom circuits, SD-WAN"
internal-golden,SA02-RUN-INFRA-04,FY26,FY26-Q2-YTD,synthetic_it_finance_budget_spend_extract,INFRASTRUCTURE_CC,IT-RUN-6100,Infrastructure,Infrastructure,AbarVa Golden Health Enterprise,,,Microsoft; Oracle,SQL Server; Oracle DB,run,14000000,3640000,13510000,8120000,3360000,-490000,false,none,not_ai,false,FP&A Technology Finance Lead,GLD-V3-EVID-BUD-RUN-INFRA-04,high,active,"DB administration, middleware run support"
