tenant_key,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,confidence,source_type,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,evidence_type,evidence_location,evidence_owner,use_case,data_domain,systems,value_hypothesis,evidence_needed,risk_or_gap,affected_systems,metric_boundary,forbidden_claims,legacy_row_flag,source_row_status,migration_action,additive_status,amount_basis,finance_attestation_status,funding_status,approved_funding_usd,realized_value_usd,tower_claim_allowed,caveat
internal-golden,GLD-V3-0001,GLD-HS,Unified clinical + claims lakehouse synthetic evidence bundle,Unified clinical + claims lakehouse synthetic evidence bundle,13_evidence_sources,GLD-V3-EVID-0240,active,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/tenant-inputs/internal-golden/standard-2026-07-v3,AbarVa synthetic data steward,,,,,,,,,,,,,,,,,,,,
internal-golden,GLD-V3-0002,GLD-HS,Governed data foundation for AI / LLM automation synthetic evidence bundle,Governed data foundation for AI / LLM automation synthetic evidence bundle,13_evidence_sources,GLD-V3-EVID-0241,active,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/tenant-inputs/internal-golden/standard-2026-07-v3,AbarVa synthetic data steward,,,,,,,,,,,,,,,,,,,,
internal-golden,GLD-V3-0003,GLD-HS,Call center optimization synthetic evidence bundle,Call center optimization synthetic evidence bundle,13_evidence_sources,GLD-V3-EVID-0242,active,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/tenant-inputs/internal-golden/standard-2026-07-v3,AbarVa synthetic data steward,,,,,,,,,,,,,,,,,,,,
internal-golden,GLD-V3-0004,GLD-HS,Provider quality and performance synthetic evidence bundle,Provider quality and performance synthetic evidence bundle,13_evidence_sources,GLD-V3-EVID-0243,active,medium,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/tenant-inputs/internal-golden/standard-2026-07-v3,AbarVa synthetic data steward,,,,,,,,,,,,,,,,,,,,
internal-golden,GLD-V3-0005,GLD-HS,End-to-end cost transparency synthetic evidence bundle,End-to-end cost transparency synthetic evidence bundle,13_evidence_sources,GLD-V3-EVID-0244,candidate,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/tenant-inputs/internal-golden/standard-2026-07-v3,AbarVa synthetic data steward,,,,,,,,,,,,,,,,,,,,
internal-golden,GLD-V3-0006,GLD-HS,Payment integrity and leakage reduction synthetic evidence bundle,Payment integrity and leakage reduction synthetic evidence bundle,13_evidence_sources,GLD-V3-EVID-0245,active,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/tenant-inputs/internal-golden/standard-2026-07-v3,AbarVa synthetic data steward,,,,,,,,,,,,,,,,,,,,
internal-golden,GLD-V3-0007,GLD-HS,Automated close and reporting synthetic evidence bundle,Automated close and reporting synthetic evidence bundle,13_evidence_sources,GLD-V3-EVID-0246,active,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/tenant-inputs/internal-golden/standard-2026-07-v3,AbarVa synthetic data steward,,,,,,,,,,,,,,,,,,,,
internal-golden,GLD-V3-0030,GLD-HS,Boundary: Synthetic PHI-free planning-grade substrate; not real Golden production data.,Boundary: Synthetic PHI-free planning-grade substrate; not real Golden production data.,13_evidence_sources,GLD-V3-EVID-0280,candidate,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,claim_boundary,tenant_generation_manifest,AbarVa governance,,,,,,,,,,,,,,,,,,,,
internal-golden,GLD-V3-0031,GLD-HS,Boundary: AWS Databricks aspiration is not proof that the platform foundation is complete.,Boundary: AWS Databricks aspiration is not proof that the platform foundation is complete.,13_evidence_sources,GLD-V3-EVID-0281,active,high,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,claim_boundary,tenant_generation_manifest,AbarVa governance,,,,,,,,,,,,,,,,,,,,
internal-golden,GLD-V3-0032,GLD-HS,Boundary: No certified medallion architecture is loaded.,Boundary: No certified medallion architecture is loaded.,13_evidence_sources,GLD-V3-EVID-0282,active,medium,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,claim_boundary,tenant_generation_manifest,AbarVa governance,,,,,,,,,,,,,,,,,,,,
