tenant_key,source_record_id,program_code,initiative_id,program_name,initiative_status,funding_status,approved_funding_usd,requested_funding_usd,linked_budget_record_ids,linked_sa02_records,linked_ai_spend_ids,ai_tagged_approved_funding_usd,ai_spend_flag,ai_spend_type,ai_spend_category,platform_embedded_ai_flag,executive_owner,finance_owner,tower_tracking_status,evidence_id,active_candidate_status,notes
internal-golden,SA04-PROG-DATA-FOUNDATION,PROG-DATA-FOUNDATION,INIT-DATA-FOUNDATION,Data Foundation / Lakehouse Modernization,active,approved,42500000,42500000,CHG-DATA-01;CHG-DATA-02;CHG-DATA-03;CHG-DATA-04;CHG-DATA-05;CHG-DATA-06,SA02-CHG-DATA-01;SA02-CHG-DATA-02;SA02-CHG-DATA-03;SA02-CHG-DATA-04;SA02-CHG-DATA-05;SA02-CHG-DATA-06,,0,true,ai_enablement_foundation,data_ai_platform,false,CDAO,FP&A Technology Finance Lead,track_budget_and_measurement,GLD-V3-EVID-PROG-PROG-DATA-FOUNDATION,active,Budget-linked approved program; benefits require usage/KPI/finance evidence.
internal-golden,SA04-PROG-API-MOD,PROG-API-MOD,INIT-API-MOD,Integration / API Modernization,active,approved,25800000,25800000,CHG-INT-01;CHG-INT-02;CHG-INT-03;CHG-INT-04;CHG-INT-05,SA02-CHG-INT-01;SA02-CHG-INT-02;SA02-CHG-INT-03;SA02-CHG-INT-04;SA02-CHG-INT-05,,0,false,none,not_ai,false,Chief Architect,FP&A Technology Finance Lead,track_budget_and_measurement,GLD-V3-EVID-PROG-PROG-API-MOD,active,Budget-linked approved program; benefits require usage/KPI/finance evidence.
internal-golden,SA04-PROG-DEV-PRODUCTIVITY,PROG-DEV-PRODUCTIVITY,INIT-DEV-PRODUCTIVITY,Developer Productivity AI / SDLC Automation,active,approved,2900000,2200000,CHG-INT-06,SA02-CHG-INT-06,AI-SPEND-08;AI-SPEND-09,2900000,true,embedded_platform_ai,developer_productivity_ai,true,VP Engineering,FP&A Technology Finance Lead,track_budget_and_measurement,GLD-V3-EVID-PROG-PROG-DEV-PRODUCTIVITY,active,Budget-linked approved AI program; amount is the AI-tagged sub-amount inside parent budget rows. Benefits require usage/KPI/finance evidence.
internal-golden,SA04-PROG-PHI-IAM,PROG-PHI-IAM,INIT-PHI-IAM,Cybersecurity / Identity / PHI Control Uplift,active,approved,24000000,24000000,CHG-CYBER-01;CHG-CYBER-02;CHG-CYBER-03;CHG-CYBER-04;CHG-CYBER-05,SA02-CHG-CYBER-01;SA02-CHG-CYBER-02;SA02-CHG-CYBER-03;SA02-CHG-CYBER-04;SA02-CHG-CYBER-05,,0,true,ai_governance_controls,ai_governance,false,CISO,FP&A Technology Finance Lead,track_budget_and_measurement,GLD-V3-EVID-PROG-PROG-PHI-IAM,active,Budget-linked approved program; benefits require usage/KPI/finance evidence.
internal-golden,SA04-PROG-EHR-CLIN,PROG-EHR-CLIN,INIT-EHR-CLIN,EHR / Clinical Analytics Modernization,active,approved,22000000,22000000,CHG-EHR-01;CHG-EHR-02;CHG-EHR-03;CHG-EHR-04;CHG-EHR-05,SA02-CHG-EHR-01;SA02-CHG-EHR-02;SA02-CHG-EHR-03;SA02-CHG-EHR-04;SA02-CHG-EHR-05,,0,false,none,not_ai,false,CMIO,FP&A Technology Finance Lead,track_budget_and_measurement,GLD-V3-EVID-PROG-PROG-EHR-CLIN,active,Budget-linked approved program; benefits require usage/KPI/finance evidence.
internal-golden,SA04-PROG-CONTACT-KNOW,PROG-CONTACT-KNOW,INIT-CONTACT-KNOW,Contact Center Platform / Knowledge Modernization,active,approved,16000000,16000000,CHG-MBR-01;CHG-MBR-02;CHG-MBR-03;CHG-MBR-04;CHG-MBR-05,SA02-CHG-MBR-01;SA02-CHG-MBR-02;SA02-CHG-MBR-03;SA02-CHG-MBR-04;SA02-CHG-MBR-05,,0,true,ai_enablement_foundation,crm_contact_center_ai,false,Chief Experience Officer,FP&A Technology Finance Lead,track_budget_and_measurement,GLD-V3-EVID-PROG-PROG-CONTACT-KNOW,active,Budget-linked approved program; benefits require usage/KPI/finance evidence.
internal-golden,SA04-PROG-FINOPS,PROG-FINOPS,INIT-FINOPS,Cloud Cost Governance / FinOps,active,approved,10000000,10000000,CHG-CLOUD-01;CHG-CLOUD-02;CHG-CLOUD-03;CHG-CLOUD-04,SA02-CHG-CLOUD-01;SA02-CHG-CLOUD-02;SA02-CHG-CLOUD-03;SA02-CHG-CLOUD-04,,0,false,none,not_ai,false,SVP Infrastructure and Cloud,FP&A Technology Finance Lead,track_budget_and_measurement,GLD-V3-EVID-PROG-PROG-FINOPS,active,Budget-linked approved program; benefits require usage/KPI/finance evidence.
internal-golden,SA04-PROG-DATA-PRODUCT-OPS,PROG-DATA-PRODUCT-OPS,INIT-DATA-PRODUCT-OPS,Enterprise Data Product Operating Model,proposed,requested,0,12000000,CHG-OPM-01;CHG-OPM-02;CHG-OPM-03;CHG-OPM-04,SA02-CHG-OPM-01;SA02-CHG-OPM-02;SA02-CHG-OPM-03;SA02-CHG-OPM-04,,0,false,none,not_ai,false,CDAO,FP&A Technology Finance Lead,requested_or_candidate,GLD-V3-EVID-PROG-PROG-DATA-PRODUCT-OPS,active,Not approved; cannot be counted as funded.
internal-golden,SA04-PROG-AI-GOV,PROG-AI-GOV,INIT-AI-GOV,AI Governance / Model Risk Controls,active,approved,8000000,8000000,CHG-AIGOV-01;CHG-AIGOV-02;CHG-AIGOV-03;CHG-AIGOV-04,SA02-CHG-AIGOV-01;SA02-CHG-AIGOV-02;SA02-CHG-AIGOV-03;SA02-CHG-AIGOV-04,,0,true,ai_governance_controls,ai_governance,false,Chief Risk Officer,FP&A Technology Finance Lead,track_budget_and_measurement,GLD-V3-EVID-PROG-PROG-AI-GOV,active,Budget-linked approved program; benefits require usage/KPI/finance evidence.
internal-golden,SA04-PROG-MSO,PROG-MSO,INIT-MSO,Managed Services Optimization,active,approved,125000000,125000000,RUN-MGS-01;RUN-MGS-02;RUN-MGS-03;RUN-MGS-04;RUN-MGS-05;RUN-MGS-06,SA02-RUN-MGS-01;SA02-RUN-MGS-02;SA02-RUN-MGS-03;SA02-RUN-MGS-04;SA02-RUN-MGS-05;SA02-RUN-MGS-06,,0,false,none,not_ai,false,VP IT Operations,FP&A Technology Finance Lead,track_budget_and_measurement,GLD-V3-EVID-PROG-PROG-MSO,active,Budget-linked approved program; benefits require usage/KPI/finance evidence.
internal-golden,SA04-PROG-COPILOT-ADOPT,PROG-COPILOT-ADOPT,INIT-COPILOT-ADOPT,Microsoft 365 Copilot Productivity Enablement,active,approved,10500000,21500000,RUN-WKPL-01;RUN-WKPL-04,SA02-RUN-WKPL-01;SA02-RUN-WKPL-04,AI-SPEND-04;AI-SPEND-05,10500000,true,embedded_platform_ai,copilot_productivity,true,VP Workplace Technology,FP&A Technology Finance Lead,track_budget_and_measurement,GLD-V3-EVID-PROG-PROG-COPILOT-ADOPT,active,Budget-linked approved AI program; amount is the AI-tagged sub-amount inside parent budget rows. Benefits require usage/KPI/finance evidence.
internal-golden,SA04-PROG-SNOW-AI,PROG-SNOW-AI,INIT-SNOW-AI,ServiceNow AI / ITSM Automation Pilot,active,approved,4000000,12000000,RUN-MGS-05,SA02-RUN-MGS-05,AI-SPEND-07,4000000,true,embedded_platform_ai,servicenow_ai,true,VP Service Management,FP&A Technology Finance Lead,track_budget_and_measurement,GLD-V3-EVID-PROG-PROG-SNOW-AI,active,Budget-linked approved AI program; amount is the AI-tagged sub-amount inside parent budget rows. Benefits require usage/KPI/finance evidence.
internal-golden,SA04-PROG-WORKDAY-AI,PROG-WORKDAY-AI,INIT-WORKDAY-AI,Workday HR/Finance AI Workflow Pilot,active,approved,1200000,1200000,RUN-APP-06,SA02-RUN-APP-06,AI-SPEND-15,1200000,true,embedded_platform_ai,workday_ai,true,CHRO and CFO,FP&A Technology Finance Lead,track_budget_and_measurement,GLD-V3-EVID-PROG-PROG-WORKDAY-AI,active,Budget-linked approved AI program; amount is the AI-tagged sub-amount inside parent budget rows. Benefits require usage/KPI/finance evidence.
internal-golden,SA04-PROG-AI-ASSIST-CANDIDATE,PROG-AI-ASSIST-CANDIDATE,INIT-AI-ASSIST-CANDIDATE,Member Service AI Assist Candidate,candidate,not_approved,0,0,,,,0,true,candidate_ai_opportunity,crm_contact_center_ai,false,Chief Experience Officer,FP&A Technology Finance Lead,requested_or_candidate,GLD-V3-EVID-PROG-PROG-AI-ASSIST-CANDIDATE,active,Not approved; cannot be counted as funded.
