source_system,source_file,native_grain,key_fields,layer1_extract,layer2_adapter_rule,layer3_canonical_mapping,layer4_vendor360_use,cpo_plain_english
CLM contract workspace export,source_system_extracts/contract_register.csv,one row per contract workspace,"contract_id, supplier_id, term, value, owner roles",source_system_extracts/contract_register.csv,"preserve source_file, source_row, source_system, source_record_id, extract_timestamp, owner, and native grain","canonical_contract, canonical_supplier",Vendor 360 contract header and material-contract list,Vendor 360 can show vendor 360 contract header and material-contract list because CLM contract workspace export arrives at one row per contract workspace.
SharePoint / CLM document library,source_system_extracts/contract_document_inventory.csv,one row per document,"document_id, role, precedence, supersedes, hash",source_system_extracts/contract_document_inventory.csv,"preserve source_file, source_row, source_system, source_record_id, extract_timestamp, owner, and native grain","canonical_document, canonical_evidence",Evidence spine and document family depth,Vendor 360 can show evidence spine and document family depth because SharePoint / CLM document library arrives at one row per document.
Document extraction pipeline,source_system_extracts/document_clause_extractions.csv,one row per page/span clause,"document_id, page, span, concept, extracted_text",source_system_extracts/document_clause_extractions.csv,"preserve source_file, source_row, source_system, source_record_id, extract_timestamp, owner, and native grain","canonical_clause, fact_assertion",Why we believe this terms panel,Vendor 360 can show why we believe this terms panel because Document extraction pipeline arrives at one row per page/span clause.
Service catalog / workflow export,source_system_extracts/source_contract_scope_services.csv,one row per service tower/process/location,"service_tower_id, process, location, retained responsibility",source_system_extracts/source_contract_scope_services.csv,"preserve source_file, source_row, source_system, source_record_id, extract_timestamp, owner, and native grain","canonical_service, canonical_obligation",Scope and retained-owner view,Vendor 360 can show scope and retained-owner view because Service catalog / workflow export arrives at one row per service tower/process/location.
CLM pricing exhibit / FP&A workbook,source_system_extracts/source_contract_pricing_rate_cards.csv,one row per pricing line,"pricing_line_id, UOM, quantity, unit price, effective period",source_system_extracts/source_contract_pricing_rate_cards.csv,"preserve source_file, source_row, source_system, source_record_id, extract_timestamp, owner, and native grain",canonical_pricing_line,Commercial baseline and pricing confidence,Vendor 360 can show commercial baseline and pricing confidence because CLM pricing exhibit / FP&A workbook arrives at one row per pricing line.
AP / PO invoice-line extract,source_system_extracts/source_ap_po_invoice_lines.csv,one row per invoice line,"invoice_line_id, PO, period, amount, variance, payment state",source_system_extracts/source_ap_po_invoice_lines.csv,"preserve source_file, source_row, source_system, source_record_id, extract_timestamp, owner, and native grain","canonical_invoice_line, fact_assertion",Leakage/recovery evidence,Vendor 360 can show leakage/recovery evidence because AP / PO invoice-line extract arrives at one row per invoice line.
ServiceNow / operational KPI export,source_system_extracts/source_sla_kpi_events.csv,one row per SLA/KPI event,"event date, SLA name, target, actual, fee base, credit",source_system_extracts/source_sla_kpi_events.csv,"preserve source_file, source_row, source_system, source_record_id, extract_timestamp, owner, and native grain","canonical_sla_event, canonical_obligation",Performance and service-credit evidence,Vendor 360 can show performance and service-credit evidence because ServiceNow / operational KPI export arrives at one row per SLA/KPI event.
Operations baseline export,source_system_extracts/source_bpo_process_baseline.csv,one row per process/period/location,"volume, backlog, cycle time, quality, rework, cost-to-serve",source_system_extracts/source_bpo_process_baseline.csv,"preserve source_file, source_row, source_system, source_record_id, extract_timestamp, owner, and native grain","canonical_process_baseline, metric",Run-rate and operations story,Vendor 360 can show run-rate and operations story because Operations baseline export arrives at one row per process/period/location.
PMO transition tracker,source_system_extracts/source_transition_evidence.csv,one row per wave/milestone,"wave, acceptance state, open issues, acceptance criteria",source_system_extracts/source_transition_evidence.csv,"preserve source_file, source_row, source_system, source_record_id, extract_timestamp, owner, and native grain",canonical_transition_milestone,Transition readiness and award blockers,Vendor 360 can show transition readiness and award blockers because PMO transition tracker arrives at one row per wave/milestone.
GRC / IAM control evidence,source_system_extracts/source_risk_control_evidence.csv,one row per control obligation/evidence item,"control domain, evidence doc, exception state, owner",source_system_extracts/source_risk_control_evidence.csv,"preserve source_file, source_row, source_system, source_record_id, extract_timestamp, owner, and native grain","canonical_control, canonical_risk",Risk/control gates,Vendor 360 can show risk/control gates because GRC / IAM control evidence arrives at one row per control obligation/evidence item.
Sourcing workspace export,source_system_extracts/source_sourcing_event_artifacts.csv,one row per sourcing artifact,"event_id, artifact_type, artifact_state, owner role",source_system_extracts/source_sourcing_event_artifacts.csv,"preserve source_file, source_row, source_system, source_record_id, extract_timestamp, owner, and native grain",canonical_sourcing_artifact,New Event readiness,Vendor 360 can show new event readiness because Sourcing workspace export arrives at one row per sourcing artifact.
FP&A value ledger / close proof,source_system_extracts/source_finance_realization.csv,one row per finance period,"baseline, vendor cost, transition cost, retained cost, confirmed value",source_system_extracts/source_finance_realization.csv,"preserve source_file, source_row, source_system, source_record_id, extract_timestamp, owner, and native grain","canonical_finance_period, value_claim",Value-proven gate,Vendor 360 can show value-proven gate because FP&A value ledger / close proof arrives at one row per finance period.
